"","ZEB2","miR200b","SNAI2","miR34a","miR200a","SNAI1","TWIST1","FOXC2","miR200c","TGFbeta","GSC","miR101","TWIST2","ZEB1","miR141"
"SNAI1",-0.130718938612414,0.0707810508332289,0.222766327665341,-0.142927468804438,0.010095403349768,-0.00626551284524471,-0.035826508804457,-0.165824587962474,-0.11700727582592,-0.0652759956471191,-0.0651978839672421,-0.211151214135555,-0.0561150597811925,0.106236220223383,0.106245803623697
"ZEB2",-0.0853445405275239,-0.031910310160529,-0.0259328008188187,-0.0253633447497727,-0.0228843578018473,-0.0165778862738006,-0.0121962786503107,-0.00653145622521516,-0.00434452906788367,-0.0032630138976459,-0.00325540238904489,0.0213079854649295,0.0256815610142428,0.0321568904311678,0.0321713232464129
"ZEB1",-0.0716864426045284,-0.130148602221829,0.2442148218099,-0.234653544872806,-0.167199376821429,0.173766525608523,-0.100565276312423,-0.135308286898447,-0.227008604247667,-0.120073378002944,-0.119860952383902,-0.210391514758209,0.0340941766268589,0.0949982260810434,0.194959628235505
"FOXC2",-0.0715469511117325,-0.130390326397937,0.24372923579219,-0.234454337226814,-0.167276353768859,0.173517251677638,-0.10048163929707,-0.135087727015668,-0.226851756482603,-0.119860952383902,-0.119373876499693,-0.209693539951663,0.0344242967905985,0.194959628235505,0.194885942563631
"SNAI2",-0.0345050383455436,0.186573574948831,0.105699764114005,-0.0491534502114074,-0.0191296786218513,0.0199996640670338,0.132522020911242,0.0469001376601761,-0.0525928027834927,-0.222840220435604,-0.222661445854099,-0.212136073973653,-0.183278329105611,0.071412762243615,0.0713514715212888
"miR200a",-0.0150450437476036,-0.0774894917500168,-0.0908980037584933,-0.0953548060369335,-0.079735895313248,-0.0499787768403934,-0.0562073256671538,-0.0295195068983329,-0.0943013488171222,0.0601329314051336,0.060165182919163,0.0700973326338252,0.0936215850499255,0.175675984650113,0.175712085064805
"miR141",-0.00704428051656183,0.131567045951743,0.0982574610408924,0.107119840674444,0.099924661383582,0.0548930162685713,0.0611496698127061,0.0323697401189397,0.092706229708985,-0.0623891672319367,-0.0624763657698681,-0.0761747682967751,-0.102750617557693,-0.19348589890075,-0.193487750204068
"TWIST2",0.00663264513793301,0.107948624882498,0.226873986552673,0.0072859497419494,0.0566715821368728,0.114909239467331,-0.149804975678391,-0.133339669355531,0.0624860862088527,0.00378151157623978,0.00387601830206275,-0.181373770021211,-0.17943208586654,-0.120312605980493,-0.12036493713556
"miR200c",0.00704428051656183,-0.131567045951743,-0.0982574610408924,-0.107119840674444,-0.099924661383582,-0.0548930162685713,-0.0611496698127061,-0.0323697401189397,-0.092706229708985,0.0623891672319367,0.0624763657698681,0.0761747682967751,0.102750617557693,0.19348589890075,0.193487750204068
"miR200b",0.0150450437476036,0.0774894917500168,0.0908980037584933,0.0953548060369335,0.079735895313248,0.0499787768403934,0.0562073256671538,0.0295195068983329,0.0943013488171222,-0.0601329314051336,-0.060165182919163,-0.0700973326338252,-0.0936215850499255,-0.175675984650113,-0.175712085064805
"miR34a",0.0567472298831162,-0.0679121839938366,-0.323764784604559,0.151721864456018,0.10040034664172,-0.177153229873109,0.0819305327571748,0.190859715216145,0.150388367944519,0.102357078135409,0.102026408362266,0.26175429547931,0.0769266849940436,-0.143281342598656,-0.14318320300452
"GSC",0.0722730387811466,-0.0641423973618798,0.00626320233037246,0.0174613026887823,-0.0552132914743011,-0.0514161730805398,-0.0653960167473761,-0.110338899291248,0.0211601779879414,-0.00047383030007478,-0.000610751775293255,0.0702791500061098,-0.0105967642762437,0.0422417049956632,0.0423041064186122
"TWIST1",0.104299459768573,-0.142179785360912,-0.199825151235259,-0.0426274248279694,-0.11945457760997,-0.0209645731811736,-0.00685492347499393,0.196285765927728,-0.015759108341843,0.00153839510708873,0.00149027191170855,0.144388278849382,0.165708320962714,0.128746024030096,0.128793472323125
"TGFbeta",0.116866050179006,-0.171174354621867,-0.259419794173677,0.136637653716142,-0.0378397882823046,-0.139770921081316,-0.0290404175895465,0.0127804196109875,0.0771826936739896,0.141529691146418,0.241239312363428,0.200165432012093,0.153950500351256,-0.0351660138488215,-0.0350552545040901
"miR101",0.150942498488316,-0.0289699580913773,-0.249035866562743,0.161544114609168,0.0247182223096698,-0.124420704832457,0.0608214974666232,0.181530147586128,0.170255561088259,0.0899145326779454,0.0895397899836686,0.238598145100085,0.0291234197249699,-0.195615244299538,-0.195524886037553
