"","ZEB2","SNAI2","ZEB1","SNAI1","TWIST1","miR200b","miR200c","TGFbeta","miR101","GSC","miR200a","TWIST2","FOXC2","miR141","miR34a"
"TGFbeta",-0.113488535275448,0.0791384889018266,-0.00442172331539089,0.0874761652430213,0.0681775672285347,0.0551074452990428,-0.0583482928513042,-0.0840939148656619,-0.00350445388869563,-0.0158835001178833,0.0583482928513042,0.0561052608892307,-0.0316112372633225,0.00442956746161832,-0.091710279114728
"SNAI1",-0.0951454497661772,-0.0925991158988054,0.102445375303605,-0.0379622599575944,0.0785985443682967,-0.0290811268087963,0.00342221916079375,0.0239548679934501,-0.126540259106594,-0.0239362322119566,-0.00342221916079375,-0.10670027475513,-0.151590701634878,-0.102443829593877,-0.125257828292073
"ZEB2",-0.0831265957048567,-0.0346553774980606,-0.0339741938090158,-0.0332763194274038,-0.0303563849678552,-0.00703210033050179,-0.00428505134887236,-0.0012417227216428,-0.000711063847638301,0.00122649970444079,0.00428505134887236,0.00429090795680183,0.0128102099047406,0.0339736961257315,0.0450914894005123
"FOXC2",-0.0471437331169804,-0.122655751240917,-0.188499212910413,-0.103395750290737,-0.0972090049969741,-0.227231403018097,-0.212298941410905,0.00979486020213977,-0.0106837428488736,-0.00976165048276189,0.212298941410905,0.0922314931492028,0.117646734841997,0.188519503167886,0.208400081902054
"TWIST1",-0.0216997298363251,-0.120816726867148,-0.129116358826326,-0.0106979412522125,-0.0180972646130273,-0.0955088646599731,-0.0872336813986436,0.0188086276154533,-0.0385284919057014,-0.0187885762840449,0.0872336813986436,-0.0628487519342664,-0.00553829155147516,0.129122322272991,0.0996889460460472
"TWIST2",-0.00646397684783104,-0.0513527586473524,0.132204560303427,0.0035574590385814,-0.100722056364645,0.0225566165291817,0.0631965312391065,0.00809783371013281,-0.0135612359980655,-0.00808821326498915,-0.0631965312391065,-0.0922018095921528,0.0389936562538239,-0.132206319333849,-0.0605476426703179
"miR200b",-0.00469658931660557,-0.128358892789607,-0.183911309302763,-0.12201720750405,-0.112888721041621,-0.132338258952345,-0.0940026979077035,-0.084048737749053,-0.00297000723119947,0.0840594882537295,0.0940026979077035,0.0192190158452654,0.058032601903222,0.18392149147101,0.191273531395338
"miR200a",-0.00469658931660557,-0.128358892789607,-0.183911309302763,-0.12201720750405,-0.112888721041621,-0.132338258952345,-0.0940026979077035,-0.084048737749053,-0.00297000723119947,0.0840594882537295,0.0940026979077035,0.0192190158452654,0.058032601903222,0.18392149147101,0.191273531395338
"miR34a",0.00380149809350909,-0.141992888704785,-0.133751749086825,-0.0912298874370998,-0.0658774256615266,-0.1259779833901,-0.11867490346921,0.0250147271450328,-0.0288531739263759,-0.0250080530762171,0.11867490346921,0.0205392888295261,0.137073804187634,0.133752220911797,0.117411193226354
"SNAI2",0.0112221841726471,0.12811711481851,0.0464854309684239,-0.110237619230795,-0.228060094459626,0.227795208193645,0.0284719401618518,-0.203630590492179,0.269816674289549,0.203588676834315,-0.0284719401618518,0.222961503508187,0.130517128054488,-0.0464904547981227,0.0147149380110464
"miR200c",0.0183506400651605,-0.139448122809436,-0.202483744407247,-0.133086926095782,-0.125132425113483,-0.099184697175832,-0.0923929040511074,-0.0899179523265249,-0.00326908768414774,0.0899454258384759,0.0923929040511074,0.0206865727188077,0.0632617275310563,0.202493000923834,0.209873023071462
"miR141",0.0327922076842506,-0.0427157060679614,0.206466520304151,-0.0538956258607256,-0.0356066305248376,0.059027160983863,0.118694975233847,-0.0931288111776295,0.00596632899584585,0.0931108936698354,-0.118694975233847,-0.0737482145523169,0.00285626355416524,-0.206473925517421,-0.117820925256525
"ZEB1",0.0471487678417734,0.12265521229972,0.0884906913081514,0.103387519547736,0.0972090049969741,0.227221254293146,0.212282156963721,-0.00981021627098614,0.01069203796542,0.00979486020213977,-0.212282156963721,-0.0922341341105127,-0.117660616233221,-0.188499212910413,-0.208385906077059
"miR101",0.122969410860927,0.119185566152638,0.0882293079867198,-0.0297743719172756,-0.0367558378981873,0.126642770126115,0.103690769682289,-0.0246326472785057,0.124208681617567,0.0246643156752051,-0.103690769682289,0.0400860828784239,0.110297920043977,-0.0882282850629992,-0.0168298919392923
"GSC",0.150242978526325,0.122806039526263,0.150071953931745,-0.0340552926301361,-0.140461340099654,0.165941878105633,0.150307701064181,-0.0286590016976243,0.127897008378653,0.028686133602852,-0.150307701064181,0.0351338120657341,-0.0282376675486539,-0.150068514483236,-0.0587330023512093
