"","miR200b","SNAI2","TWIST2","TGFbeta","miR34a","SNAI1","miR141","ZEB2","FOXC2","TWIST1","ZEB1","miR101","GSC","miR200c","miR200a"
"TWIST1",0.0732950692606065,0.101765125411952,0.0906773389230656,-0.0155222599041158,-0.0347627829200509,-0.256522586223907,0.109100397586422,-0.216052415251922,0.0301640985443723,0.133743998500347,-0.109120880729314,0.0606874580188837,0.0155784036320594,-0.0434728425619649,-0.150688639336082
"SNAI2",-0.15115407768992,0.183406420583528,0.262923975012872,-0.184968928078764,-0.0678932635612064,-0.187086681122979,0.00270449669564298,-0.181296971570444,0.124874810417437,-0.0313098853004132,-0.00295200403880739,-0.150561816941722,0.185205868552816,-0.0882692185979903,-0.0929473303452519
"miR200c",0.164261756968154,-0.233505207203781,-0.112781481590623,-0.07291062742618,0.0157950734810964,-0.181022245837887,0.0432616812405548,-0.176002864082799,0.0349892467814247,0.0686452876321843,-0.0433820159561946,0.20841118674547,0.073227170063876,-0.0661881534605484,-0.112047966731665
"miR141",0.0915147055706042,-0.12488600493616,-0.111938225979835,-0.0608931834112919,-0.0915622106903321,-0.0866051429201789,0.00296861513810089,-0.165318637021425,-0.00422280610245962,0.0438249331510917,-0.00301026946274544,0.106655253661879,0.0611571680261252,-0.0825534428381998,-0.0861159942379111
"miR200a",-0.0205942025041713,0.248187268797657,0.127756950823352,0.1123132526365,0.000265770616995369,0.191658722859185,-0.0275821700544362,-0.153515808827751,-0.0338010492674938,-0.0727629949547068,0.0277237947582277,-0.220865932687139,-0.112756412329274,-0.092809894122231,-0.0632875105920727
"TWIST2",0.0590970078338727,0.0620782334624211,0.0771841034149972,-0.0169423398758793,-0.00586237428367706,-0.129623409077388,0.0972244015304458,-0.132260789917571,0.088345846243145,-0.00984527764824771,-0.0971922992252364,0.0363574993850104,0.0169870466503704,-0.0159318206772577,-0.116382788578647
"GSC",0.02005991709225,-0.0714759914984595,-0.072166063476293,0.0439101306756667,-0.0718909970751543,-0.0311931139236542,-0.0878797698960053,-0.0927233453188982,-0.0730078838443934,-0.00206355312095125,0.0879672301580912,0.102876644534961,-0.0439322147845729,-0.0893452142005255,-0.00401060508636828
"miR34a",0.0758455263115062,-0.147664532672106,-0.0519869183420503,0.0392983426151963,-0.0520287925555797,-0.146453516874025,0.0158862893263983,-0.0728336141623505,0.0936510594448711,0.0889697054429695,-0.0158428814289919,0.142582706978786,-0.0394093748509487,-0.0590483493038416,0.0030993327959163
"FOXC2",0.044556744499452,-0.148993384712912,-0.0243675549640161,-0.00415368130928465,0.00462663368005279,-0.136521572432191,0.0372571693909641,-0.0150725755286494,0.0993733113845372,0.0283532842754836,-0.0373479415954471,0.142516727911187,0.00421456579481074,0.0156159793558943,-0.0282473714572758
"ZEB2",-0.149695215319478,-0.0462483077127525,-0.0431716082567821,-0.0406255325073138,-0.0394021541664581,-0.0342436873137827,-0.0274784264988752,-0.0060750217170672,-0.00191229188901729,0.0109223632954657,0.0272698972027486,0.0403938218155134,0.0409934220896957,0.128838872145309,0.151300599980261
"ZEB1",-0.0447560285530372,0.14904242836176,0.0246633426307267,0.00397708651755133,-0.00464379388925812,0.136396935466749,-0.0373479415954471,0.0150053471446479,-0.0993902775293663,-0.0285295194149782,-0.0625984224373761,-0.142721735791548,-0.00415368130928465,-0.0155285844757294,0.0284331579243812
"TGFbeta",-0.179707334617328,0.246762194576447,0.228339767571271,-0.113091913627804,0.103079156850946,0.12869352875071,-0.0386357060684032,0.0555148247838386,0.0212649385759142,-0.0940064076019015,0.0386441777463288,-0.189729411768601,0.0130741682577324,0.00854944419020188,0.0523723802517945
"SNAI1",-0.138057623883346,0.118232267291377,0.0900467617454208,0.0191136907430815,0.0526187471489228,0.0882408757832885,-0.172514763172438,0.117759215480171,-0.0610745975490822,-0.219841426543139,0.172442114815219,-0.204548985317071,-0.018911869194567,-0.0374271335992259,0.149103757612425
"miR200b",-0.0915147055706042,0.12488600493616,0.111938225979835,0.0608931834112919,0.0915622106903321,0.0866051429201789,-0.00296861513810089,0.165318637021425,0.00422280610245962,-0.0438249331510917,0.00301026946274544,-0.106655253661879,-0.0611571680261252,0.0825534428381998,0.0861159942379111
"miR101",-0.0931413931570213,0.0680829789325717,0.0564727111087471,-0.024820597204896,0.0390780901260633,0.157139123631464,-0.0206876671646902,0.168475638156956,-0.0587338211713098,-0.207476481803161,0.0206048103433234,-0.163439635263376,0.0248892120644115,0.0744479747900252,0.0974682618143569
