"","SNAI1","miR141","miR200a","GSC","TWIST2","TWIST1","FOXC2","miR101","ZEB2","SNAI2","miR34a","TGFbeta","miR200b","miR200c","ZEB1"
"miR141",-0.130112381442362,0.246199717462218,-0.00441257702751409,-0.127012771348675,0.122915828096362,-0.035817642878264,0.00517374446028502,0.0706106535360122,-0.243748538331051,-0.00964733865060697,-0.240546438513945,0.128390030447783,-0.0158327273946483,0.00441257702751409,-0.245698014263166
"miR101",0.167043244436637,0.112065318101182,0.0478922869297658,0.0314683377521939,-0.0503478627591448,0.194256828925968,-0.0581394745560725,-0.192292853588103,-0.208587716537497,0.11626107030615,0.0155427915763857,-0.0328564691408531,-0.06225901024841,-0.0478922869297658,-0.113197694659862
"FOXC2",0.0198673778757337,0.168450615217609,-0.105836447374624,-0.137637664408408,0.177901988914363,-0.0203916618885757,-0.0934019825999399,0.0211323332010305,-0.173648039235893,-0.0748455334967917,-0.183430930816275,0.12402721441671,0.122832958822097,0.105836447374624,-0.173509296778037
"TWIST1",-0.154277464566143,0.208668271692219,-0.0491177630797713,-0.0674155603761994,0.0462346311471204,-0.111490722333075,0.154601642918919,0.0862220422386627,-0.135702803514179,-0.0176799430165683,-0.192990826365233,0.067713656836471,0.0341175334991081,0.0491177630797713,-0.207865280634797
"TWIST2",-0.0560477601110726,0.132526938591112,-0.0110594224305835,-0.0462071804871557,0.177549951763291,-0.227506769712618,-0.0801062121026334,0.110567897082475,-0.114771546674704,-0.15558651789212,-0.106888695830233,0.0442689437449779,0.0532311248708333,0.0110594224305835,-0.132891057888556
"miR200c",-0.130018613252333,-0.120989189634111,0.114135896939838,0.0327310065680403,-0.0363860654741742,-0.0176220806788983,0.038705407194333,0.0514395842118722,-0.111837556883818,0.0368127755270925,0.0405642156267284,-0.019604640358071,-0.117626581005199,-0.114135896939838,0.125875704740746
"miR200b",-0.130018613252333,-0.120989189634111,0.114135896939838,0.0327310065680403,-0.0363860654741742,-0.0176220806788983,0.038705407194333,0.0514395842118722,-0.111837556883818,0.0368127755270925,0.0405642156267284,-0.019604640358071,-0.117626581005199,-0.114135896939838,0.125875704740746
"SNAI1",0.0351272929555946,-0.110331129564912,0.0919648391210355,0.106742919960041,-0.15376607897035,0.197876164989443,-0.0175610595376314,-0.188744420108907,-0.0727200395786349,0.14328483681215,0.178826562413343,-0.100877406861466,-0.103661242730445,-0.0919648391210355,0.112360955579825
"TGFbeta",-0.178976774603184,0.12172664449736,-0.0587463818046133,-0.0734342214650675,0.0504068436786798,-0.0586063199339713,0.0135407133041119,0.102662327046431,-0.00928793329790212,-0.0218001558181114,-0.206784118938514,-0.0239862470127024,-0.0228029147179818,0.0587463818046133,-0.120201428704897
"ZEB2",-0.160490465237774,-0.141209415505749,-0.106555070206081,-0.0932108212039916,-0.0785099285651989,-0.0159738071144913,0.0350722042545125,0.0472839931453778,0.0516550624596896,0.0678755414048625,0.0772528196389232,0.088917930353025,0.0984189722950242,0.106555070206081,0.137505158820619
"miR34a",-0.0902735610057955,0.114423546265199,-0.136168948963446,-0.0960678925504467,-0.145073497118843,0.0295276809984522,0.0872808445418349,0.00972102048861006,0.0711240963543114,0.0755185587964416,-0.102550603643239,0.0929802256228846,0.0298640721807604,0.136168948963446,-0.115242634416259
"SNAI2",-0.0056010361141648,-0.0367208648983106,-0.027447269739348,-0.0123460083138565,-0.0978927229779164,0.0769045795341324,0.0346857079199871,-0.0360881509820187,0.0928864576123894,-0.0204592579246116,0.0223107355568279,0.0118456105617971,0.0033359636095391,0.027447269739348,0.036781485776677
"miR200a",0.130018613252333,0.120989189634111,-0.114135896939838,-0.0327310065680403,0.0363860654741742,0.0176220806788983,-0.038705407194333,-0.0514395842118722,0.111837556883818,-0.0368127755270925,-0.0405642156267284,0.019604640358071,0.117626581005199,0.114135896939838,-0.125875704740746
"ZEB1",-0.0227693026937755,-0.173509296778037,0.11135042766158,0.12402721441671,-0.179082498619896,0.021876218911098,0.089846804069825,-0.0243283231046886,0.169604562906503,0.078031214907093,0.188657333663377,-0.120532429081756,-0.12742571816815,-0.11135042766158,0.0761123956336355
"GSC",0.150232193527643,-0.178621375733252,0.0148569026499158,0.0416312379769214,-0.12446926798542,0.104523333744857,0.0342239729170586,-0.165467361590212,0.170100139800746,0.0713289671438136,0.175329396672733,-0.0433821923259134,-0.0246127572170655,-0.0148569026499158,0.177535984053769
