"","ZEB2","miR101","TWIST2","ZEB1","GSC","miR141","TGFbeta","miR200b","miR34a","miR200a","miR200c","SNAI1","SNAI2","TWIST1","FOXC2"
"GSC",-0.110052779556931,0.104979172119522,-0.0172953074020358,0.0499917272827305,-0.0430802430324352,0.0500850837422605,-0.0425369739533426,0.0803152591989942,0.0366605836138653,-0.0760103961153645,-0.0332396919993205,-0.111577745488537,-0.000829398868852587,-0.0078665674650917,0.164543205670761
"miR34a",-0.100122454086558,0.0772438350624962,-0.227186800828531,-0.0268995078721129,0.0496274583939454,-0.028766519285559,0.046249772839664,-0.0464088715262288,0.0299802450825804,0.0161754894679415,-0.0964087577112758,-0.0291025150647228,-0.102607905370475,0.0915515738326976,0.107531683692251
"TWIST1",-0.0976450937892243,0.038754663667819,-0.121702953957559,-0.0702031512289174,0.0262162962275796,-0.0713463180265206,0.024275327347246,-0.00126050177680541,0.05926923914768,-0.0163315074283771,-0.08181239718066,-0.0220896531451561,-0.0501306446294941,-0.00606855399406138,0.152158852007497
"ZEB2",-0.0871912228652898,-0.0101990075839593,-0.00102526259999741,-0.00085597456536113,-0.000653692516234538,-0.000515061515607733,0.000318043415160398,0.00261914157377025,0.00453400725277905,0.00501435845157049,0.00657895091137569,0.00830927549546124,0.00914619827424677,0.0162033921013535,0.0163246021950923
"miR101",-0.0827312976633887,0.0391207684809423,-0.0305484006022553,-0.00573384162728608,-0.00812645610665714,-0.00743087207972524,-0.0110276331154011,0.0446931641878889,0.012492341204794,-0.0383651851379709,-0.04665622907223,-0.0305029929547811,0.0609201918568391,-0.00864279140256443,0.0575829089612559
"FOXC2",-0.01667236522219,0.0629979770089122,-0.0843053217698148,0.00431902128914356,-0.00340241658409186,0.00261143593657364,-0.00697799637044267,0.00908406797742395,-0.00777650086135125,-0.00876307760609314,-0.00543788570249542,-0.0488416694297419,-0.0657441305360536,0.0361954375435301,0.117233576045188
"miR200c",-0.00239409696075633,0.0633442474111589,-0.0759453449045958,-0.000710029982708014,-0.0829685619087747,-0.000749833004035028,-0.0832683815391962,-0.0296827490327473,0.0873034478240171,-9.73404254822583e-05,-0.0012523825151904,-0.056851505779692,-0.0686473649991528,-0.0318481276974888,-0.0441092493273779
"miR141",-0.00239409696075633,0.0633442474111589,-0.0759453449045958,-0.000710029982708014,-0.0829685619087747,-0.000749833004035028,-0.0832683815391962,-0.0296827490327473,0.0873034478240171,-9.73404254822583e-05,-0.0012523825151904,-0.056851505779692,-0.0686473649991528,-0.0318481276974888,-0.0441092493273779
"TGFbeta",-0.00170176067264345,-0.0233076016551979,0.0786811921520435,0.00687542601913041,0.00398329085161078,0.00796325221795128,-0.0943421914998121,0.0797461265418718,-0.0593422260925083,-0.00528461542969813,0.00392301859216039,0.00997916972149719,0.0323185000644229,0.0124891007766473,0.0647364892658388
"miR200b",0.00297975023358585,0.0212954815368975,0.00819378661198571,-0.00918236971164206,-0.0901062899500146,-0.00800956905998329,-0.0882153956274756,-0.0314607121157284,-0.00656540403547814,0.00525380389493492,-0.00325214238006707,-0.0217891197041844,-0.0267578435490524,-0.0553028967608507,-0.0926784822660713
"miR200a",0.00895394689245922,-0.0609429430432503,0.0761373453392758,0.00655249541245159,0.0770338956823822,0.00685981176316249,0.0782295907025095,0.0599648797106586,-0.0920841436742184,0.000836137181970966,0.00795058292976244,0.0539810050251815,0.0650927154771615,0.0256496626488639,0.0373479717571013
"ZEB1",0.0166750306647275,-0.0579818015316468,0.0830165326505754,-0.103078376253979,0.00697799637044267,-0.00431902128914356,0.00498938545483706,-0.010909915857263,0.0104557317855404,0.00975683263419262,0.00458072134803105,0.0519705275905236,0.069053768421464,-0.0403952105287741,-0.113555007370861
"SNAI1",0.0509075201140872,-0.0251797240520234,0.00469639070520383,-0.0594852478639541,0.0438990186362818,-0.0609314138855446,0.041192865259835,-0.0600149965316073,-0.0322392934091061,0.0560392904894468,0.00480009133170943,-0.075367149407005,-0.067855668173976,0.0161041259280501,-0.0294082164590213
"SNAI2",0.0526153168361318,-0.0389173307031019,0.092440041341442,0.0214601883227701,-0.00958660271700202,0.0214832979393849,-0.00977050958314349,0.00367355621916674,-0.0141794601842466,0.0152975937777394,0.0367481146432507,0.00597539391644512,-0.024803339943928,-0.091416696975395,-0.0435668311065141
"TWIST2",0.0814241078197669,-0.0376245928140316,0.0975123624527434,-0.00917466670515511,0.00154461070343324,-0.010738884508302,-0.00125154338214345,0.00948843931264954,0.0143934032145854,0.0458837251410261,0.0338680985930733,-0.023914509612059,0.119494689730174,-0.179000271754374,-0.0666645649380787
