"","miR200b","miR200c","miR200a","FOXC2","SNAI1","SNAI2","miR34a","miR141","TWIST2","ZEB1","miR101","TWIST1","ZEB2","GSC","TGFbeta"
"TWIST1",0.202821318686095,0.22821667640533,0.22821667640533,0.261007116789226,0.345973062385036,0.118356375881245,0.214468270658752,0.163419590782672,0.013627207575988,-0.163340510294291,-0.212981464490934,-0.244904677093335,-0.315494133482846,-0.208764278631058,-0.209411268257836
"GSC",0.138579246003038,0.148650919829415,0.148650919829415,0.134328514388457,0.312608262044371,0.0954284451686749,0.141432781347901,0.0150735835101819,-0.0151752968744774,-0.0155718121941998,-0.250515194206171,-0.180202625414835,-0.292035965642267,-0.124292222516065,-0.126068415846664
"miR200a",0.188312638308437,0.158562249465776,0.158562249465776,0.264040918435091,0.210550090269697,0.101150454626363,0.166936351523143,0.0411243958314057,-0.0283702796318642,-0.0406643469569981,-0.154149118758295,-0.20207806225296,-0.279707918619318,-0.254751454621752,-0.254377575959115
"miR200b",0.116199412642695,0.118559469729882,0.118559469729882,0.127270417559578,0.0776345984567282,0.126691934169251,0.00347464086847384,0.0111958313194782,0.0750024340795177,-0.011316166035118,-0.101924272524289,-0.0589126172115789,-0.227695275735488,-0.201662682541799,-0.202129732244966
"miR141",0.116199412642695,0.118559469729882,0.118559469729882,0.127270417559578,0.0776345984567282,0.126691934169251,0.00347464086847384,0.0111958313194782,0.0750024340795177,-0.011316166035118,-0.101924272524289,-0.0589126172115789,-0.227695275735488,-0.201662682541799,-0.202129732244966
"SNAI1",0.133385743764668,0.157945705526976,0.157945705526976,0.380779620612321,0.254191007702922,0.0664615034968218,0.26270421875786,0.116992813196017,-0.0835972133402698,-0.116824330835656,-0.257163626931511,-0.341497738780031,-0.214473369513858,-0.143003749326234,-0.142981941496826
"TWIST2",0.136002940237241,0.145151328867164,0.145151328867164,-0.0888455731865136,-0.0612881361262171,0.120156164575937,0.0125480337789648,0.0951861877654738,0.106197213490674,-0.0948598876221129,-0.0259817788170901,0.19032497276308,-0.198799847073476,-0.134576928124386,-0.134362448788536
"SNAI2",0.0973398961964896,0.0942604859562421,0.0942604859562421,0.0475130242716113,0.0651034345369257,0.00467767008217891,0.0490337000991752,0.0395698060543479,0.0828066742284652,-0.0401830481995901,-0.0828646241920082,0.0207875156722163,-0.151195393536885,-0.0865998171717084,-0.0883439385673476
"miR34a",-0.00600124952226684,0.0833706565794913,0.0833706565794913,0.293362956977107,0.267486083805678,-0.103390327100705,0.145811878655192,0.0729592055088745,-0.262413792305697,-0.0728804107385825,-0.0725636812607855,-0.266032108039173,0.000518611098466379,-0.046630449534166,-0.0464053513950178
"TGFbeta",-0.133414868774655,-0.0556020494517772,-0.0556020494517772,-0.183101023787948,-0.133767559147951,-0.0841838891871946,-0.150094246343399,-0.0832136168133273,-0.0390270569612474,0.0833877568595763,0.108226483991641,0.11401887231521,0.0346141410519818,0.250050562426661,0.150620027484414
"FOXC2",-0.0438336443835362,-0.0404307611644026,-0.0404307611644026,-0.211089845923604,-0.183650693745997,0.0505605296849177,-0.0670000812249152,-0.0235919843477804,0.105599533093231,0.0229224058511817,0.065005480538773,0.173256037801675,0.0638553330879463,0.0399678794760994,0.0389937277076818
"ZEB1",-0.0437662937543153,-0.0400991236390089,-0.0400991236390089,-0.212078509454105,-0.183654221207283,0.0509760533471309,-0.066815795499971,-0.0229224058511817,0.105412024840227,-0.076675575030353,0.0659617889749065,0.174537476358339,0.0639498082178866,0.0389937277076818,0.0398319131322132
"miR200c",-0.0340030494404153,-0.0965438050494436,-0.0965438050494436,0.173874787374475,0.146316894602356,0.0589587386255459,0.12297412192376,0.0106582247374585,-0.0343390553515034,-0.0103305440502547,-0.101981588504389,-0.133655629722894,0.204069498600959,-0.0432119105711494,-0.0423673987037868
"ZEB2",-0.314623134869448,-0.301301475175179,-0.301301475175179,-0.21886678416396,-0.175658801355274,-0.127662052417315,-0.107430474203066,-0.059653901615112,-0.017911325893586,0.0600366200607476,0.150839889158466,0.168687460986748,0.239282866761436,0.298819977964662,0.300256015920719
"miR101",-0.213131975028021,-0.21472233700287,-0.21472233700287,-0.401148818193665,-0.368423966456206,-0.0824816232488213,-0.204819522321129,-0.132146891427592,0.0909047941733851,0.132128819775196,0.273293292605777,0.357587814280379,0.304915181832949,0.201851999572527,0.202583891407359
