"","miR200a","miR200b","ZEB1","SNAI2","TWIST2","miR101","TWIST1","FOXC2","SNAI1","miR141","miR34a","GSC","TGFbeta","ZEB2","miR200c"
"miR141",0.00884191746530891,0.0276260613244544,0.226716945775806,-0.0326243958667171,0.0745568919658131,-0.007491380919506,0.0166739492913591,-0.015464716782324,0.045663718692823,-0.226608644531731,-0.133622978336078,0.0145554293594668,0.0145303448485551,-0.248918420106217,-0.236699426739765
"miR200a",0.210605216785398,0.1503120755673,-0.197005830600017,0.0549962256043953,-0.0751861135325908,0.00714952105367075,-0.0196699803640701,0.011917330725344,-0.0690020339022014,0.196931778467316,0.104451598464097,-0.0875928118168557,-0.0875557823007479,-0.226379023561231,-0.0142551117725881
"TWIST1",0.19564590434297,0.108926463791992,-0.179817593155154,0.054804091820628,-0.101657009882524,-0.0100645696569789,-0.102277292894522,-0.00468689312022972,-0.000340467987637621,0.179770663422705,0.0862245147678792,0.0147852180070402,0.0148346779578476,-0.215000946201696,0.00221475540245157
"TWIST2",0.158568136990211,0.0878194082536821,-0.143854311004707,0.0646039049123726,-0.117593166100977,-0.0447833907814022,0.0997447729965066,0.0464630659552284,0.0123342843425053,0.143781311242176,0.0917542682979729,0.00656892171456312,0.00656722398894953,-0.176522546158789,-0.0134117687478102
"GSC",-0.0643388558706335,-0.0411128809880725,0.203528940066637,-0.0277947327247098,0.0480284652916401,-0.0659957913656442,0.000200529976689747,-0.0906746541921716,0.0518251473307673,-0.203427722010515,-0.0823034379665407,-0.0693518826938921,-0.0693878482426822,-0.0883126728282365,-0.154620760996377
"SNAI2",0.0347304081072458,0.0175620173268717,-0.0325739065020234,-0.0824917144404097,-0.00836171497835914,0.0151621229790624,-0.0920319157690907,-0.0591811287902829,-0.0455693113279543,0.0325996954944776,0.00116056519337656,0.000448279484161811,0.00045597791111657,-0.0372558284804972,-0.00302233902926326
"ZEB1",-0.167183419280893,-0.196569912164468,0.0633441048393368,0.148035214123839,0.0747577234170141,-0.0121792600738312,-0.00403141300082431,-0.0969591173151651,-0.128349206496399,-0.163342601027173,-0.198547082722061,-0.09953199252413,-0.0996382053336508,-0.0281457350293712,-0.192035375580314
"TGFbeta",-0.0626456795777003,0.0557323641469935,0.122591741409978,-0.0916195247223151,0.0831148082298944,-0.0058743543292362,0.0334829285990594,0.013213198858798,0.101227859368128,-0.12252490928412,0.0386059529298356,0.16787074559649,0.0679143024139384,-0.000245957785056584,-0.0629288945890514
"FOXC2",0.16709718194881,0.196482264085345,-0.163342601027173,-0.147968924356716,-0.0747154680360554,0.0121022339916148,0.0041180370524403,0.0970100157496527,0.128273953988962,0.163232606473505,0.198488141133921,0.0993770138336999,0.09953199252413,0.0281460311896531,0.192002385459987
"SNAI1",-0.0642216418577602,-0.0199022558038325,0.0641765872016501,-0.0616667494421441,-0.00371934091532595,-0.0225678607130962,0.00395529213150865,0.0858159906688076,-0.0916240337822724,-0.0641923534408765,0.0241842278561151,0.00301721905665528,0.00301602953868761,0.0628827091972507,0.00704006980541301
"miR34a",-0.20273863325025,-0.0620093198843626,0.194754193197488,-0.090459487860065,0.0207700852850045,0.0295616761341663,-0.0115244115173206,0.065629229975118,0.0164739467881836,-0.194671623827421,-0.0903088452587361,-0.0346524685899703,-0.0346676369281878,0.112609233836146,-0.111504777413671
"miR101",-0.185378403087845,-0.157678543919282,0.163533775562575,-0.0388795243965589,0.0231640281486365,-0.0226740314668462,0.00179492009719144,0.071942185243361,-0.0156818876927821,-0.163517067808472,-0.077172217358289,-0.0118820178571556,-0.0119647075596486,0.212165969184605,0.0256066826562281
"ZEB2",-0.236474372920825,-0.22096619100997,-0.0642896868419263,-0.0641207437863757,0.000578999423809206,0.000767245473208946,0.00718593140274883,0.00813772389334772,0.0633721438475447,0.0642224995985443,0.0733171924241089,0.104451545420673,0.10447691711601,0.220528342927377,0.293073135066124
"miR200b",-0.210605216785398,-0.1503120755673,0.197005830600017,-0.0549962256043953,0.0751861135325908,-0.00714952105367075,0.0196699803640701,-0.011917330725344,0.0690020339022014,-0.196931778467316,-0.104451598464097,0.0875928118168557,0.0875557823007479,0.226379023561231,0.0142551117725881
"miR200c",-0.0372293347629645,0.0139604140370314,-0.172407456524972,-0.162012583442861,-0.00212778569015781,0.0021136736931054,0.0236821281804509,0.0256767324156281,0.159269410208389,0.17238616653682,0.196769416767619,0.194428173911158,0.194524928453246,0.248190472967249,0.207654089077773
