"","ZEB1","miR141","ZEB2","miR200c","TWIST2","TWIST1","SNAI2","SNAI1","TGFbeta","miR101","FOXC2","GSC","miR200b","miR200a","miR34a"
"miR101",0.270610026773897,0.270516258766178,-0.10473574836236,0.191106497359874,0.116471545765793,-0.183671612128639,0.067909260469101,0.231221883763197,0.010018636378157,-0.131671997538006,0.108519132800843,-0.0100309518657624,-0.159484967576086,-0.191106497359874,-0.259842055113603
"TWIST1",-0.0208448376401582,-0.0208388741934934,-0.0894423009366221,0.0406050028742724,-0.110065761417318,-0.229224234670573,0.19250278401633,0.233788275022362,-0.010487730427007,0.0126201245532464,0.19499952233765,0.0104823834052981,0.0287278841470335,-0.0406050028742724,-0.0925348030112149
"ZEB2",-0.127497038331879,-0.127429851088496,-0.0780460646739885,-0.0697171331337799,-0.0557551348656479,-0.0216285640738608,-0.00825811990792161,-0.00607078862723045,-0.00275995483263032,-0.00128469092353031,-0.000381177767656123,0.00272697162869264,0.0674336032544217,0.0697171331337799,0.119353843706752
"TWIST2",-0.185219156886091,-0.185145277608349,-0.073548920123925,-0.0555930366686724,-0.193660937832131,0.111174747767623,0.166942678327451,-0.0623685051240608,-0.0097211118326068,0.119992696412502,0.0380803189418557,0.00973865499728052,0.0865080763078021,0.0555930366686724,0.138734522733392
"SNAI1",0.15057787342051,0.150539848961199,-0.0567696237703841,0.112699212436194,0.0630938876518509,-0.186560305942483,0.0738854288204454,0.1102181948731,-0.00237010896772589,-0.118776505314441,0.0901630787223283,0.00235781728205997,-0.0488866899715933,-0.112699212436194,-0.235201889288672
"ZEB1",0.164302313429658,0.264243664755268,-0.0227870239617239,0.247249361176091,0.228972594661045,0.0161280574847436,-0.0975595400815265,0.115542457754327,0.00508871707712061,-0.105962057268549,0.111890954564247,-0.00509895445635153,-0.247303531020792,-0.247249361176091,-0.268751925483725
"FOXC2",0.264243664755268,0.264086682236927,-0.0227808045958031,0.247161966295926,0.228856392363409,0.0161907852462586,-0.0975395992572698,0.11549424911675,0.00509895445635153,-0.105885031186332,0.111836971376154,-0.00508788454989224,-0.247228799500698,-0.247161966295926,-0.268601960177191
"TGFbeta",0.0151136467444082,0.0151541225389418,-0.0174338709951362,0.0157992634721932,-0.135904876836672,0.000989839572406942,0.128837559840825,-0.0254419369605529,-0.100599862102597,0.0782549771717059,-0.0227295160922983,0.000625673549974121,0.0950581896452701,-0.0157992634721932,0.0623459753219727
"miR200c",0.259848903202355,0.25972486588008,-0.0147279903238633,0.138655501428266,0.18426822931403,-0.0447717716060654,-0.143302599683694,0.110380327992292,-0.0817616731640156,-0.127247252043141,0.0753419939010185,0.0817031426385548,-0.172893421621559,-0.138655501428266,-0.243980710338195
"miR200a",-0.202078798726135,-0.202066765254571,0.00244413374748097,-0.102025318752329,-0.0213955300308443,-0.05908450158872,-0.0787859719439475,0.031550987309426,-0.0862594494282867,-0.0558600051899642,0.0249950504007449,0.086191362898669,0.0349137033048419,0.102025318752329,0.119902078779197
"miR200b",-0.269220383220052,-0.269168546727161,0.0276969501169776,-0.149661052586058,-0.0420304981197485,-0.0678032747708086,-0.0812798956346358,0.0273411995544984,-0.0928366212880314,-0.0551324555987875,0.0244039441586389,0.0927948137698452,0.10931726943461,0.149661052586058,0.17209691641451
"miR141",-0.269220383220052,-0.269168546727161,0.0276969501169776,-0.149661052586058,-0.0420304981197485,-0.0678032747708086,-0.0812798956346358,0.0273411995544984,-0.0928366212880314,-0.0551324555987875,0.0244039441586389,0.0927948137698452,0.10931726943461,0.149661052586058,0.17209691641451
"SNAI2",0.100253726377883,0.100209851598513,0.028759224392909,0.0364275138656064,-0.122789063825735,-0.235855431885173,0.056653300279104,0.166600703611245,-0.200351151089653,0.0963509684097315,0.046371800462703,0.200300683624061,0.163748739094137,-0.0364275138656064,-0.127815389339659
"miR34a",0.160028161740206,0.159988528442574,0.0862701017088451,0.100948733861071,-0.143858486259315,-0.0408781878123165,0.0406173908140927,-0.0637620208718813,-0.0211584613113717,0.049182500596163,-0.081835120240169,0.0211445064402116,-0.0220711870604737,-0.100948733861071,-0.0499444457315056
"GSC",-0.159893724452895,-0.159861295366953,0.133414112339525,-0.148220357631539,-0.0362746802156937,0.115584487225072,-0.106549322421237,-0.244906504970548,-0.0103059142947031,0.117255465279664,-0.0356007620284959,0.0102989735747611,0.11560898545074,0.148220357631539,0.189014473590394
