"","ZEB2","SNAI1","ZEB1","miR141","miR34a","FOXC2","miR101","miR200c","miR200a","GSC","TGFbeta","TWIST1","miR200b","TWIST2","SNAI2"
"SNAI1",-0.155122019176948,0.202049393563365,-0.0703577888254109,-0.070344804863695,-0.214161517655965,0.317206808833969,0.17316450470444,0.105827858956737,0.105827858956737,0.010575742538914,-0.0105301443501534,-0.290567224756192,0.0504751294182656,0.0723373629880201,-0.0512059367855471
"ZEB2",-0.0828764474557395,-0.0390958569379301,-0.0194781553408874,-0.0194706900916227,-0.0100156618340052,-0.00878757115962589,-0.00300130873481274,-0.00192874290674618,-0.00192874290674618,-0.000323034471596292,0.000371240692735989,0.00100613062292292,0.00698893548348334,0.0231828586854678,0.0330028434058295
"ZEB1",-0.0371650945255833,-0.102876031594509,0.0295053789152554,0.12949535350083,0.163225625138428,-0.120475635103091,-0.103745944303644,-0.144884571768218,-0.144884571768218,0.000860011478963448,-0.000874087875405959,0.112772634444895,-0.162797343315261,-0.187284118778308,-0.105032080628935
"FOXC2",-0.0371357746576707,-0.102841932802077,0.12949535350083,0.129325556083032,0.163112964634514,-0.120461753711867,-0.103742389253695,-0.144749717416705,-0.144749717416705,0.000804661946666996,-0.000860011478963448,0.112814452952571,-0.16268478472944,-0.187199608016391,-0.10501752921664
"miR200c",-0.033744676204568,0.17461140684498,0.145176985307759,0.145147364454678,0.0403600673729727,0.0466532967055222,0.015663945458189,-0.054951412222355,-0.054951412222355,0.0911943687727149,-0.091334125333509,-0.00517569352939236,-0.0698885414116752,-0.0996538827014077,-0.141797214797978
"miR200b",-0.0249166406224901,0.160972679093664,0.133285957558722,0.13322023629095,0.0353816938161486,0.0428670485882552,0.0143611804008666,-0.0528202322112784,-0.0528202322112784,0.0874984351208823,-0.0876119126702451,-0.0045131187543141,-0.0981646330537948,-0.0915172510738696,-0.131424145312616
"miR141",-0.00502788594956476,0.242252210944457,-0.188240772580413,-0.188123214819749,-0.227027182598209,0.104345251952841,0.0851635633745118,0.0956591014469223,0.0956591014469223,0.0902701243884097,-0.0903621009284195,-0.0960007677297526,0.0642876761768623,0.0690382578166509,-0.0707789249696546
"miR34a",0.0260614371200985,-0.0908888310247874,-0.145626835639012,-0.145588617816295,-0.0311328319065558,-0.145338992388966,-0.0893994564845827,0.115528211639461,0.115528211639461,-0.0203270288398256,0.02038102812388,0.12021329299454,0.0151457741181991,-0.187454745599355,-0.0931719555443477
"SNAI2",0.0271887118219828,-0.0937262594342585,0.0504358227634521,0.0504093639270381,0.0628077593997404,-0.0663733144821347,-0.0121237784286861,-0.0380262483018245,-0.0380262483018245,0.00295672231201786,-0.00297810683133664,-0.00518392747490752,-0.00923543172160196,0.0574237565096623,-0.0274388332687949
"miR101",0.0283110681743272,-0.240364323023581,-0.0883325063988644,-0.0882796553399678,0.0536965792474679,-0.252273648584743,-0.130630996960065,0.0308103127611964,0.0308103127611964,0.00313880505218192,-0.00310361794473808,0.221889472997733,0.0600005377494902,-0.00207569172484343,0.0779285339732713
"miR200a",0.033744676204568,-0.17461140684498,-0.145176985307759,-0.145147364454678,-0.0403600673729727,-0.0466532967055222,-0.015663945458189,0.054951412222355,0.054951412222355,-0.0911943687727149,0.091334125333509,0.00517569352939236,0.0698885414116752,0.0996538827014077,0.141797214797978
"TGFbeta",0.0398553869999367,-0.286140968003859,0.120821315339672,0.120809706003256,0.241015999110567,-0.145328413031271,-0.0926086529639824,-0.0794540139387434,-0.0794540139387434,-0.00401851713485207,-0.096012133958908,0.118519075640651,0.0465262724399067,0.0179484673031806,0.100220650958828
"TWIST2",0.072582971019676,-0.167852194207203,0.182507075444735,0.182450786471217,0.167118407706079,-0.0870011338901997,-0.0283312309000058,-0.126403779002271,-0.126403779002271,0.00580252950665217,-0.00577027271999403,0.0276113290830431,-0.0446872335864132,0.0352242950086577,0.102302227215947
"GSC",0.0726844437089638,0.151745183384169,-0.182342371456748,-0.182277513284864,-0.167697264400494,-0.0157336118998457,0.113004197389308,0.0591958168090306,0.0591958168090306,-0.0146051293311203,0.0145817832731337,-0.0516253674135346,0.0362498220165787,0.0703985156903865,-0.0277572244238814
"TWIST1",0.124995811564216,-0.207923299838619,-0.138356055810802,-0.138337646910228,-0.000392567133201801,-0.317495146523702,-0.0840871075174074,0.0117063539361723,0.0117063539361723,-0.019214833327663,0.0192843446098788,0.18604840079316,-0.00157511670287473,-0.0692528440833457,-0.02926927376904
