"","miR141","miR34a","ZEB2","TWIST1","GSC","TGFbeta","FOXC2","miR101","SNAI1","SNAI2","miR200b","miR200c","miR200a","TWIST2","ZEB1"
"ZEB2",-0.177686070341309,-0.144530575241488,-0.103086110640207,-0.0322901344931504,-0.00239313298036729,-0.00233731525062658,0.00118526409086683,0.0046946778438401,0.0377429183943653,0.04673574435992,0.0680280641630801,0.0831362249636055,0.0831362249636055,0.0924243063335449,0.179490172246938
"ZEB1",-0.504038266737239,-0.406916865947589,-0.0711172011320041,-0.152190673670847,0.00424845781371336,0.00440201850217711,0.0845390758889101,-0.00292417210780609,0.117064253649455,0.110380897418414,0.30491579674957,0.343063995262371,0.343063995262371,0.29346169361566,0.406975211893209
"SNAI1",0.201231104614341,0.16715140810026,-0.0399451025969651,0.0270521403269287,0.00183028269475855,0.00177041029038588,0.0250708104354841,-0.0326659650979785,-0.102562128795304,0.0293241578602383,-0.104080546217428,-0.133210088735362,-0.133210088735362,-0.0779769821231148,-0.202161621870644
"miR200b",-0.284523293096401,-0.240344742245712,-0.038302775753175,-0.0765148462658831,0.11690638642642,0.116881301915509,0.0470148971725328,-0.0282476276961905,-0.00446114951035526,-0.0608184025680456,0.115716198370924,0.127544248229742,0.127544248229742,0.0798225309283228,0.285777551094031
"GSC",0.376275277069082,0.282203977795299,-0.0342891357944443,-0.124107944589271,0.0100821959859508,0.0100121578119911,0.0507504011447207,-0.105522026142559,0.0508481830946169,-0.0530746103666219,-0.192140588351042,-0.22720577910395,-0.22720577910395,-0.157732292107399,-0.379028801275429
"TGFbeta",0.0285319169963801,-0.0353252564445972,-0.0256117693054991,-0.0337067812523238,0.200640383566891,0.10054681707015,0.0325166039337316,-0.0344324908111979,-0.0163104175435525,-0.0814086374408534,0.0734859199110519,-0.0269138577479443,-0.0269138577479443,-0.073574681090247,-0.0291145801781541
"miR200a",-0.393003895728787,-0.242251932234602,-0.0194725824586779,-0.048477852209269,-0.113011124740909,-0.112933482207134,-0.0201934359716547,0.0254023202336353,0.0872095244811938,0.136366155347688,0.13937774386622,0.193848599658761,0.193848599658761,0.180309719136161,0.395871564567649
"TWIST1",-0.192079336437693,-0.137778496079858,-0.0190089464822664,-0.0208229185287698,-0.000579297115212636,-0.000599348446621042,0.0837215104376382,0.0208427317752408,0.0137860896567075,0.0565997848838094,0.0482349033776873,0.0836321520436355,0.0836321520436355,0.152934118047015,0.193028043017967
"miR200c",-0.304990282234922,-0.179861378759896,-0.0180381718869452,-0.0356649950978352,-0.108450217650704,-0.108451412151224,-0.0202892522154208,0.0240346223965996,0.0743291596846332,0.121435785899383,0.0703071331153109,0.147768112442421,0.147768112442421,0.146099814215721,0.306670339995586
"miR34a",0.200613202462622,0.0932857128455944,-0.00510788159517669,0.0894125863077275,0.0148347734613756,0.014789268446723,-0.0294601521904735,0.00379038806915736,-0.0390258673689226,-0.056063599576935,-0.0582123909889634,-0.159244380078748,-0.159244380078748,-0.203595672076196,-0.201781912917792
"miR141",0.284523293096401,0.240344742245712,0.038302775753175,0.0765148462658831,-0.11690638642642,-0.116881301915509,-0.0470148971725328,0.0282476276961905,0.00446114951035526,0.0608184025680456,-0.115716198370924,-0.127544248229742,-0.127544248229742,-0.0798225309283228,-0.285777551094031
"miR101",0.31839797753934,0.212541331956114,0.0456318748065139,0.0499347940199148,-0.00938985969496436,-0.00937226614124244,0.00824642830188675,-0.0296822499028408,-0.0207528530529544,0.018528426190362,-0.123971744993403,-0.144516799080662,-0.144516799080662,-0.1313267516662,-0.320242309007542
"SNAI2",0.0447980068986538,0.034263691089754,0.0526402267378982,-0.0643402700741868,-0.00803206785415332,-0.00811846131220117,-0.0265887647985353,0.00123331506477353,0.0121987559879364,-0.0882270270505345,0.000441442149649616,0.00345008033954305,0.00345008033954305,-0.00640726471159007,-0.0448834120035346
"FOXC2",0.499282871130613,0.403813852465634,0.070577893258583,0.150747935156001,-0.00418757332818726,-0.00424845781371336,-0.0846331608738719,0.0027831551265175,-0.116482222537246,-0.110039747641266,-0.303178519560213,-0.340783046767473,-0.340783046767473,-0.291166698237343,-0.504038266737239
"TWIST2",-0.245229660758241,-0.159083313351175,0.0821919119182013,-0.0591381363250872,0.0023924212646677,0.00238732808782694,-0.013400153171803,-0.0286003949795718,0.00213985032177568,-0.0722498117774329,0.152726243453381,0.171701168730994,0.171701168730994,-0.0135519788099933,0.246657113946044
