"","miR34a","TWIST2","GSC","SNAI1","TWIST1","FOXC2","miR101","TGFbeta","SNAI2","miR141","ZEB1","ZEB2","miR200c","miR200a","miR200b"
"miR101",-0.00540100154625126,-0.0222235374265473,0.0392419939543395,-0.0390482809514957,0.0406486213819913,0.12423530468417,0.112275141208263,-0.0392156036237566,0.0834592060900218,-0.0480184792898573,-0.0479438058582551,-0.245582982631392,-0.0937927356239794,-0.0937927356239794,-0.157706899550479
"miR200a",-0.0668041245559053,-0.0992312293497101,-0.0621277020291034,-0.0613502936044907,0.0189459977939943,0.0752757982725329,0.0915451595655431,0.0622029555618387,0.121893645024343,-0.0335153667279937,-0.0335412849744392,-0.18719921571243,-0.0756936352502705,-0.0756936352502705,-0.109725691690877
"miR200c",-0.00117487888269509,0.024871944686355,0.10984792942265,0.0239563141430776,0.0443327674652882,-0.0523116460959941,-0.0498028304716303,-0.109882569937719,-0.0754882369965207,-0.00838389130258177,-0.00803214367225002,-0.160802066852813,-0.0773220440258431,-0.0773220440258431,-0.0242087470664711
"GSC",-0.0615285077987923,-0.0942470447915786,0.0279624837282272,-0.147392204927814,0.271548909842175,0.0823805952304664,0.183498991094695,-0.0280893096108029,0.122036435546602,0.0290131345561702,0.0292322765611722,-0.143400394937383,-0.0790110798229283,-0.0790110798229283,-0.0732216826918008
"SNAI2",0.0427203785299071,-0.0561784464520502,0.0190492403312969,0.00730833880737955,0.0801502958253438,0.0135209291138517,0.0238603808979616,-0.0192057750127103,-0.042505535697708,-0.064321815020578,-0.0640897140884901,-0.114501306630609,-0.0233702244898491,-0.0233702244898491,-0.0823385571869377
"TGFbeta",-0.0426203993759674,-0.110773616090913,0.00403139434971514,-0.0158969612316993,-0.0135293758577899,0.0600901331004769,0.0574256037183661,-0.104097536183618,0.0958629373406655,-0.0279496127654278,-0.0277302904369087,-0.0379488418369755,-0.000905782900652128,-0.000905782900652128,-0.123552827653049
"TWIST1",-0.0411553277963903,-0.129100221090772,0.00733566475555589,-0.0377154630711274,0.132035485386646,0.236808258078584,0.0983849729282726,-0.00731427666872025,0.124723421976529,-0.0248862794686023,-0.0249109110961306,0.0514891643044476,0.0324088563011051,0.0324088563011051,-0.0249630220069924
"FOXC2",-0.0118526275849909,-0.108191573914051,-0.00477502827508625,-0.0795861017510796,0.0928537950080824,0.103980876759196,0.0933773396538315,0.00463111949111548,0.104655354941686,0.0102279450671509,0.0105963734265234,0.0720889450371357,0.0219849632460542,0.0219849632460542,0.0212973401461573
"ZEB1",-0.0118712799863011,-0.10854282176827,-0.00463111949111548,-0.0799811774151242,0.0921458674138414,0.103852859484576,0.0932552829389347,0.00461320407746138,0.104409058815057,0.0105963734265234,-0.0896898521553266,0.0721769046408732,0.0217528748556827,0.0217528748556827,0.0213305541550882
"TWIST2",-0.0930462142607902,0.0381565492933866,-0.0209720866173061,-0.0543513354034309,-0.0447909604606039,-0.00266081183932946,0.00979295634442654,0.0208447571962872,-0.0589495892037013,0.132598383557008,0.132864876666007,0.108289355870629,-0.0142096130192801,-0.0142096130192801,0.101531279183103
"ZEB2",-0.106762993725696,-0.0917907383469345,-0.0641772634069662,-0.0465703660383449,0.0267968213662498,0.0506222957287326,0.0592671858417044,0.0642457669843753,0.0717634645597639,0.0905742374548463,0.090581702704111,0.112054324029765,0.167360090551596,0.167360090551596,0.231894293178848
"SNAI1",0.086402086946808,0.109367669569048,-0.0308818937560938,-0.0440339269670782,-0.0767572323271773,-0.15919694776197,-0.14496921613245,0.0308045750881953,-0.126834659522342,-0.0315073816259653,-0.031363630621254,0.13352427647191,0.0740800219169214,0.0740800219169214,0.0802921378803716
"miR34a",-0.0379002974598458,0.204380867215784,-0.0417256176852195,0.0315249236495966,-0.0948557393155852,-0.12208726810802,-0.0942043689335134,0.0417407860234371,-0.131155740895194,0.109479306373181,0.109344836256216,0.165159323134804,-0.0351685545947267,-0.0351685545947267,0.165438140126738
"miR200b",-0.111912748968724,-0.132524658148252,-0.114928010129627,-0.0771598691364652,0.0299861937433765,0.095987633979617,0.11195785233836,0.114838422590656,0.146303939567357,0.0168203811165995,0.0167879833085426,0.219131382381177,0.100942588949246,0.100942588949246,0.0775988483234141
"miR141",-0.0462835032955138,-0.00842148411218695,0.0570476213221264,0.00814673861110313,0.0553729634146704,-0.0315998103889099,-0.0293901376988138,-0.0572471029089009,-0.0510779424535062,0.0419518565420114,0.0422971246107318,0.245528531240794,0.0993141801736733,0.0993141801736733,0.16311579294782
