"","miR200a","miR200b","ZEB1","TWIST1","FOXC2","SNAI1","TWIST2","miR101","miR141","miR34a","SNAI2","TGFbeta","GSC","ZEB2","miR200c"
"miR200a",0.152384243845998,0.0675294807842796,0.00702394348292796,-0.0452129086514338,-0.0495224064992612,-0.062950299264474,0.0586453704331432,0.0758269513230408,-0.00699524828150616,-0.014385637402431,0.0892219914366875,0.0851989014328821,0.0851403709074213,-0.304363512119634,-0.14517486956355
"TWIST2",0.0836572467583001,0.0783514876003598,-0.0666169476059433,0.0493574617203951,-0.0410212342774873,-0.0579062528681513,0.0664701971898203,0.0697352512345823,0.0665835260279171,0.068620796927773,0.0841672035366194,-0.0539751626087791,-0.0539214012976822,-0.237725828203144,-0.150325493539646
"TWIST1",0.0529229122243965,0.0835035033149496,-0.061973282413216,-0.0687449772995725,-0.0710422322503472,0.0336926519436949,-0.0984915407366482,-0.00363806399229084,0.0619419094981536,0.0374996589789267,-0.0388784880660484,-0.0523991838892163,-0.0523069477647376,-0.17803370300595,-0.107630414356099
"SNAI2",0.0563778762196406,0.0414487030670834,-0.0189842852801113,0.0686846008590622,-0.0299081322580792,-0.00858503869431774,0.078893525645168,0.038774674701107,0.0190703602289519,0.0172755145188705,-0.0265294011349257,-0.0218191570890681,-0.0217242098232927,-0.133431885953809,-0.0752157679180722
"TGFbeta",0.0564667985422896,-0.0520171110825449,-0.0133817451653463,-0.00323065647901415,-0.0279690503732076,-0.0039379316780659,0.0850593168886477,0.0509010242841137,0.0133569576632676,0.0563720186020079,0.102454943957632,0.0767838994188073,0.176658068612845,-0.131974477684082,-0.0717604923976625
"FOXC2",0.0408195167651606,0.0174560605677844,0.0064387514072257,-0.0228580115493911,-0.106821145574029,-0.101228428902501,0.0280795475473825,0.0361697748250403,-0.00631807777067761,0.013445756916053,-0.0311032027717249,-0.00139928585574716,-0.00160407912524403,-0.0888678140551491,-0.033645847722399
"ZEB1",0.0410087758765109,0.0173684124886613,-0.0934925745039591,-0.0240468519819139,-0.108183064290772,-0.10122960472293,0.0284968194343494,0.0370905327616893,-0.0064387514072257,0.0137240507436004,-0.0312384770119525,-0.00172816166354036,-0.00139928585574716,-0.0888444173928755,-0.0337043039005225
"miR101",0.00360926232445166,0.109427720073302,-0.0841919692097392,0.00160474175792114,0.0256697806543297,0.00648016397809092,-0.0374075072101897,-0.10250784441845,0.0842120867095773,0.0177356663595781,-0.0996157640512241,-0.0677811315907123,-0.0675049127972782,-0.088642565140402,-0.0859964728931644
"GSC",-0.0171642554045491,0.0794022755290369,-0.0885928108844035,-0.00558739331102487,-0.0395055879999266,0.0811579185812919,-0.00930097766777322,-0.102644091908806,0.0885933022341905,-0.00495319771431945,-0.0210128992829259,-0.059485831923333,-0.059336290957311,-0.044756016688019,-0.0695128334187812
"miR34a",0.0443380067719824,-0.0803091386128569,0.067867833819431,0.00158180807904709,0.069863939906815,0.0686335955085154,-0.010157001584891,-0.0282077344596767,-0.0678376370212352,-0.0701407367293464,0.0327521822172987,0.078587456811674,0.0785735019405138,0.0914842502888661,0.116976827043974
"SNAI1",-0.0938317606521249,0.00935050697123035,-0.0728378517609121,-0.0100640231017055,0.017635395316274,-0.105869550051205,-0.0193482607203384,-0.0842156403796416,0.0728091015599698,-0.00841504312390699,-0.0806859279265198,-0.0295604395289814,-0.0295069112204363,0.123552065790588,0.0269727210799966
"ZEB2",-0.281582475575449,-0.24803822898979,-0.039863842100898,-0.0248279004369946,-0.0179363879368958,-0.0126475285772518,0.00294312348384206,0.029231562829242,0.0398991776140841,0.0435847323005153,0.0462518287437399,0.0667049146187809,0.0668089385696613,0.218529328790403,0.246107376581428
"miR141",-0.116278704980487,-0.082618234949833,-0.00167153244876058,0.0273103887189227,0.00476290738152214,0.000132912794175303,-0.0114217381611743,-0.0489855237963034,0.00174743588477954,-0.0730598788212279,-0.09852746722036,-0.0737212432363841,-0.0738394987878252,0.233130426512562,0.114732924939391
"miR200c",-0.129546267723464,-0.106613321426312,-0.0193716516732852,-0.0368598198839991,-0.0112455206015042,-0.00295689063335851,0.0123805927104111,0.0579963939863415,0.0192763095524321,0.0909072024790433,0.113169785662361,0.125728788139327,0.125682202619062,0.241300563951092,0.108968268100107
"miR200b",-0.152384243845998,-0.0675294807842796,-0.00702394348292796,0.0452129086514338,0.0495224064992612,0.062950299264474,-0.0586453704331432,-0.0758269513230408,0.00699524828150616,0.014385637402431,-0.0892219914366875,-0.0851989014328821,-0.0851403709074213,0.304363512119634,0.14517486956355
