"","miR141","ZEB1","ZEB2","SNAI1","TWIST1","miR200c","TWIST2","miR200b","GSC","TGFbeta","FOXC2","miR101","miR200a","SNAI2","miR34a"
"TWIST2",-0.175789787687644,-0.175583541370614,-0.121086389106566,0.0447892100259515,0.120985678259978,-0.147981443056208,-0.124131993157507,-0.117709545047317,0.0233093202619501,-0.0233166770729423,0.0560894467382878,0.00317716934550654,0.147981443056208,-0.0617338424221688,0.127516590087499
"miR101",-0.172757736676953,-0.172498936975647,-0.100299357373052,0.108225035840816,0.127603398955497,-0.135172027343082,-0.0462502255512743,-0.107997156642157,0.00755680397033624,-0.00756384139182501,-0.0301034475973375,-0.159034591312743,0.135172027343082,0.107672041598739,0.155722707925436
"GSC",0.102826845853229,0.102825371803868,-0.0895420791179727,0.17845797969394,0.100157198039973,0.00629521350443847,0.0266743977813998,0.0228424540357894,0.00696332642975967,-0.00694881401533559,0.00578216222392321,-0.178598967197283,-0.00629521350443847,0.0788606486058075,0.0249357359699579
"SNAI1",-0.110664567892241,-0.110476918731252,-0.0880788386159742,-0.00801520877658162,0.118852131370299,-0.102132928206605,-0.0266095578767025,-0.0360019468744801,-0.00051996899065576,0.000532260676321672,-0.0246247530720404,-0.142198655220547,0.102132928206605,0.0882054635031893,0.167224483896955
"ZEB2",-0.0989306158593415,-0.0989052340118416,-0.0766071634182956,-0.0705044089281504,-0.0320339953443321,-0.0287559626565054,-0.0258452499834071,-0.0199699680116021,-0.00618908049696679,0.00623221237903915,0.0180970542151293,0.0193989919761489,0.0287559626565054,0.0314062145953308,0.0797439739084818
"miR200a",0.216198039572428,0.216006429679063,-0.0350204248858438,0.215818836611289,0.0682861289430036,0.0914585743589531,0.0165640124098498,0.0312352234707662,0.117326179304998,-0.117270037780576,-0.0528672466592663,-0.0760529407978625,-0.0914585743589531,-0.0632374805786843,-0.0870251299797843
"miR141",0.216198039572428,0.216006429679063,-0.0350204248858438,0.215818836611289,0.0682861289430036,0.0914585743589531,0.0165640124098498,0.0312352234707662,0.117326179304998,-0.117270037780576,-0.0528672466592663,-0.0760529407978625,-0.0914585743589531,-0.0632374805786843,-0.0870251299797843
"ZEB1",0.171039431730882,0.0709196280284967,-0.0213951973565505,0.132023193749572,0.111894009520299,0.174464310447214,0.0849835957235772,0.172767073155948,0.00468029958539894,-0.00469821499905304,-0.0966669648290193,-0.0182518942611155,-0.174464310447214,-0.0934261414515355,-0.154740842950674
"SNAI2",-0.0357150654782825,-0.0356162634942047,-0.0189984091743188,-0.035599689937902,0.0510030360201874,-0.0271581213127297,0.000287479902985913,-0.017565122748967,0.00161114017260874,-0.0016188385995635,0.0346815931274612,0.0130399494844821,0.0271581213127297,-0.0939661315980327,0.00665376837716087
"TWIST1",-0.108500694057295,-0.108542956744527,-0.00517196309133245,-0.161075832769762,-0.17614833799533,-0.0683739646804182,-0.0866771887933228,-0.0734301399594239,0.0147816843580211,-0.0147308876517865,0.160805630967649,0.106807005976594,0.0683739646804182,-0.0841305963131092,-0.00680407500000586
"miR200c",-0.214455134854505,-0.214424588349766,0.00729500168137938,0.0998595974764606,-0.0343197362998779,-0.104010108659967,-0.079574145500473,-0.0896270100412025,0.105063299991076,-0.105128997519655,-0.00891325457080237,-0.0544247285830316,0.104010108659967,0.00744827072684248,0.208986397417304
"miR200b",-0.161766517138036,-0.161540658133297,0.0087491913516522,-0.190416426871532,-0.0554844894484482,-0.0758403872734895,-0.00741337188323502,-0.0542306674655657,-0.109228231150287,0.109270038668474,0.0456672336908308,0.0688812775706473,0.0758403872734895,0.0535238928884182,0.0520125902517697
"FOXC2",-0.171335242326668,-0.171039431730882,0.0213581773213074,-0.132168995482731,-0.111574396640198,-0.174703344126075,-0.0851262076343128,-0.172943291925553,-0.00470797435154716,0.00468029958539894,0.0966592529450061,0.0180184459811672,0.174703344126075,0.093466562041245,0.15507136350189
"TGFbeta",-0.00409704551869529,-0.00418395865889528,0.0849887958448758,-0.175103191717527,-0.0234043972380991,0.0413261709941338,0.0697665419625585,0.08969679860991,-0.197023794975672,0.097073804654965,0.0237212324883147,0.0940281712346027,-0.0413261709941338,-0.0117128303850386,-0.1392316936168
"miR34a",-0.053088119187656,-0.0531513437338783,0.0988064248985393,-0.168570371191237,-0.11239159953094,-0.0327586109228698,0.00135423062764716,0.0310265554521029,-0.0248126068361531,0.0248471906472891,0.073381204116849,0.0438274456461149,0.0327586109228698,0.0697280174080037,-0.0588693035670224
