"","ZEB2","ZEB1","miR200a","TWIST1","FOXC2","miR101","GSC","TGFbeta","miR200b","TWIST2","SNAI1","miR200c","SNAI2","miR141","miR34a"
"SNAI1",-0.136541458687104,-0.0889573682210893,0.0202795467291778,-0.0760384911283596,-0.0318141730384403,-0.149914006355923,0.0211994730091843,0.0210626784429024,0.026195881689614,0.127076211279657,-0.0209743547114673,-0.0202795467291778,-0.116335119754103,0.0889480939627208,0.151574802339051
"ZEB2",-0.0892419102618262,-0.0375222681619027,-0.0212732903270055,-0.0159534295417806,-0.0117306865746829,0.00447014908740611,0.0085620172999466,0.00858485182574962,0.00981419690129574,0.0105829512270983,0.0124522867048039,0.0212732903270055,0.0215162421462084,0.0375456592762653,0.0422388157574684
"TWIST1",-0.0408030932055165,-0.243205937770108,-0.126066892945197,0.00142780051392329,-0.158256224387307,-0.148746036892929,0.0875799623731125,0.0877443832906614,0.147055031219603,0.243143639217552,0.0897342692368182,0.126066892945197,-0.206058137099748,0.243202567126341,0.199774304193495
"miR101",-0.0309670308634769,-0.228236540401893,-0.101946509350761,-0.100800654824663,-0.0423108997751857,-0.162064635281889,0.0679772649129864,0.0681232914088784,0.123271673193816,0.152620008988968,0.0972027397765345,0.101946509350761,-0.124859760119106,0.228292119257378,0.192823653416528
"miR200a",-0.0220758842033804,-0.234787685942055,-0.107796965155129,0.143359400314125,0.0550817259779951,0.00313049021296472,-0.0256042180813325,-0.0254787955267737,0.138192690333757,0.119259086402318,-0.122097386922287,0.107796965155129,-0.116782267469477,0.234614589081865,0.121120079160576
"miR141",-0.0217316815605142,-0.26032927503992,-0.12116872556317,-0.0675518028107174,-0.0431003351718893,0.0253791631578216,0.156097903076451,0.156304551666343,0.0817102984759479,0.0580420800203963,0.0416515061089314,0.12116872556317,0.0930937579422728,0.260326498084943,0.231163847425209
"miR200c",-0.0142720169982972,-0.214715340783694,-0.101520871932602,0.149579888591224,0.0594736154167056,0.00120016551058343,-0.0327297165486417,-0.032716577042926,0.103203233282095,0.115882786010155,-0.125056665139494,0.101520871932602,-0.123545792174017,0.214565385214974,0.1037841046171
"miR200b",-0.0139278143554309,-0.240256929881559,-0.114892632340643,-0.0613313145336183,-0.0387084457331788,0.0234488384554403,0.148972404609142,0.149066770150191,0.0467208414242864,0.0546657796282333,0.0386922278917238,0.114892632340643,0.0863302332377334,0.240277294218052,0.213827872881733
"TWIST2",-0.0102863462964978,-0.165892112037335,-0.0796861106447181,0.136862325757279,-0.0549883798206373,0.0844557786110784,0.0262890790009509,0.0264130129707427,0.0158477043073358,-0.0824124948966216,-0.0528520436576183,0.0796861106447181,0.107642430166687,0.165791407545651,0.0560893455764014
"TGFbeta",-0.000620786238502966,-0.0854781271194177,-0.0415743198185014,-0.0923231905927722,-0.0208938891619663,0.0282117713853786,0.0199401644786122,-0.0801340434325965,-0.075911608391307,-0.0683608159604806,0.0562599067014793,0.0415743198185014,0.114250620801705,0.0855644127279195,0.125506200433979
"miR34a",0.0293838901936736,0.1254374000739,0.102886025053942,0.142316288715648,0.0601643788720646,0.0485981788088427,-0.0307779437951259,-0.0308283026780081,-0.017866002986341,0.112303925270526,-0.149803940769836,-0.102886025053942,-0.0447373008288322,-0.125583665815161,-0.138948370659374
"ZEB1",0.0454403714690536,0.179362438415517,0.227493132408759,-0.102604735365268,-0.0728390373410112,-0.0320551723623071,-0.118448507236848,-0.118549601356753,-0.220759159705114,-0.193051135978916,0.120601420803714,-0.227493132408759,0.0575087551402114,-0.279260179188377,-0.238813132659104
"FOXC2",0.045475614542605,0.279260179188377,0.227381429018879,-0.102503176132338,-0.0728775967610776,-0.0317861735828743,-0.118193899388284,-0.118448507236848,-0.220727790918901,-0.193177902121792,0.120628464673575,-0.227381429018879,0.0576386399684778,-0.279083974320851,-0.238766128607802
"SNAI2",0.05385234836934,0.0626910189351674,0.0045828679365893,-0.179988162971723,0.00439546076368858,0.120047544154486,-0.204788804761327,-0.204753734149644,-0.190241269770775,-0.167168698025895,0.105443097837631,-0.0045828679365893,0.0483447895869981,-0.0625312611507433,0.00591145779947947
"GSC",0.078954849252224,-0.113985407871468,-0.0988633237644995,0.041019187148416,-0.0116140566242256,0.201788530700104,0.0348353146180779,0.0347993490692878,0.0697965819408405,-0.0785268646751537,-0.154842549375079,0.0988633237644995,0.142322565327498,0.113840459684303,-0.0104157111886945
