"","miR200a","miR200c","miR34a","miR141","TGFbeta","SNAI2","TWIST1","FOXC2","TWIST2","miR101","GSC","ZEB1","SNAI1","ZEB2","miR200b"
"miR200a",0.190426935509999,0.134719032056673,0.0196944774589624,0.0523394510265225,-0.0694381709866245,-0.0861467605158969,-0.169554160357258,-0.0808540785191502,0.0595339445564913,-0.0386297280844504,0.0698717746752421,-0.0525893769743898,0.164649073689513,-0.334896837423431,-0.141198204148315
"miR200c",0.132198757231589,0.109676287351166,0.165610603088704,0.021696474741875,0.150168538326458,0.189912663040175,0.221065040389953,0.152169340874087,-0.0248444567963093,0.0443280110848258,-0.150007280756311,-0.0216131660925859,-0.284070268197976,-0.244795817722058,-0.176964166235182
"GSC",0.0938629991709636,0.10622775519041,-0.105021038994442,-0.0228890769958151,0.0166533577830183,-0.155423108671948,-0.363494275406851,-0.160790886152923,0.0280393550972522,-0.115715449041155,-0.0164331476684964,0.0227362672120582,0.29730769908011,-0.215511665490817,-0.0425624572619535
"TWIST2",0.147593727452913,0.0518595967111695,-0.0472867621668648,0.0931917491052685,0.024625839159504,-0.0110231039475477,-0.262677350217911,-0.0257450848251573,-0.0487296959136596,-0.0834712528857838,-0.0244385234334717,-0.0933298329934294,0.21957525274531,-0.206871871358477,-0.10283899880131
"SNAI1",0.156116215624482,0.0315165262249985,-0.120211463914742,0.122162287169549,0.00473134693783417,-0.170373456518564,-0.279000700197542,-0.131661592647819,0.0362660420207033,-0.114169675670939,-0.00457314104813421,-0.122273887411916,0.203505431294415,-0.203708607515159,-0.0576324553955665
"TWIST1",0.0917667867370075,0.0285318647367482,0.137200582044928,0.0694965898320898,0.0327703999334372,0.181465992618471,0.271733044876156,0.0535494309998452,-0.0826724814772107,0.0520480529075324,-0.0327289605151932,-0.0694532900236979,-0.324051815815908,-0.122739125923127,-0.111041909806838
"SNAI2",-0.00497537053948629,0.020230819387946,0.0483939732987571,-0.0249403797031835,0.00960618505189847,-0.0227243944024734,0.195127116035238,0.0570729589674269,-0.0251839087845767,0.0400007742178922,-0.00961388347885323,0.0250231054322249,-0.167368401447636,-0.0144424789705611,-0.0173932510271811
"ZEB1",-0.00248121449502673,0.00280517970002789,-0.0151273288839276,-0.00452558419446654,-0.00266253219504965,-0.0984347316691274,-0.0124874888013895,-0.0962601310579308,-0.00805541307277245,0.000534256319873931,0.00265101514341487,-0.0955019856952038,0.0968282045227832,-0.000372509016274636,0.0106950664195963
"FOXC2",-0.00250725932686393,0.0027664018392925,-0.0151012155220934,-0.00451383720329814,-0.00265101514341487,-0.0984104793153017,-0.0124217740036118,-0.0962832667099706,-0.00803428538229311,0.0005733618693069,0.00264548019018522,0.00452558419446654,0.0967682376809193,-0.000350296995128791,0.0107199769262944
"miR34a",-0.0873863305888325,0.0856245941727014,0.0241396729318651,-0.0782513607160843,0.0243349695756126,0.132757744269315,0.063123463739032,0.11124745663788,-0.00954443690593272,-0.00214736193605995,-0.0243634860514616,0.0782994868632088,-0.137647406451786,0.00201351126131167,-0.0187606408098671
"miR101",-0.0184278517075678,-0.104091759156595,-0.0634230517836143,0.0871790263906508,-0.0266353237098523,-0.145832884361486,-0.258712800186647,-0.120612730793683,0.0347315539272629,-0.11006533165051,0.0265508746519871,-0.0872284677038121,0.270034865364227,0.125066050513483,0.0439550041818623
"TGFbeta",-0.105920336363799,-0.0599298243602443,0.171821034458527,-0.041169871711483,0.0866399574736779,0.194612804975478,0.299885119449703,0.146138675604679,-0.0991457825052878,0.0706164351242614,-0.186904524809291,0.0413527972015068,-0.343566148854006,0.174604046387486,-0.0458018894770399
"miR200b",-0.132198757231589,-0.109676287351166,-0.165610603088704,-0.021696474741875,-0.150168538326458,-0.189912663040175,-0.221065040389953,-0.152169340874087,0.0248444567963093,-0.0443280110848258,0.150007280756311,0.0216131660925859,0.284070268197976,0.244795817722058,0.176964166235182
"miR141",-0.190426935509999,-0.134719032056673,-0.0196944774589624,-0.0523394510265225,0.0694381709866245,0.0861467605158969,0.169554160357258,0.0808540785191502,-0.0595339445564913,0.0386297280844504,-0.0698717746752421,0.0525893769743898,-0.164649073689513,0.334896837423431,0.141198204148315
"ZEB2",-0.421244023075519,-0.297778419775329,-0.166264029081594,-0.136188366934041,-0.116636112781602,-0.105735559069608,-0.0997995456764344,-0.0836062172000325,-0.0199651867275507,-0.0152327208304205,0.11601196907632,0.136288401274188,0.140041987826899,0.403030613114888,0.418179611282927
