"","ZEB2","ZEB1","miR200c","miR200b","TWIST1","TGFbeta","GSC","SNAI2","miR101","FOXC2","SNAI1","miR200a","TWIST2","miR141","miR34a"
"TWIST1",-0.138442623514474,-0.107644396909577,-0.122837571763446,-0.125514457441426,0.137376127437059,0.0322714878234773,0.0323115904862941,-0.151321503517806,-0.043200432044027,0.0377315930206104,-0.273200062110431,0.122837571763446,0.115646756884965,0.107673695582322,-0.0392058453600356
"ZEB2",-0.0947754238636375,-0.0889982132925843,-0.0326371092682303,-0.0321059654813214,-0.00595045422057826,-0.000727825303805536,-0.000656784556862825,0.00105563143635167,0.00495532195327159,0.0100177756419088,0.0102543529292585,0.0326371092682303,0.0460537521001756,0.0890773449347898,0.0970417194835422
"miR34a",-0.057857472451424,-0.190526083434789,-0.180357244350544,-0.093191833571111,0.122812056290123,0.00179397561553553,0.00172541472679225,-0.0133687707702564,-0.106547052830823,0.167985370810243,-0.271824094178435,0.180357244350544,0.060190897852159,0.190544012783718,-0.00955719765535341
"FOXC2",-0.0542199689209708,-0.144826022931011,-0.189558390242648,-0.192729059069366,0.0295951779687862,0.00640910349032829,0.00640910349032829,0.0588194596578218,-0.10216165161519,0.11902721782511,-0.150776532069557,0.189558390242648,0.0904076015761821,0.144795053590658,0.125695733075147
"TGFbeta",-0.049478133293974,0.00752568181262924,-0.0174213226568678,0.0468156609546129,0.124686492339528,-0.0796899376785918,0.0202487601338881,-0.0313973526477091,-0.104618528614375,0.0474727687203109,-0.244474232806753,0.0174213226568678,-0.0744532087312191,-0.00752787817357292,-0.169917241700116
"SNAI2",-0.0236184592060433,0.024561695994329,0.000585060835771747,0.00999649113081434,0.0835022438914123,5.07448745528089e-05,0.000123452240236643,-0.0451867111332891,-0.0207940578118485,-0.0280923762199633,0.00893700621619845,-0.000585060835771747,-0.0801406620434476,-0.0245312180941559,-0.0125749821153242
"miR200c",0.00448085355312039,-0.201007203331968,-0.0983666604728135,-0.0888370681013443,-0.0569568570432275,-0.0929115632099207,-0.0929677047343422,-0.00519977116438594,0.068578693360889,-0.0087769699065115,0.132206097808267,0.0983666604728135,0.0865283704696614,0.201014608545238,0.208573735165483
"miR200b",0.00448085355312039,-0.201007203331968,-0.0983666604728135,-0.0888370681013443,-0.0569568570432275,-0.0929115632099207,-0.0929677047343422,-0.00519977116438594,0.068578693360889,-0.0087769699065115,0.132206097808267,0.0983666604728135,0.0865283704696614,0.201014608545238,0.208573735165483
"miR141",0.0314559974268197,0.194494082706965,0.111245873911022,0.0531677156671048,-0.0807341833912238,-0.0929376991751067,-0.0929102256631557,-0.0366792727155702,0.135866555106363,-0.0694929819382281,0.237300755289717,-0.111245873911022,-0.022137885703346,-0.194473718370472,-0.0640031084834039
"miR200a",0.0481806714666586,0.144845516284825,0.0936866716799698,0.0713192080377214,-0.0828533335955025,-0.0985640428409465,-0.098620184365368,-0.0366794090993027,0.136670818067284,-0.0651508014246306,0.23923125936146,-0.0936866716799698,-0.004994388925803,-0.14481126717345,-0.0232304390176735
"TWIST2",0.0518718326196753,-0.139353468511887,-0.0434552800993927,-0.0583461829221887,-0.00815666502011575,0.00359033255565604,0.00361806207401128,-0.0978344272207569,-0.021974005596292,0.0964647859494006,-0.139174743653894,0.0434552800993927,0.104909438467188,0.139391287665969,0.0134846612173003
"ZEB1",0.0542220420429444,0.0448646207765491,0.189575174689832,0.192766886135093,-0.029651931657776,-0.00641550185234761,-0.00640910349032829,-0.0588005967159574,0.102110695899262,-0.118988658405044,0.150749488199697,-0.189575174689832,-0.090378551001773,-0.144826022931011,-0.125709908900143
"GSC",0.0783718775003832,0.11984516741991,0.101855156693348,0.0956100484577751,0.00854720698452133,-0.0101982874433143,-0.0101913467233724,-0.03182725768525,-0.0750751585254673,-0.0433400847079753,-0.0840627118426326,-0.101855156693348,-0.0366459428229957,-0.119814212383329,-0.105957749585339
"miR101",0.124014928487906,-0.0981091944064501,0.0118835556978391,0.0385999766313207,-0.224394155827553,-0.0265061905055338,-0.0265220247038836,0.157808687245257,0.0874912261815034,-0.0985649864644344,0.233293586517724,-0.0118835556978391,0.0122321867226463,0.0980563433475535,0.140639642222155
"SNAI1",0.181777308367397,0.109876550767851,0.140977544288455,0.148124594237182,-0.251300529625697,-0.040154309749641,-0.0401380530040828,0.171743188215561,0.113694386720963,-0.134274835684975,0.204021059935972,-0.140977544288455,-0.0323418692079805,-0.109890771297349,0.132441516274024
