"","ZEB2","SNAI2","TWIST2","miR200b","miR141","ZEB1","miR200a","miR34a","GSC","TGFbeta","miR200c","TWIST1","miR101","FOXC2","SNAI1"
"TGFbeta",-0.10131016099069,-0.199725808128782,-0.13032690736364,-0.114536485950265,0.0562876398155862,0.056209512119161,0.0253747883731561,-0.119651188425271,0.18743626129588,0.0873620533846711,-0.0758004309985034,0.0493963745628726,0.0537536924083463,0.110818212151622,0.0931141171650127
"ZEB2",-0.0936347352198076,-0.0486350111364621,-0.0298099125216281,-0.00701307401368404,-0.00550601120329462,-0.00545474982501053,-0.00205366831818581,0.00490187978215719,0.0052426334990539,0.00527815387252526,0.00562292876114654,0.00716257642540941,0.00888420614321883,0.0302137947768366,0.0308645721197836
"miR34a",-0.0855900347378696,-0.104924813899628,-0.18241136347206,-0.067046070780714,0.0535848778904303,0.053548547367601,-0.0388528453572449,-0.0351331413622278,-0.0122523845525414,-0.0122566316872423,-0.106256359623776,0.0853693283736028,0.0397577618913468,0.0762616966379599,0.0122569918765462
"miR101",-0.0811296585096724,-0.0198662850414995,0.0642805461353026,-0.0126282622814001,0.0996347600849218,0.0995798631785841,-0.00815531779199622,-0.0572690528943076,-0.0382569049908024,-0.038336075982551,-0.0913107612703339,-0.00169971400355232,-0.0199522173385816,-0.0309713081695968,-0.0402013232905301
"GSC",-0.0687407716837401,-0.0770802410901514,-0.00746320468328549,-0.00615533873936356,0.0497219849087634,0.0496669537326194,0.015301943342223,-0.0567292949274415,-0.0184752254153336,-0.0185200246076861,-0.0579677254480064,0.0266279318661901,-0.0412901287531259,0.131854257586381,0.0538806767095091
"SNAI1",-0.0544154221995432,-0.0415631248617519,0.0233646100874165,-0.0115018722105753,0.056088824971728,0.0561469436575038,0.00908967521542575,-0.0682157219357799,-0.0128739271082698,-0.0128108826559833,-0.0547691651090553,-0.00362364183391332,-0.0237391823519889,0.00915467461957404,-0.108363029180918
"miR200c",-0.0302298835864624,-0.204342921002236,-0.123205346244629,0.00123260009431298,-0.0087776869754297,-0.00877305871713586,0.0191219018088275,0.00189144745264431,0.117236674170212,0.117264147682163,-0.00926138314621409,0.0341111331181417,0.0408865703713894,0.125228657895878,0.122084748413034
"miR200a",-0.0302298835864624,-0.204342921002236,-0.123205346244629,0.00123260009431298,-0.0087776869754297,-0.00877305871713586,0.0191219018088275,0.00189144745264431,0.117236674170212,0.117264147682163,-0.00926138314621409,0.0341111331181417,0.0408865703713894,0.125228657895878,0.122084748413034
"FOXC2",-0.0216338976617669,-0.130062404503613,-0.120255413925371,0.00241507401889663,-0.0179818310355108,-0.0179893063935271,0.0205478191000384,0.00754934923028319,0.0092205879903018,0.00923719284999074,0.00168324043411555,0.022102599355723,0.0182873312908111,0.117157497247997,0.0945830705759832
"TWIST1",-0.0116605066856182,-0.207892803188781,-0.160561966928282,-0.0332766977975758,-0.0917750108810297,-0.0918592769752054,0.0394045788731144,0.0136393922957376,0.0469048305292256,0.0468780954206811,0.0489719135097216,0.0218594647514384,0.0979271398822529,0.142286413564265,0.0152008938033904
"TWIST2",0.0121181092604156,-0.0777993977735092,-0.0551256757182765,-0.0780607309819859,0.124180336906217,0.124125806963122,-0.0669595697890626,-0.0725935966366011,-0.015979962592925,-0.0160201420991132,-0.0560150004914636,-0.112525428580525,0.032670997554349,-0.0831973923594087,-0.00402952271964959
"ZEB1",0.0216430786305072,0.130075878033516,0.12031351507419,-0.00239016351219847,0.0179893063935271,-0.0820041770870963,-0.0205611309029775,-0.00754263436581154,-0.00923719284999074,-0.00923079448797142,-0.00167803146774811,-0.0221384437908745,-0.0183596173064296,-0.117180632900037,-0.0945313344771202
"miR141",0.0268652485588106,0.220056755720687,0.134183330245113,0.0324125246526641,0.0168217716830079,0.0168421360195007,-0.0216234835096037,-0.00627320706191403,-0.124685437632271,-0.124743968157732,0.00371703592514979,-0.0372250639692975,-0.044283063430059,-0.137158747352582,-0.131994829993253
"miR200b",0.0302298835864624,0.204342921002236,0.123205346244629,-0.00123260009431298,0.0087776869754297,0.00877305871713586,-0.0191219018088275,-0.00189144745264431,-0.117236674170212,-0.117264147682163,0.00926138314621409,-0.0341111331181417,-0.0408865703713894,-0.125228657895878,-0.122084748413034
"SNAI2",0.0930082893584962,0.141777454070192,0.229924834780679,0.158373059342445,0.0432285529554059,0.0431980750552328,-0.0679192484568993,-0.0112650489220815,-0.202150075175248,-0.202222782540932,0.0247310797969208,-0.131369243318251,-0.204607751794493,-0.0789252608816898,-0.0378503272265206
