"","ZEB2","TWIST1","SNAI1","FOXC2","miR200c","ZEB1","miR200b","TGFbeta","GSC","miR101","miR141","miR200a","SNAI2","TWIST2","miR34a"
"ZEB2",-0.0895036158645581,-0.0162342111811115,-0.00809325835505392,-0.00757941808212649,-0.0071339938245511,-0.00527908737078664,-0.00344353610946425,-0.00272493931516501,0.00270210478936199,0.00386248268370942,0.00526365918897298,0.0071339938245511,0.0153667583305959,0.0181319958008634,0.0214661999260776
"TWIST1",-0.0788546902427401,0.023815991771351,-0.0331374491557104,-0.055656684980912,0.0861978090362231,0.0938852667283947,-0.0396497856376987,-0.00227371063374778,0.00233520138340022,0.0135624397696553,-0.0941110998607858,-0.0861978090362231,0.0939811754046601,0.0899625774268578,-0.0123388288283935
"miR101",-0.0751944197871849,0.0103953682380227,-0.0247453842883155,0.0350385829211743,0.10091084135774,0.121389909588607,-0.0375998667798939,0.00525630447498317,-0.005291491582427,-0.0188927449711301,-0.121414800732475,-0.10091084135774,0.086327468765374,0.0077595686849415,-0.0428248509287563
"GSC",-0.0177721659007912,-0.164272370310208,0.0918576186436337,-0.0628640336972351,0.0194672138482691,0.0193474321191864,0.0232582764459233,0.0107691537810044,-0.0105375861247593,0.0655784833552558,-0.0197842420798293,-0.0194672138482691,-0.0649598386057224,-0.0573957235628556,-0.0491784215056733
"miR200b",-0.00655119771036733,0.0216505127108317,0.0748567832640044,0.0130334034598993,-0.0129078403834273,-0.0310933689554943,0.0866351174313208,0.115449211749754,-0.115741864377058,-0.0251989798798793,0.0315673026047834,0.0129078403834273,-0.125132581025133,-0.0412872450551246,0.0334425739520104
"miR200a",-0.00655119771036733,0.0216505127108317,0.0748567832640044,0.0130334034598993,-0.0129078403834273,-0.0310933689554943,0.0866351174313208,0.115449211749754,-0.115741864377058,-0.0251989798798793,0.0315673026047834,0.0129078403834273,-0.125132581025133,-0.0412872450551246,0.0334425739520104
"FOXC2",0.0043261082383636,0.0818662831102714,-0.0844395467029017,0.0851606688298224,0.0187202564938974,0.0306192817410976,-0.0368653702185473,-0.00346143577364842,0.00372711352867139,0.00861325387357416,-0.031280316971392,-0.0187202564938974,0.103566856265801,-0.0125214741282111,-0.029985071638425
"ZEB1",0.00455918638025399,0.0814779683961308,-0.0846629525843555,0.0848136340492255,0.0185495181518535,-0.0689937372620754,-0.0364114454298253,-0.00358556399682329,0.00346143577364842,0.00865946952290403,-0.0306192817410976,-0.0185495181518535,0.103614822032256,-0.0129176183246987,-0.0295829258661783
"miR141",0.00655119771036733,-0.0216505127108317,-0.0748567832640044,-0.0130334034598993,0.0129078403834273,0.0310933689554943,-0.0866351174313208,-0.115449211749754,0.115741864377058,0.0251989798798793,-0.0315673026047834,-0.0129078403834273,0.125132581025133,0.0412872450551246,-0.0334425739520104
"miR200c",0.00685032204773109,0.0807270223582255,0.0153174875433203,0.0380030713177526,-0.000787288643599805,0.00592719306667918,-0.0171416210955267,0.106501337662934,-0.106576591195669,-0.0180301504749443,-0.00606048690554174,0.000787288643599805,-0.0510614421663529,-0.0666654908321316,-0.0898476760050482
"SNAI2",0.013587157720792,-0.0454646787329957,-0.0520096670680975,0.0480389099138422,0.0243429503779263,0.0602593452508075,-0.039541179379164,-0.00525898215397802,0.00513666270347463,-0.011815107062266,-0.059883227867352,-0.0243429503779263,-0.0704357640827078,0.00818723117843321,-0.0195107081731138
"TGFbeta",0.0457592094064986,0.0761738200110994,0.0249657708373061,0.0131422578122679,-0.0711258945167081,-0.090808726989795,0.10553155353368,0.0907634102666029,-0.190531107240211,-0.0251983644928554,0.0905743439005192,0.0711258945167081,-0.0731772442495286,-0.0859830361849737,-0.0143192524785407
"SNAI1",0.0457633325816011,-0.00361619952052104,-0.0744394604265165,-0.0394317310307726,-0.0702371960315683,-0.0877570721102349,0.0326146379292449,0.00132701234173977,-0.00140353799765981,0.0297149062085971,0.0879552320973746,0.0702371960315683,-0.0624305738327599,-0.0459287176047278,-0.0117472468661454
"miR34a",0.0680383632661619,-0.0266625681133256,0.0484896431324889,-0.0530601930463256,-0.124898285095559,-0.100056809332634,0.0983236483185767,0.0182370678593315,-0.0182303937905158,-0.0336487024600699,0.100208736973557,0.124898285095559,-0.126970850902626,-0.00538036217144745,0.0260192153768897
"TWIST2",0.0771177362506971,-0.0341820246429574,-0.00686399547506138,0.0131257755493158,-0.0066331835316171,0.0630237176092045,-0.0224992844368337,-0.000622765056430739,0.000590508269772598,-0.0483374967860484,-0.0630316332461054,0.0066331835316171,-0.0762902415922267,-0.0912489484046541,-0.0149291232029359
