"","ZEB2","miR34a","miR200b","miR200a","FOXC2","miR101","TGFbeta","GSC","SNAI1","SNAI2","TWIST1","TWIST2","miR200c","miR141","ZEB1"
"TWIST1",-0.0952664716804364,0.0453792680780714,0.062081975014465,0.112744279102842,0.106179579485705,-0.0142433669346449,0.00693531365742981,0.00686045535350509,-0.0137267985302927,0.0447259946829688,0.00207783118515291,-0.0946276525432097,-0.112744279102842,-0.124310050526393,-0.124496473054739
"ZEB2",-0.0869857578981628,-0.0464291876631554,-0.0345803582687342,-0.0279736685803462,-0.0102402346709084,-0.00730214861187384,-0.00415645200473987,-0.00411839446173485,0.00687716366522336,0.0074043043532839,0.00800121798375936,0.0204957979579428,0.0279736685803462,0.0436198843176471,0.0437557518542642
"TWIST2",-0.0715746445740691,0.05761209926432,0.115748990457182,0.107177698923699,-0.0720212499472547,0.0431015701831896,0.0252892674004442,0.0252966242114364,0.0296109559471545,-0.127832644207359,-0.190378270814877,0.0956001777782653,-0.107177698923699,-0.1426328166765,-0.142754629533254
"SNAI1",-0.0626465347507588,-0.0258737434299202,0.067114801298197,0.0538589973745669,0.0122313777123372,-0.00351339932395646,0.0211039102553817,0.0212272236180301,-0.0932677929117506,-0.096190564469425,-0.0307689385467497,0.0758115208211959,-0.0538589973745669,-0.0481718348334188,-0.0481770902464942
"ZEB1",-0.00283411975645173,-0.235020051622796,-0.214385227509189,-0.232067533475884,-0.0984348864391603,0.101616649619851,0.00421875266217638,0.00422387135179183,-0.0829955213247995,-0.118721705123984,-0.0321470037153698,0.225951040005767,0.232067533475884,0.25698439974632,0.156883143060622
"FOXC2",-0.00280420756797533,-0.234847703434691,-0.214337251718511,-0.232063482057599,-0.0987973449877837,0.101982819764542,0.00422387135179183,0.00409656742750999,-0.0829496643280801,-0.11857888570701,-0.031854274161633,0.226146471142701,0.232063482057599,0.256964109488847,0.25698439974632
"miR200c",-0.00215499850253971,-0.113628821766597,-0.0325876397427553,-0.101599666930973,0.0120564740765499,0.0802022641259486,0.115562265648604,0.115582572157438,-0.0647698899259823,-0.0953456736734012,-0.0682049684360291,0.102092706926117,0.101599666930973,0.205047887229893,0.204926626862594
"miR200b",-0.00215499850253971,-0.113628821766597,-0.0325876397427553,-0.101599666930973,0.0120564740765499,0.0802022641259486,0.115562265648604,0.115582572157438,-0.0647698899259823,-0.0953456736734012,-0.0682049684360291,0.102092706926117,0.101599666930973,0.205047887229893,0.204926626862594
"miR200a",0.000332884184544798,0.217188442321866,0.146206967179511,0.126706148464835,0.0512703672375114,0.0112769830061159,0.111633372304156,0.111763572860794,-0.011635049848962,-0.012426573738414,-0.0403735075002271,-0.100512118130432,-0.126706148464835,-0.250484381659725,-0.25062322940854
"miR141",0.000332884184544798,0.217188442321866,0.146206967179511,0.126706148464835,0.0512703672375114,0.0112769830061159,0.111633372304156,0.111763572860794,-0.011635049848962,-0.012426573738414,-0.0403735075002271,-0.100512118130432,-0.126706148464835,-0.250484381659725,-0.25062322940854
"miR34a",0.00975155743225812,0.0467445932086892,0.00437238661509459,0.106982661870692,0.0776078195245348,-0.0678769220145157,-0.0199228868776539,-0.019969605359364,0.00991213512023364,0.111500836467861,0.101962566303208,-0.224160306239398,-0.106982661870692,-0.117903801337196,-0.118149622147508
"miR101",0.0205372472614096,0.0904344886622143,0.0825045405049967,0.0868133983091785,0.0117585987975426,-0.0162423439293577,0.00148852588446699,0.00145157942165097,0.00550205613217712,-0.0714128402617469,-0.00151101359320833,-0.0169420180849589,-0.0868133983091785,-0.192854294602679,-0.193132188880102
"SNAI2",0.0211874209102441,-0.0152809938467945,-0.0512397801136601,-0.0321502871653222,-0.00021282784233435,-0.0323588923393947,-0.0124251967375517,-0.0122874804331388,-0.0358017528627901,0.00465902193612532,0.12242686391964,-0.097693127454191,0.0321502871653222,0.0431073532147747,0.0430674974991636
"TGFbeta",0.0750341480515245,0.0671636260196216,0.063646354079237,-0.0243679371305705,0.021621882619354,0.0274230758040642,0.0817461193085056,0.181800968634182,-0.0149096620221036,-0.0442917580416318,-0.0797453827340393,0.0396266136277232,0.0243679371305705,-0.0260395355515884,-0.0256457594109711
"GSC",0.0854107587050164,0.0128320272600788,0.01132384905257,-0.00463161928982529,0.0310634360573044,-0.02879319258061,-0.00716314655525925,-0.00717639702060298,0.0197671074117893,-0.0642137603486629,-0.123723655472011,0.024197494804705,0.00463161928982529,-0.0809561322043212,-0.0812445545292901
