"","miR200b","GSC","SNAI1","miR141","ZEB1","miR34a","miR101","TWIST2","SNAI2","ZEB2","FOXC2","TWIST1","miR200a","TGFbeta","miR200c"
"TWIST1",0.0706949595762811,0.0695131792460439,0.0479238356084221,-0.0550280357367511,-0.0550096268361773,0.0545651756259215,-0.0265106734853829,-0.124896239724157,-0.0623258124007414,-0.222366409424516,-0.160928440666797,-0.0343903725655923,-0.123489102454127,-0.0694089123227202,-0.0763088563609398
"miR101",0.0702822166400837,0.079216764770335,0.0299177670318675,0.00241169216338657,0.0024447666970186,0.00641557690390437,-0.0880586676011863,-0.0338778422835797,0.045843047051023,-0.204724413715426,-0.0465450084943029,-0.0160153519553505,-0.100693114739595,-0.078968695662856,-0.103229388369509
"miR200c",0.0471662691082011,-0.0507468995522234,-0.10530190908079,-0.00620183480305478,-0.00621294262296,-0.0917641463229013,0.0244402294889717,0.0709002828875349,0.0569528980342543,-0.141345613652546,0.0607505274616872,0.0562638351322875,-0.075244009813516,0.0508723221067822,-0.0688202246213662
"miR34a",0.0663118353127861,0.045205470700126,0.130495043311662,-0.004725436205098,-0.00467966918283258,0.0529599878327833,-0.0186444853784818,-0.227195849744018,-0.0974876470300429,-0.134423395822399,-0.133083621960705,0.0178643687273052,-0.0976580073219334,-0.0449852264292073,-0.0121822198193811
"GSC",0.0706070199619228,0.0539545231210585,0.00844759460396924,0.0957256177885902,0.0957408496319872,-0.0275989061344118,-0.0835368195003551,0.0426359126194516,0.0621494113692946,-0.0684428264036125,-0.0319694974935173,-0.131025473377133,0.01092981014382,-0.05385293622009,-0.0841183248293268
"SNAI1",0.0132447433898901,0.0250350422460178,-0.0998283086210272,0.0743091498123594,0.0742769990500154,0.0147343381826449,-0.0834660408888044,0.00143419472981586,0.0646875900244696,-0.0321257687625748,-0.021990910388733,-0.00221496799154677,0.0120595439635985,-0.0251258421175498,-0.0566048009748748
"SNAI2",-0.0464105323180386,-0.0340362372687791,-0.0802398316392449,-0.0270616518363949,-0.0270485898791778,-0.0137900516812896,0.00540638039673049,0.0912554091906783,-0.0260778398873937,0.0537965290269808,0.0768560411915667,-0.019292645801246,0.0136469415284986,0.0338523304026376,0.0410916900305737
"TGFbeta",-0.127267546592065,-0.241566873673268,-0.0970487050328545,-0.0938583346234407,-0.0939038306715598,-0.0527937414953069,0.0388720990356007,0.0655762214508276,0.0202753784990665,0.0747546626805156,0.0603614262709603,0.0806837145692791,-0.00781691472521282,0.141252296658362,0.0852087963349479
"ZEB2",-0.227443477032546,-0.209624208791035,-0.115429998401886,-0.0467307230003593,-0.0466953874871732,0.00638092401487489,0.0239196905780114,0.0266163187343757,0.0678575295032728,0.0822960747009394,0.0930677604924677,0.117158165333948,0.169655687140022,0.209616597282434,0.211994771409329
"FOXC2",-0.04286029245623,-0.0372295062967813,-0.079052723865085,-0.00719423973171684,-0.00723375233837418,-0.00101579898017882,0.00126927254557822,0.0931726602700826,0.0805995918975933,0.108189200145881,0.0905328790061091,-0.0119687726467405,0.039236232935114,0.0372073664838627,0.0474191504113902
"ZEB1",-0.0428141618882705,-0.0372073664838627,-0.0791444378585239,-0.00723375233837418,-0.107244279023521,-0.0010523576867467,0.001396069327073,0.0932281204575908,0.0805818068381211,0.108319214509654,0.090759608396099,-0.0117148745644178,0.0391476805068675,0.0368567362452038,0.0473734272621649
"miR141",-0.0471662691082011,0.0507468995522234,0.10530190908079,0.00620183480305478,0.00621294262296,0.0917641463229013,-0.0244402294889717,-0.0709002828875349,-0.0569528980342543,0.141345613652546,-0.0607505274616872,-0.0562638351322875,0.075244009813516,-0.0508723221067822,0.0688202246213662
"miR200a",-0.126952607392318,-0.189603607866746,-0.0918849035989171,-0.0249003566892172,-0.024837412376421,0.017605365886073,0.0324162999566627,-0.0124008813654964,0.0264265806082673,0.165494046021027,0.065424752905077,0.113030476172367,0.0708355094080519,0.189425627289325,0.0967860077982635
"TWIST2",-0.113473497899172,-0.0979509766263331,-0.121078173616893,-0.0766213433667954,-0.0766121084570776,-0.0194898057641932,0.0182439059826379,0.100255343892907,0.0888354795330689,0.181497341155316,0.0953368628300422,-0.00505409328693815,0.0529205751015141,0.0978123290345569,0.130486015644821
"miR200b",-0.0534837399042362,0.0227104029318188,0.052551938069014,0.000520142636137824,0.00049700134466863,-0.012499828517278,-0.0237544417265027,0.0220437843277108,-0.00583418727345132,0.225777881899621,-0.0281819636417853,-0.0658026266056214,0.112286374086307,-0.0228549374946913,0.11205833539574
