"","ZEB2","ZEB1","TWIST2","miR200c","miR200a","TWIST1","FOXC2","TGFbeta","GSC","miR101","miR200b","SNAI2","miR34a","SNAI1","miR141"
"SNAI1",-0.141012650821919,-0.0462482855785543,0.131608760247095,0.0474933672069017,0.0474933672069017,0.192938272121908,-0.0232728859971582,-0.000497950368689473,0.000495967838743358,0.182889223656823,0.0115210834495103,-0.142322316418201,-0.106293645229209,0.0217755052411176,0.0462492130043911
"TWIST2",-0.134733783490844,-0.127168054097868,0.114415820848959,0.00398164598774644,0.00398164598774644,0.221454107881644,0.0603575354648396,-5.03018571485053e-05,5.31313998378158e-05,0.10851609594769,0.041887846501548,-0.137590771981384,0.0238812898771797,0.070744643874078,0.127172891431529
"ZEB2",-0.0881525655394651,-0.0351844854271829,-0.0222999637990622,-0.0217178205482036,-0.0217178205482036,-0.00442739375196087,-0.00410876747046276,-0.00010459309390291,9.69815853019058e-05,0.00513045457635702,0.0154906280722385,0.0206022385885875,0.0245173721787391,0.0309250298574054,0.0351819970107614
"TGFbeta",-0.000950431064793509,-0.0252227369857325,0.00988110330504376,-0.0138139461611417,-0.0138139461611417,0.0273901385217958,-0.010833427318547,-0.0890278295237317,-0.0109576515371188,-0.0283840466214012,0.0816664431145518,-0.0171186197332438,0.105674402260512,-0.0729382902830923,0.0252293260685635
"ZEB1",-0.000705702523022869,0.158021584780384,0.216005751650507,0.234239895047744,0.234239895047744,0.0113310793418198,0.111476988183914,-0.00310672698928578,0.00310288797207418,-0.00256202878237012,-0.218235011644364,-0.108197505588603,-0.225358449941746,-0.114574191551319,-0.258027098758318
"FOXC2",0.000705406362740924,-0.258027098758318,-0.216026879340986,-0.234245104014112,-0.234245104014112,-0.0113280923055571,-0.111481615314322,0.00310288797207418,-0.00310842292530383,0.0025489935992258,0.218234089033005,0.10819373300023,0.225362180422008,0.114577719012605,0.258032438299759
"miR34a",0.00220040412361179,-0.121637901906533,-0.197651999402185,-0.114421898340551,-0.114421898340551,-0.0362183470913992,-0.102948037621636,0.0164999202092394,-0.0165078077451125,0.00514186605974912,0.0162555745320688,0.0857238076407737,0.015626955203878,0.0897484237010343,0.121636958256589
"miR200a",0.00241251285996236,0.208625310413835,0.0859224774991033,0.103410134794264,0.103410134794264,0.0218790917299198,0.0202036685857618,0.08613987372013,-0.0861506242248064,-0.0239397141783492,-0.0389165635733882,-0.0742773732888191,-0.103643829942557,-0.122073125067735,-0.208630864323788
"miR141",0.00241251285996236,0.208625310413835,0.0859224774991033,0.103410134794264,0.103410134794264,0.0218790917299198,0.0202036685857618,0.08613987372013,-0.0861506242248064,-0.0239397141783492,-0.0389165635733882,-0.0742773732888191,-0.103643829942557,-0.122073125067735,-0.208630864323788
"TWIST1",0.00348263120154587,0.121363146877372,0.0563202592575078,0.0719268559000704,0.0719268559000704,-0.102859032893193,0.183318747017489,-0.00086457341255928,0.000869920434268188,-0.0836987920013053,-0.0395025404161951,-0.0105630742050582,0.00199739663751346,-0.177115608872855,-0.1213649618394
"miR200c",0.00373244708330236,-0.22769309000935,-0.0943908914435218,-0.116220638383002,-0.116220638383002,-0.0236487877565015,-0.0218801627133852,-0.0897713030405151,0.0897892205483092,0.0255866304624096,0.0811863852329421,0.0807096462594551,0.1149354933829,0.132109481831885,0.227706974784232
"miR200b",0.00373244708330236,-0.22769309000935,-0.0943908914435218,-0.116220638383002,-0.116220638383002,-0.0236487877565015,-0.0218801627133852,-0.0897713030405151,0.0897892205483092,0.0255866304624096,0.0811863852329421,0.0807096462594551,0.1149354933829,0.132109481831885,0.227706974784232
"miR101",0.00964366534820634,0.202248994217987,-0.024142722051001,0.097072576609751,0.097072576609751,-0.191979666031614,0.0633991543723245,0.00676471102740582,-0.0067699890935224,-0.19234528165129,-0.118541512924328,0.110554794769729,-0.0420318212483885,-0.174362748038354,-0.202258882480619
"SNAI2",0.0217253074597625,0.0254578020242049,-0.0753502032742472,0.00196415979566517,0.00196415979566517,-0.0705488955675836,-0.0323805492492295,0.00217651962406422,-0.00216197815092745,-0.0326198096857054,-0.0165322092522897,-0.0315374693971814,-0.0158073626295911,0.000361977761881445,-0.0254534480384659
"GSC",0.130250494549343,0.0797419658299283,-0.0458586754892729,-0.0244646397477729,-0.0244646397477729,-0.195090509286873,0.038732893353146,-0.0108164333954278,0.0108221121662894,-0.124047456927475,-0.000840092168904197,0.088636544671695,0.00450438971179668,-0.0573895634024885,-0.0797419658299283
