"","ZEB2","SNAI2","miR141","miR34a","miR200c","TWIST2","miR200a","TGFbeta","TWIST1","GSC","FOXC2","miR200b","ZEB1","SNAI1","miR101"
"TWIST2",-0.128907988216053,-0.239348530955284,0.132660730708685,0.131888338151269,0.130657033537766,-0.235167258454097,0.00225602028144074,-0.042883956968295,-0.135650537851121,0.0427023003276413,0.129472680453807,-0.013432314069912,-0.133282108205409,0.106521654203308,0.175458254451647
"SNAI1",-0.126415130227957,-0.187367325646813,0.121466630046517,0.184389676664827,0.122855672936648,-0.1843039916283,0.00429124952176644,-0.0359927319315142,-0.0814699204260184,0.0356267569034614,0.131629847471399,-0.022302928008908,-0.121857385465775,0.00698697838584861,0.199938578505388
"ZEB2",-0.0880948804148868,-0.0334470608023007,-0.0261744564210739,-0.0185807039645038,-0.0171775694929347,-0.00632860286959231,-0.0040836398941529,-0.000340741458133079,0.000141828345389572,0.000424468052744131,0.000838400388347867,0.022630756682765,0.0261500699401427,0.0276765974643572,0.0304753122432496
"SNAI2",-0.0771662472632625,-0.0438944321766413,0.0798917016638884,0.117715789148857,0.0783096314023789,0.0675799146358457,0.00258672521624078,0.178376957582646,-0.193089799176963,-0.177548093613851,0.156839739160396,-0.224842037343414,-0.0803944195557555,0.165193660864273,-0.0461310390414194
"TGFbeta",-0.0608996917830843,-0.162316485798256,0.0867219731133834,0.103979824090596,0.075402690282009,-0.175866404155648,0.0101585344880487,-0.117889965534128,0.123986218842471,0.0174027744648893,-0.106031466362146,0.0790924810736054,-0.087177874892122,-0.00849507622297338,0.0766648247456997
"FOXC2",-0.0170451412344493,-0.0571034009687268,0.168030136406608,0.147254470847072,0.187306445367119,-0.150472178601586,0.176989123936596,-0.000991376396721579,0.129419744185307,0.000631604436794641,-0.152097441666951,-0.19282620515133,-0.168560886825762,-0.151689111683057,-0.0475961411716342
"miR200a",-0.00230340455518252,-0.134184223860584,-0.165696828658954,-0.0759017701070641,-0.0809510625185958,-0.0301712442036758,-0.0828397349280632,0.0841324633754756,-0.000469359818536242,-0.0839735948063677,0.00505527168112486,0.0883548858163563,0.165502441810613,0.10674727954602,0.120239717838649
"miR200c",0.00230340455518252,0.134184223860584,0.165696828658954,0.0759017701070641,0.0809510625185958,0.0301712442036758,0.0828397349280632,-0.0841324633754756,0.000469359818536242,0.0839735948063677,-0.00505527168112486,-0.0883548858163563,-0.165502441810613,-0.10674727954602,-0.120239717838649
"miR200b",0.00230340455518252,0.134184223860584,0.165696828658954,0.0759017701070641,0.0809510625185958,0.0301712442036758,0.0828397349280632,-0.0841324633754756,0.000469359818536242,0.0839735948063677,-0.00505527168112486,-0.0883548858163563,-0.165502441810613,-0.10674727954602,-0.120239717838649
"GSC",0.00481664039774465,-0.183679129924747,-0.0810571153030223,0.0431508611689742,-0.0486879945679968,-0.11364420618618,-0.0294572148097075,-0.00818419302078519,-0.258709715135866,0.00844730940403913,0.314034549945863,0.0965008261781181,0.0806188312930184,0.192193041517766,0.239324519494945
"miR101",0.0094740839312957,0.183346828039452,-0.192107323664025,-0.170768912957185,-0.0994250353400214,0.175079665882206,-0.0921656624536055,0.0103676291521909,0.0969922761168685,-0.0103535543092134,-0.136835573741856,0.0480406137891082,0.192772565056974,-0.117465624855463,-0.200341648024359
"miR141",0.00997179894455483,0.173736102339738,-0.192912045656815,-0.169608601388352,-0.100997118583186,0.169860912608042,-0.0910031808380103,-0.0857295874283237,-0.10568274196993,0.0858167859662551,0.0806160668202061,0.0287458439107168,0.193550745301365,-0.00712429758228084,-0.0892046747479381
"ZEB1",0.0169636971569146,0.057536170749216,-0.168560886825762,-0.147582007014078,-0.187782776402719,0.152352543054247,-0.177088094297578,0.00136887975586164,-0.130393518006921,-0.000991376396721579,0.152024949957226,0.192774538915215,0.0685934694226446,0.152727361121603,0.0465568815700368
"TWIST1",0.0873114472722836,0.216022821819409,0.0586988767369396,-0.0372524790514455,-0.0187241189975913,0.173385700883934,0.0695367083429738,0.0337018538048297,0.0443579100762144,-0.0335828825718065,-0.250817468270847,-0.0502406658107762,-0.0583148826277877,-0.137334091707158,-0.176633972800171
"miR34a",0.119146501236234,0.0310580984355733,0.0357181657343,-0.0889171983729306,0.0145465712240921,-0.0869864281206535,0.110725111907046,0.00409310472905044,0.180916149551783,-0.00462521003372168,-0.240866074430826,0.021612516244158,-0.0352859740601234,-0.222720615827877,-0.120905919762932
