"","miR200c","miR200b","ZEB1","miR34a","TGFbeta","SNAI1","TWIST1","miR101","FOXC2","SNAI2","GSC","TWIST2","miR141","ZEB2","miR200a"
"miR200b",0.26871459707467,0.0244834744380993,0.277584714930205,0.257524292552353,0.0716945428248799,0.119455913243798,0.0721194593371491,0.00153750828510064,-0.0933504714308546,-0.123362822963393,-0.0720063074604976,-0.178531424561095,-0.277659692714565,-0.25746151703281,-0.26871459707467
"TWIST2",0.0636731439493307,0.151695269235511,-0.105290042876119,-0.00248797831540633,0.0697596340802982,0.0903605655624577,0.0227428106170111,0.0137829798879833,-0.0612699839578655,-0.113378226433719,-0.0699322361843461,-0.106443882855761,0.105371398033157,-0.233246066453381,-0.0636731439493307
"miR101",0.0122376027601381,0.114208480527043,-0.118651077112964,-0.082067525485151,0.0498629500430344,-0.016461273803687,-0.0548082499371354,0.0281257088836605,0.0217311206438531,0.0649868211463032,-0.050190190142262,0.0739799625045488,0.119000576050828,-0.150534989889355,-0.0122376027601381
"TGFbeta",0.0957171710429935,0.115907099385233,0.0610568989273571,0.139826295304467,0.0978276412891645,0.100073057293075,0.0451027729121913,-0.000314329354900789,-0.0900377948250595,-0.09983316449892,-0.19798896283527,-0.150447688990889,-0.061104905102269,-0.126184581640948,-0.0957171710429935
"SNAI1",0.00191659864456403,0.0617878397378308,-0.0677637820895236,0.0286346976191673,0.0315753447422275,-0.0869837216320632,0.020470830082938,-0.0280922968917807,-0.0260915245150069,-0.05948926496814,-0.0318049217099876,-0.0518399332286887,0.0678967131261384,-0.0558913985008767,-0.00191659864456403
"FOXC2",-0.226896019140456,0.241623754608615,-0.265339288360976,-0.246019789500834,0.123646079584209,-0.0442635747834044,-0.107958217616132,-0.00383303232902175,0.0284577372857171,0.0577793885359517,-0.123734638835883,0.197848543779206,0.265771791217631,-0.0246297722392375,0.226896019140456
"SNAI2",-0.0271841480805511,0.0103763899805231,-0.0416924943827074,-0.00791630149149559,0.00928561714970415,0.0473587204269327,-0.0282007974892567,-0.0272746634366722,-0.042128835002984,-0.0963481466856928,-0.00961151722412227,0.00491654911105419,0.0417819185513473,0.0139585909937038,0.0271841480805511
"ZEB1",0.226551648586164,-0.241525957804541,0.165157828359873,0.245643010994369,-0.123693427463152,0.044419958900422,0.107587825119567,0.00394797894402169,-0.0283050419822545,-0.0577939399482471,0.123646079584209,-0.19773234148157,-0.265339288360976,0.024755640359064,-0.226551648586164
"miR34a",0.119124881880824,-0.0587440286371315,0.165825153299052,0.101924830502116,-0.0504289313518693,-0.000354631837522852,0.0766341730620494,0.0090009627535178,-0.00169806094467748,-0.045959555715459,0.0506297601498695,-0.20887788077433,-0.16602803803693,0.0434725382575827,-0.119124881880824
"miR141",-0.215711812374242,0.0460235050759122,-0.230910981951733,-0.126489424201121,0.147716804915161,0.0803745227431824,-0.0239193833316346,-0.00165589372602578,-0.09878067445575,-0.076175800006298,-0.147835060466602,0.0257623040890819,0.231035944925666,0.198687095562183,0.215711812374242
"TWIST1",-0.195593858058716,-0.0226601599748545,-0.190044307040739,-0.141330470353743,0.0163269174710959,-0.00407549847104672,-0.12673360550128,-0.0231386828750911,0.097409936223614,0.0848678552124628,-0.0163175601831053,0.158595680925315,0.190184577677505,0.209292878599436,0.195593858058716
"GSC",-0.219015467997496,-0.00601825391597154,-0.218210506501974,-0.185856985911689,0.0294688480284595,-0.113017675883152,-0.0598901915084745,0.0657909958569773,0.162088181538488,0.0815508608185731,-0.0294000718035802,0.127941121220687,0.218385918375932,0.221075391290373,0.219015467997496
"ZEB2",-0.314189221167294,-0.227509791702641,-0.100185862151764,-0.0943472282264246,-0.0622888246689978,-0.049183871698865,-0.0220623666145633,-0.000629528633868539,0.0420920680834963,0.0504660990612898,0.0625653761481677,0.0691145089167176,0.100049994615147,0.224619087074424,0.314189221167294
"miR200c",-0.26871459707467,-0.0244834744380993,-0.277584714930205,-0.257524292552353,-0.0716945428248799,-0.119455913243798,-0.0721194593371491,-0.00153750828510064,0.0933504714308546,0.123362822963393,0.0720063074604976,0.178531424561095,0.277659692714565,0.25746151703281,0.26871459707467
"miR200a",-0.26871459707467,-0.0244834744380993,-0.277584714930205,-0.257524292552353,-0.0716945428248799,-0.119455913243798,-0.0721194593371491,-0.00153750828510064,0.0933504714308546,0.123362822963393,0.0720063074604976,0.178531424561095,0.277659692714565,0.25746151703281,0.26871459707467
