"","miR200b","GSC","SNAI2","miR101","FOXC2","TWIST1","SNAI1","miR34a","TWIST2","miR141","ZEB1","TGFbeta","ZEB2","miR200a","miR200c"
"miR200b",0.209811715971915,0.176264629580307,0.166211847380835,0.0860762127802257,0.0608351370134542,-0.0204974969659619,-0.00430415595787985,-0.0696531112940999,-0.128482505866618,-0.068413736219248,-0.068935803754793,-0.177161699470533,-0.288451845000917,-0.104845146710152,-0.177320082467916
"SNAI2",0.385439423051584,0.28671923689996,0.259653066314528,0.216416286086537,-0.0891570390763734,0.0752835641270258,0.131860411242465,-0.159268617184028,-0.400073396189411,-0.176177994610047,-0.176422152733412,-0.287181997898018,-0.208747916315603,-0.0121970525102368,-0.191840703008855
"miR200c",0.00627704225337946,-0.103293154770442,-0.143301664914636,-0.0721287957129089,-0.04646433676799,0.0180108300675562,0.000151031905504178,0.0498559695806888,0.107052135616145,0.0394636978009715,0.0396682668175592,0.103676589437236,-0.193174791156663,-0.11780118003063,-0.0760059984462389
"TWIST1",0.116425414310264,0.0546060517188723,0.104358009984738,0.01759853960183,-0.139199246799428,-0.013861625748303,0.0367894208740547,-0.0839173516693185,-0.148239823824938,-0.100738135110434,-0.100969153848621,-0.0550191091458854,-0.137084218859201,-0.0176506176607783,-0.115476895630582
"miR101",0.0744311932086346,0.0355813220611907,-0.154303823479069,-0.130626169636861,-0.0156389456890302,-0.00905322644673736,0.00683262556925722,-0.0731699190077497,0.0103719147140573,-0.107953356915719,-0.107967336873234,-0.0357027175818719,-0.0968359210235419,0.00586801094094748,-0.103002357670175
"GSC",0.0563596789992205,0.0287185397854635,-0.141866973560294,-0.129999759242927,0.170453006880472,-0.124043224165692,0.017067490725502,-0.0713475324202118,0.0355230837676406,-0.101702972018873,-0.101707885516743,-0.0288049832974678,-0.0555022735591079,0.020407804367076,-0.0818267221357423
"miR34a",0.0354367034222966,-0.0108910827537199,0.185081194040588,0.13959778229055,0.0815865272387396,0.0261715382257387,-0.083807118199471,0.10405650410798,-0.0134245984621634,0.117519962273108,0.11732745768461,0.0106295806028495,-0.0483655703011297,-0.132601935421137,0.0898251504068296
"FOXC2",0.0228611293719018,0.0134468934038376,-0.0840279273612832,-0.0818136398473395,-0.0746538672121327,-0.00703864161507023,0.0792188543478605,-0.0468401206823251,-0.0318629192702366,-0.0418537254172633,-0.0423374878717437,-0.0139118294751278,-0.00155615768723764,0.0249606023382354,-0.026280273093421
"ZEB1",-0.0230908596003403,-0.0139118294751278,0.0839045098273704,0.0819949473947106,0.0749083593845704,0.0071372138117367,-0.0790036792094077,0.0472616649519344,0.0316252327523441,0.0423374878717437,-0.0578409645050314,0.0137134802525287,0.00155763848864736,-0.0251730124112188,0.0265922323014266
"TWIST2",-0.16357613989109,-0.0810837563235099,-0.137608306940457,-0.00841576962257734,0.085554843236274,-0.0338174449380058,-0.129403620388532,0.151972973578937,0.182365555116649,0.16718121320241,0.16731841757536,0.0814204719035378,0.173298691737335,-0.000501897432837969,0.169882241732979
"TGFbeta",-0.230294632028944,-0.255843344990764,-0.236886541697938,-0.11222209821084,-0.0564545438827537,0.0229720007730323,-0.0135435735751554,-0.00279479594203503,0.193583873655835,0.0678370782277881,0.0681831619593426,0.156215997762268,0.177312453707252,0.0459388223871701,0.122060457035241
"SNAI1",-0.105664729969414,-0.0343687610230002,-0.166526458231577,-0.131229279852907,-0.0179390638542996,-0.0122908691704253,-0.104964129702419,-0.0600151939902383,0.0602094861749042,-0.0352253905597874,-0.0352986572008983,0.0344825582419072,0.186276884918541,0.097487577806562,0.0747973836447724
"miR200a",-0.00627704225337946,0.103293154770442,0.143301664914636,0.0721287957129089,0.04646433676799,-0.0180108300675562,-0.000151031905504178,-0.0498559695806888,-0.107052135616145,-0.0394636978009715,-0.0396682668175592,-0.103676589437236,0.193174791156663,0.11780118003063,0.0760059984462389
"miR141",-0.00627704225337946,0.103293154770442,0.143301664914636,0.0721287957129089,0.04646433676799,-0.0180108300675562,-0.000151031905504178,-0.0498559695806888,-0.107052135616145,-0.0394636978009715,-0.0396682668175592,-0.103676589437236,0.193174791156663,0.11780118003063,0.0760059984462389
"ZEB2",-0.300303521072165,-0.104961895087595,-0.0655830131007698,-0.0405230137558699,-0.0350992164445545,0.00613515254590189,0.0151625128954759,0.0445700756880196,0.056135775260877,0.0581928557410831,0.0583635611076019,0.105347544856713,0.234375447367962,0.243844788842584,0.298506635827558
