"","miR200b","GSC","ZEB1","FOXC2","miR34a","SNAI1","TWIST2","TWIST1","miR141","miR101","SNAI2","TGFbeta","ZEB2","miR200a","miR200c"
"miR200c",0.15758883427687,-0.0806679476402407,-0.000473737270067195,-0.0557695737036856,-0.0110908890740264,-0.0220667130542892,-0.0553184411460899,0.0515929939727403,0.000487622044948712,0.0773760140995571,0.133327933125346,0.0805496920887995,-0.253786143167433,-0.125369443354254,-0.124475395997402
"miR200b",0.15758883427687,-0.0806679476402407,-0.000473737270067195,-0.0557695737036856,-0.0110908890740264,-0.0220667130542892,-0.0553184411460899,0.0515929939727403,0.000487622044948712,0.0773760140995571,0.133327933125346,0.0805496920887995,-0.253786143167433,-0.125369443354254,-0.124475395997402
"SNAI2",0.287859880597923,-0.178164630896018,-0.0408352359798014,-0.0658684544985212,-0.0131830462932515,-0.0245392258625978,-0.20583755130614,0.129104735067122,0.0408643741920549,0.221532649914672,0.119253378973977,0.178095345053425,-0.18425012151446,-0.11123963830072,-0.0706474366388892
"GSC",0.0737879683310455,0.0318697423239082,-0.0393253701374276,0.169681956130529,0.0128494306273508,-0.0229879958109718,0.0566405389985444,-0.140032478960599,0.0393445327791206,-0.0012527354213883,-0.122164316497552,-0.0318148475389127,-0.179275831610817,-0.0990320003187782,-0.068188371724753
"miR101",0.090541397318365,0.028641703325018,-0.0871127693465281,-0.0161015498040908,-0.0228395021622619,-0.0083130194595384,0.0557365183674723,-0.0276348334093654,0.0871349326938073,-0.00724572079241887,-0.123762522684029,-0.0285994787960854,-0.153809304672493,-0.116942798257959,-0.0311142587692923
"SNAI1",0.0459613251757139,-0.00791429383161482,0.0892370700550213,0.0250975168500678,-0.0178749018659674,-0.0843332563100289,-0.0606520435356963,0.0334791207476757,-0.0892188306802299,0.0176195098791988,0.153521262342006,0.00792579250530229,-0.0702023454561647,0.00495517789680331,-0.0829156096205624
"miR34a",-0.0575228965778527,0.032616258267435,-0.0617132483442128,-0.0600013661661933,-0.0105567062598783,-0.0173102961383841,0.0631734775202256,-0.00366972470258913,0.0617212693687335,-0.0919098280391899,-0.200781687753487,-0.0325416300434047,0.0147183657405262,-0.070527500195815,0.0840102085757313
"ZEB1",-0.0386550497690553,-0.00228471484832882,-0.0946721238361026,-0.0873390425748854,0.00633223459434874,-0.0729474870389052,0.00526815918633389,-0.00290929021472863,-0.0053404079319294,-0.0218467153609699,-0.117424532749462,0.00229751157236746,0.061520749347668,0.0283686012625155,0.0221918819809174
"FOXC2",-0.0386255262055611,-0.00215187597081733,0.0053404079319294,-0.0874855683711375,0.00641355906406097,-0.0728299049960348,0.0053156964899124,-0.00302578462897082,-0.00537778472201067,-0.0217625791788565,-0.117460641809603,0.00228471484832882,0.0615494768950166,0.0283298234017801,0.0221125899373241
"TGFbeta",0.0885039793499016,-0.209456865759105,-0.0221677318800201,-0.101460847110479,0.0509596652280875,-0.0347931331327709,-0.12247008350429,0.0821778260201177,0.0221962845722879,0.0731662306738698,0.109202932073449,0.109487516852865,0.0668143702990983,0.0230061868456488,0.0481011949412064
"TWIST2",0.0130966023588392,-0.0211490845876166,-0.0687679294914496,0.0569936399778313,-0.0150137584361595,-0.0239630459051893,-0.0736627268775088,-0.120785375312094,0.0687811222196178,0.0508537727176734,0.0658008464383192,0.021172286837669,0.100358957650275,0.0174411593011055,0.0864912831593248
"TWIST1",0.0362504264391633,-0.0309040618464089,-0.13680195074769,-0.136617222193458,-0.0485842391160591,-0.0149617544070594,-0.0832583426397329,-0.00831377965114888,0.136814136921309,0.0763902094666321,0.103336960877032,0.0309053986018362,0.161062969730428,0.000760905837170012,0.144703595363932
"ZEB2",-0.226565005832635,-0.0872043266496149,-0.0406645779152744,-0.0397438444432446,-0.0286638195701164,-0.0243959127777455,-0.0180644366226565,0.0166272286711553,0.0406551219328724,0.0429992932634785,0.0613570930470932,0.087257607209822,0.211375741183069,0.242418986286694,0.27871403545738
"miR200a",-0.0225904162177804,-0.144713195627457,-0.0218425320813159,-0.0721324035968575,-0.0242341999686864,-0.0303374901505473,-0.0619659944333627,0.0583654990182811,0.0218295729580932,0.0922984288709653,0.154510453239347,0.144597329077055,0.217551426263944,0.0968636274603815,0.120226732343785
"miR141",-0.15758883427687,0.0806679476402407,0.000473737270067195,0.0557695737036856,0.0110908890740264,0.0220667130542892,0.0553184411460899,-0.0515929939727403,-0.000487622044948712,-0.0773760140995571,-0.133327933125346,-0.0805496920887995,0.253786143167433,0.125369443354254,0.124475395997402
