"","SNAI1","FOXC2","miR200b","ZEB1","ZEB2","TWIST2","TWIST1","miR141","miR34a","SNAI2","miR101","GSC","TGFbeta","miR200c","miR200a"
"GSC",0.474006793918059,0.35231803543607,-0.0456572654999061,0.222693486476553,-0.196823981325154,0.0651678899968012,-0.41996095618867,-0.221607112097496,-0.292660429822306,-0.12340526333645,-0.34168291739896,-0.130169308848213,-0.131343552467483,-0.20996592833699,-0.20996592833699
"miR200a",-0.175670966774825,-0.149911513242697,0.189383858407915,-0.176092758473961,-0.184867056336844,-0.0168667139832266,0.0485842046525091,0.175853940345999,0.202318010557693,0.14000752091769,0.156602468938414,0.05786979186823,0.0574839682003967,-0.00575197125394669,-0.00575197125394669
"SNAI1",0.444727663008629,0.517896683743374,-0.0988157573876218,0.242448375272444,-0.159454823823023,0.0583034377676701,-0.386350528078927,-0.24137194301781,-0.404039479476211,-0.206280656969666,-0.418789597312157,-0.101206820811259,-0.102188966146564,-0.205479800052076,-0.205479800052076
"miR200c",-0.0191029371540239,-0.0318015530831514,0.00603515063482612,0.186534714909537,-0.149899170874405,0.0629408677146182,0.00132192521348874,-0.186530086651243,-0.112986143883415,0.0274576315407761,0.0240291604481228,-0.0188453529480198,-0.0191977306013041,-0.169277157057383,-0.169277157057383
"miR141",-0.0191029371540239,-0.0318015530831514,0.00603515063482612,0.186534714909537,-0.149899170874405,0.0629408677146182,0.00132192521348874,-0.186530086651243,-0.112986143883415,0.0274576315407761,0.0240291604481228,-0.0188453529480198,-0.0191977306013041,-0.169277157057383,-0.169277157057383
"TWIST2",0.222821612042577,0.144282938641673,-0.065005208578774,0.147183351610046,-0.108006155821793,-0.0685401580600534,-0.0893102717814499,-0.146802961281196,-0.164799003132387,-0.159893349509078,-0.19099724298284,-0.0591825116247092,-0.059458109082648,-0.129285597596099,-0.129285597596099
"miR101",-0.441196913564742,-0.414253978874805,0.180917309561484,-0.244228048512546,-0.0643377191359555,-0.0666831760268853,0.322565495102594,0.243227288139247,0.297137234712215,0.177963602701066,0.355246493112567,0.0249186295548246,0.0253971742160608,0.0894396382625179,0.0894396382625179
"ZEB2",-0.153264251567621,-0.143940967845871,-0.0964515016517137,-0.0603888912767256,-0.0128042115232199,0.0236093200271651,0.0303605058243818,0.0602619820392261,0.0977651429180541,0.131406444333878,0.140972823759626,0.154266341917411,0.154489612836373,0.163393956191593,0.163393956191593
"SNAI2",0.0012310648218023,-0.0167181771544965,-0.00398378592361143,0.0157159552480866,-0.0123403322927502,-0.000735233578053076,0.0753250620697181,-0.0158027000408871,-0.00919643421935147,-0.108636747501562,-0.00536673210867208,-0.00814461682739061,-0.00804795880006975,-0.014208258696495,-0.014208258696495
"TGFbeta",-0.164214260555019,-0.157677426696657,0.116012128911229,-0.0244098667121837,-0.00994861597447653,0.0588460455093316,0.0662766073995846,0.0241102203262957,0.13715426289765,0.113656957925302,0.13747386911693,0.00255047329815663,-0.0972204501063733,0.00917218035388931,0.00917218035388931
"ZEB1",0.211552537133816,0.19115575707089,-0.219756741733721,0.0644446691232191,0.0469965899019203,0.078241054015016,-0.0546491640037855,-0.164073728789473,-0.221180476635451,-0.154865120281075,-0.181098031657257,-0.0664864214400145,-0.0664352345438599,-0.159845683775764,-0.159845683775764
"FOXC2",0.210422573701832,0.189420583167906,-0.219514094946254,0.164073728789473,0.0471514817293773,0.0781063649882103,-0.0535708439129796,-0.163792868909719,-0.220393345300163,-0.154532593563065,-0.179779108126381,-0.066525166112622,-0.0664864214400145,-0.159659897308659,-0.159659897308659
"miR34a",-0.325212766678569,-0.275392925212292,0.0255833579266916,0.000214454659372029,0.126220624673305,-0.0162899068081315,0.172090641111495,-0.000963240889632052,0.142884282182605,0.164263551175571,0.233833053236462,-0.00199998685081191,-0.00136352337920401,0.0078207132368909,0.0078207132368909
"TWIST1",-0.421005258324812,-0.489261678716808,0.0576567602660506,-0.253847695277161,0.182852172342893,-0.127143447088029,0.209091505531975,0.253021368993659,0.30144200449902,0.0908384570408831,0.251778116953092,0.126967031551869,0.127888056041228,0.221445221487068,0.221445221487068
"miR200b",0.175670966774825,0.149911513242697,-0.189383858407915,0.176092758473961,0.184867056336844,0.0168667139832266,-0.0485842046525091,-0.175853940345999,-0.202318010557693,-0.14000752091769,-0.156602468938414,-0.05786979186823,-0.0574839682003967,0.00575197125394669,0.00575197125394669
