"","ZEB2","TWIST2","SNAI2","miR101","miR141","miR200c","TGFbeta","GSC","miR200a","FOXC2","SNAI1","ZEB1","miR200b","TWIST1","miR34a"
"miR101",-0.110300102264546,-0.0412269688128107,0.0839792639737796,-0.0903477288711214,-0.0701776214029732,0.0211554449932543,-0.0292738395567844,0.029287914399762,-0.0879884651956152,0.0573524401222764,-0.163266984642745,0.0700749880563418,-0.0358131935284611,-0.171441498353354,0.100354012416976
"ZEB2",-0.0848936120557869,-0.047573471960712,-0.0417379550510722,-0.0154886964286276,-0.0126702024760933,-0.0121876087871377,-0.00249510103939194,0.00246719217452159,0.00637069914602035,0.00735101582924396,0.0109860035993471,0.0126906074907501,0.0312121228076809,0.0335224208196432,0.0443715799396039
"TGFbeta",-0.074682440817055,-0.12166138703136,-0.0997001892878636,-0.0603190551054005,-0.0414965578172768,0.0220059533369868,-0.117828739545368,0.0178884285174273,-0.055826413820882,0.0644735792181553,-0.0171677466998184,0.0414178025891534,0.0838492484587028,0.0933827263082456,0.0848648508112436
"miR141",-0.0187687563272121,-0.0948247049143022,-0.116160789890823,-0.0702670501025747,0.018626329633814,0.0192673513854792,0.0848831891674316,-0.0852021208061669,0.000473361471605277,0.0607848029229464,-0.0233838291234079,-0.0189271664229135,0.015693530406475,0.0737101399784244,0.0636516891663293
"SNAI2",-0.00965104635684692,0.138824530612465,0.0719104181061517,0.0927392693545031,-0.0593615822806776,-0.0249302467312725,0.181533817075103,-0.18166640109488,-0.0337448754262078,0.060658590127056,-0.192455248617774,0.0594041173721281,-0.174890740244818,-0.232191479664368,0.11239745323039
"FOXC2",-0.00627941347546569,0.073125884356421,0.0733117867282291,-0.0293709147071738,-0.00490295831588861,6.16919521474735e-05,-0.0018948046561616,0.00192801437553947,-0.00569456132690262,0.112670205897239,-0.133198829206601,0.00527779412498933,-0.00259127144894738,-0.0979775947908139,0.0294473188070303
"miR200c",-0.0030805677024058,0.111801359008393,0.128874267300063,0.0737859625249584,0.00507665665906322,0.00342153740707884,-0.0836503785372013,0.0840433692081522,0.000390363583559528,-0.063156265571986,0.0170338489273229,-0.00477674552162246,-0.0751350248018145,-0.0872795998296993,-0.0866833350365139
"miR200b",0.00260081389565175,0.0357802731306465,0.0847612943069457,0.0973332223158625,0.00913032291645089,0.00298566510395647,-0.0896670769933005,0.0900313996517809,0.00518351426355271,-0.113877757970319,0.108533140047422,-0.00915531551123762,-0.0383888642859669,-0.00922489245060387,-0.0128879359475886
"miR200a",0.0030805677024058,-0.111801359008393,-0.128874267300063,-0.0737859625249584,-0.00507665665906322,-0.00342153740707884,0.0836503785372013,-0.0840433692081522,-0.000390363583559528,0.063156265571986,-0.0170338489273229,0.00477674552162246,0.0751350248018145,0.0872795998296993,0.0866833350365139
"GSC",0.00489033849073923,-0.0466716401252041,-0.0065430784188047,-0.158006065418804,0.0141381575801701,-0.0085332710154318,0.00616352166176345,-0.00626384661365164,0.00975055278572197,-0.0765608482244641,-0.211059134187248,-0.0140904966508311,0.00839563893789848,-0.292915752154717,0.0917775183069635
"TWIST2",0.00608334938627689,-0.174686562085834,-0.14452346106104,-0.132948990862604,-0.114698520808153,-0.0593514854967886,-0.0447092700798542,0.0445400634270335,-0.0537606580871762,-0.0121542762253206,-0.129813283920464,0.114506786492108,0.0856396917636444,-0.169711415265563,0.126846556453067
"ZEB1",0.0063253183191671,-0.0730360916718838,-0.0733026247278949,0.0295830326874314,0.00527779412498933,0.000113676582223023,0.00185769415644952,-0.0018948046561616,0.00592549216919248,-0.112785884157438,0.133285839918325,-0.10520360605824,0.00244642146555439,0.0982105836192983,-0.0298345426582289
"miR34a",0.0190011159983669,-0.140465067399451,-0.105107403402115,0.0449418096910974,0.128014292992023,0.108761830234634,0.027552174831833,-0.0274726927395731,0.125445043238349,-0.0895893983385587,0.22135380921569,-0.127999666417897,0.00209463282439916,0.198257077200761,-0.163775991013874
"SNAI1",0.103851867103915,0.0305037379349278,-0.081830789508557,0.103779414053523,0.0574715050661423,-0.0268717440635281,0.0140111316580385,-0.0140202512957906,0.076491601363534,-0.0741799657764486,0.0866748854388145,-0.0574183326514964,0.0491156692604891,0.181677036613729,-0.169531614969924
"TWIST1",0.107099238490161,0.150705597869054,0.107097706264967,0.0977992289118548,0.0952664850181214,-0.00424705406154566,0.0498727268483829,-0.0497898480118948,0.101743458859984,0.0497717967784587,0.119063685194803,-0.0951054719581732,-0.028292839248946,0.0413458130449881,-0.09878567839307
