"","ZEB2","SNAI2","miR200c","miR200a","GSC","TGFbeta","TWIST2","miR101","TWIST1","miR141","ZEB1","miR200b","FOXC2","SNAI1","miR34a"
"ZEB2",-0.0883269536875534,-0.0306004507747911,-0.0109792940889407,-0.0109792940889407,-0.00847132610756396,-0.00822268349326448,-0.0064147125649185,0.000246949117117685,0.00397950548750836,0.0154432199505594,0.015445708366981,0.0241605394795864,0.0313899867841966,0.0314721108475081,0.0333445704992995
"TWIST2",-0.0341786302171384,-0.350842430920751,0.0487695773733311,0.0487695773733311,-0.0140608784090319,-0.0139573171466031,0.288508362382709,-0.125551556253971,-0.312255087618331,-0.0665043178084232,-0.0665166310213802,0.061765142272026,-0.0399977995219454,0.129072160959061,-0.0885063054297746
"miR200c",-0.0050672987103948,-0.299304411437972,0.0193636875929748,0.0193636875929748,-0.107266172614213,-0.107128805054458,0.243150421233008,-0.0364505860299865,-0.158822541113665,-0.0337588158282728,-0.0338208344894103,0.0139637261407258,0.140004336039082,0.230539523728712,-0.161664335764409
"miR200b",-0.0042449862911931,-0.210629004558194,0.00531343355253276,0.00531343355253276,-0.117896233386884,-0.117964319916502,0.1171570372869,-0.0180449321011459,-0.0695712875645308,-0.00735856941809415,-0.00752703801998988,0.0475618848727711,0.134812656067409,0.178179562465888,-0.030636821663954
"miR141",0.000973421531857827,-0.309805213356625,0.00459411621584489,0.00459411621584489,-0.119210467130589,-0.119515064763089,0.240498714713235,-0.0362537302417176,-0.157564567597253,-0.00974532172534417,-0.00961202788648161,0.0647734791847699,0.153453872244945,0.241746533163035,-0.142015518640818
"FOXC2",0.0010844243658168,0.125231475419925,-0.0140348908633525,-0.0140348908633525,-0.0030590228151607,-0.00329702580403545,-0.129268342003969,0.0214569218582954,0.11052664480734,0.0216888052802276,0.0215659958271034,-0.000295302707043002,-0.0598731728550954,-0.0820631616593467,0.0286158216831487
"ZEB1",0.00109715925794042,0.125189976947823,-0.0139567563678409,-0.0139567563678409,-0.00329702580403545,-0.00334181433817071,-0.129263060081349,0.0214818072079345,0.110484826299663,0.0215659958271034,-0.0782956534538237,-0.000377415118011006,-0.0600721394626376,-0.0820749198636337,0.028546434750275
"miR34a",0.0041923544567646,0.404168199758924,0.0559072911175687,0.0559072911175687,0.069171344156325,0.069600304761117,-0.415119686097398,0.105569187525374,0.286410183207654,-0.0319064932380687,-0.0319362182112926,-0.157349920478931,-0.0911320601483028,-0.246499288058683,0.0933102810292652
"miR200a",0.0042449862911931,0.210629004558194,-0.00531343355253276,-0.00531343355253276,0.117896233386884,0.117964319916502,-0.1171570372869,0.0180449321011459,0.0695712875645308,0.00735856941809415,0.00752703801998988,-0.0475618848727711,-0.134812656067409,-0.178179562465888,0.030636821663954
"TGFbeta",0.00438348189322776,0.445441956498755,-0.038785850257489,-0.038785850257489,0.211340049825002,0.111827240894241,-0.389177810556247,0.0747082224230586,0.252906703102463,0.0766725372732389,0.0766678307855024,-0.162625228124206,-0.161072406227265,-0.30924053731137,0.222017158147232
"TWIST1",0.023398773917659,0.00762595780671084,0.0361486286853878,0.0361486286853878,0.0250923282325969,0.0251003487651602,0.0168037451874962,0.115219954737431,-0.178122911425564,-0.077610551652761,-0.0775143586652557,-0.0368000560305343,0.218606686851176,0.258854249968133,-0.124823278112048
"GSC",0.0412944582180499,0.165458300076581,-0.0787175907296297,-0.0787175907296297,-0.0284163269846828,-0.0282314514444109,-0.169987828193014,-0.107582688595426,0.213547262557218,0.105936483812197,0.105897667179024,0.0521021005049995,-0.246155884960622,-0.296193141041329,0.162922721479862
"SNAI2",0.10548758761446,0.331742418129239,-0.0342543393300562,-0.0342543393300562,0.215071417613296,0.215306647325803,-0.369479059138438,0.318842851649344,0.161897364356139,-0.03614726351339,-0.0363009927021755,-0.229919154153778,0.0342935391596351,-0.00193306073279171,-0.0199136956960423
"miR101",0.106129484886422,-0.315664389259424,-0.0115286429952371,-0.0115286429952371,-0.0103766523029964,-0.0107742666171117,0.245188276220274,0.0360937383501014,-0.330405413429273,-0.0840275976418757,-0.0838281275163629,0.0697457144940497,0.124333605764617,0.294902085064168,-0.146506006751157
"SNAI1",0.126756682518127,-0.393056492394107,-0.0333092721326489,-0.0333092721326489,-0.037208903041738,-0.0373100120689898,0.316775726271409,0.00464155938092854,-0.372972231388266,-0.060101100879361,-0.0601205768219348,0.125255453050323,0.120333222280312,0.218633957184304,-0.215506516529222
