"","ZEB2","miR141","ZEB1","FOXC2","TWIST2","miR200c","miR200b","TGFbeta","GSC","miR101","TWIST1","SNAI2","SNAI1","miR200a","miR34a"
"GSC",-0.0992731679327204,0.200319118349579,0.200283249815128,-0.0794635531075013,0.117564091660828,0.0584247313941394,0.0508911057431846,0.0125159279364936,0.0125064633183909,-0.190442046270094,0.170566186892176,-0.0253823274207489,0.257325004204834,-0.157095330818781,-0.216093911340652
"ZEB2",-0.0888585876768833,-0.0393820391466663,-0.0393377453343626,-0.0223205984536909,-0.019384355353359,-0.0100048513907495,-0.00912491673310977,-0.00132851072239544,-0.00117120621130801,-0.000945216692561514,0.00948020939724047,0.00961393809560155,0.0117528869763056,0.024907241443487,0.0319934492843585
"miR101",-0.0637453849046653,0.172404357438055,0.172417655446422,-0.254874840442699,0.133168985924808,0.051124176021861,0.0626260703653077,0.00267787548687887,0.00272537808192805,-0.218268343881494,0.264737612461483,-0.102247238597,0.233733598237252,-0.118645889410336,-0.189774300414981
"SNAI2",-0.0576250006233415,0.0565553597686873,0.0565175135849558,0.0275989856932054,-0.0686298353198605,0.000521764593666927,-0.0163542701805384,0.0128900484431402,0.0126633725383611,0.0281008645818221,-0.0792195416504003,-0.0268810046793626,0.0145957973267531,-0.0569747764348042,-0.0395210120066334
"miR200a",-0.0312301534170165,-0.208611502960269,-0.20853559952425,-0.0780465453194547,-0.0618705107614887,-0.119839673527692,-0.142094259936003,-0.0839303016315777,-0.0839434411372934,-0.00506496897627725,0.0180873599660201,0.0198870244617214,0.0296253814025911,0.0897986637810614,0.124533541637693
"miR141",-0.0312301534170165,-0.208611502960269,-0.20853559952425,-0.0780465453194547,-0.0618705107614887,-0.119839673527692,-0.142094259936003,-0.0839303016315777,-0.0839434411372934,-0.00506496897627725,0.0180873599660201,0.0198870244617214,0.0296253814025911,0.0897986637810614,0.124533541637693
"SNAI1",-0.0310294490632328,0.0297176223511431,0.0298075826573173,-0.23361299626404,0.123168454802663,-0.0123600054589431,0.0271127145414951,-0.00834718470626048,-0.00839436891897801,-0.20776639282063,0.242436811355468,-0.11681507657965,0.0978133733791198,-0.0311173370041307,-0.153125351085982
"miR200b",-0.0111159581599857,-0.229499278631532,-0.229355802624423,-0.0865531044532561,-0.0697285762435858,-0.120762449795884,-0.109656586700603,-0.0898177089298114,-0.0900339135238604,-0.00494021331213322,0.0217500912370367,0.0230880859032735,0.0322364969092427,0.110852045718252,0.139131704040981
"TGFbeta",-0.00654842991579991,0.0526828899805185,0.0526204505765481,0.110321730447643,0.0321857605743687,0.0268900188805118,0.0914064990689986,-0.0882917240827326,0.0116518133761304,0.0234197629861345,-0.0558064746677472,-0.0159715538885292,-0.0613779776091306,-0.0324253550027069,0.0525823889097852
"miR34a",0.00187098764053631,0.090433701392199,0.0903997299942288,0.197379409452166,-0.072858180233463,0.093697342862001,0.0596727223261957,-0.00547522405663994,-0.00556198695124426,0.0927286480757922,-0.145598182266821,0.00413921524131457,-0.179881029855583,-0.092447076092885,0.0371328234817516
"miR200c",0.0312301534170165,0.208611502960269,0.20853559952425,0.0780465453194547,0.0618705107614887,0.119839673527692,0.142094259936003,0.0839303016315777,0.0839434411372934,0.00506496897627725,-0.0180873599660201,-0.0198870244617214,-0.0296253814025911,-0.0897986637810614,-0.124533541637693
"ZEB1",0.0555686741733232,0.197568360042456,0.0975914184956344,-0.153683234383723,0.131456096547208,0.221430433933557,0.218138590781907,-0.00616466120227461,-0.00618257661592871,-0.0415534588654236,0.137184523656249,0.0657896756101194,0.14980523522241,-0.176280285067383,-0.229240148267491
"FOXC2",0.0556447873657829,0.197633502448026,0.197568360042456,-0.153900709512897,0.131646245761522,0.221494677852089,0.21819210224074,-0.00618257661592871,-0.00614936689655084,-0.0416802556469184,0.137459330992411,0.0657298531373494,0.149925168906138,-0.176286651581832,-0.229361761924034
"TWIST1",0.0807577836963004,-0.193175658132381,-0.193121468551819,0.134283179134245,-0.0238280427172025,-0.0651348667079026,-0.0394937223767877,-0.0133704408528123,-0.0135255044823707,0.106613777764575,-0.160687721827154,-0.0207750327673514,-0.233752242665479,0.147602674039593,0.205353415325556
"TWIST2",0.114656065749885,0.0829869288358302,0.0830849947818808,-0.15392763218762,0.150653798875373,0.0938094563082838,0.106216277301244,-0.0306375670276786,-0.0307535782779403,-0.119907158393366,0.258917583167992,-0.132054944413901,0.101292558939593,0.015799044089697,-0.08470049656564
