"","ZEB2","SNAI1","SNAI2","miR34a","ZEB1","miR101","miR200b","TGFbeta","miR200c","miR200a","GSC","miR141","TWIST1","TWIST2","FOXC2"
"TWIST2",-0.13841908644235,-0.265336569458408,-0.0174898164922173,-0.0578142659122322,-0.0960714393580127,-0.101796694748285,-0.0146024960555307,0.0412969638724485,-0.118445618500644,-0.118445618500644,-0.0413858115128929,0.0959483072284425,0.310755000939094,-0.00881931963162245,0.267223811908275
"TWIST1",-0.116205074150113,-0.261979214333411,-0.144664296989865,-0.0546854622518838,-0.0183633364352062,-0.0405549091947108,-0.0617699759271845,0.0100202696222918,-0.0776002014057691,-0.0776002014057691,-0.0100282901548552,0.0182572907966896,0.257620122064818,0.161777120985134,0.376300501940419
"ZEB2",-0.0932374484865684,-0.0426608867217425,-0.0340299762073358,-0.0210913878183907,-0.00501699625310089,-0.00424424391522101,-0.00281507252588925,-0.00177937853740257,0.000430612691681756,0.000430612691681756,0.00174639533346489,0.00493089704491499,0.0178242174435347,0.0282920977069341,0.038712690869421
"GSC",-0.0696841022146435,-0.131257071320386,-0.00739122871735934,0.0145691856277273,-0.135033245203139,-0.110246390248855,0.0240623430521029,0.0493844060172155,-0.106930968601347,-0.106930968601347,-0.0494052281770414,0.13507402723546,0.0248472465392351,-0.00313447607019889,0.155231710051519
"miR200c",-0.0275843894921369,-0.17787086604366,-0.137083938598267,-0.0883279672291623,-0.0414146630641603,-0.0196328927795397,-0.063303355322474,-0.100418242744047,-0.0345749338069892,-0.0345749338069892,0.100297598191567,0.0411962092726911,0.0872412015749682,0.117057948000687,0.165570937918779
"miR141",-0.02409162276794,-0.193069405762734,-0.147842758940055,-0.0979482236863343,-0.0381465946995699,-0.02135921494867,-0.0335702722298964,-0.106241887304051,-0.0315528770384008,-0.0315528770384008,0.106238303802493,0.0380142265123661,0.0945204945566305,0.127375327054901,0.181444693520354
"miR200a",-0.0192117897661181,-0.216866880897418,-0.095756380505536,-0.0106499057204931,-0.0265770273592365,-0.0597846465432355,-0.0001814195842542,-0.101807990605133,-0.0237583038867071,-0.0237583038867071,0.101890411140985,0.0266566334018905,0.0831586679127711,0.0410913476306752,0.183635528309432
"ZEB1",-0.0054165529811817,0.0463027705023295,-0.082047485624802,0.00537478317863429,-0.102392674063746,0.0652150769147789,-0.00114145351758146,0.00142283063040715,-0.00488048773940772,-0.00488048773940772,-0.00143946637165739,0.00250596124675524,0.0132064646463287,0.0859075545912803,-0.0564883010660054
"miR34a",0.0048052281846339,-0.102872503237599,0.0106670767728064,-0.0694670875526559,0.049489985014588,-0.0473499798562136,-0.0136882778096339,-0.0194326108398938,0.072342590282232,0.072342590282232,0.0192099396348604,-0.049706552676648,-0.0031654382673582,-0.117381707899177,0.10236643501545
"FOXC2",0.00532977801857193,-0.0463850779323388,0.082218329983974,-0.00515020826686015,0.00250596124675524,-0.0651783413986449,0.00129645222592556,-0.00143946637165739,0.00478614757075296,0.00478614757075296,0.00153909552979101,-0.00226141024879494,-0.01299139803542,-0.0860897809216645,0.0563757075594117
"miR101",0.00859640926205557,0.288512244512453,0.135469890698323,0.0462383339368843,0.116187440424746,0.125312446290244,-0.0372990660310729,-0.0244823311136828,0.0626792112751099,0.0626792112751099,0.0244365878740058,-0.116192555043349,-0.280520103383286,-0.0731253970287708,-0.298604643983592
"miR200b",0.0192117897661181,0.216866880897418,0.095756380505536,0.0106499057204931,0.0265770273592365,0.0597846465432355,0.0001814195842542,0.101807990605133,0.0237583038867071,0.0237583038867071,-0.101890411140985,-0.0266566334018905,-0.0831586679127711,-0.0410913476306752,-0.183635528309432
"SNAI2",0.02704016838774,0.0423698446241944,-0.0677190700913709,0.00646187688864076,0.0130732374114272,0.00202871744982077,0.0142655598747789,-0.00367804442625398,0.0203429498981701,0.0203429498981701,0.00364297381457119,-0.0131151026589178,-0.093886068499672,-0.0197840021467374,-0.0621857774409715
"TGFbeta",0.110095491985153,0.279918789999789,0.140388642396566,0.101819057751299,0.138643334372059,0.0672214185377985,0.0971296733531178,0.0534946740320017,0.126271390299632,0.126271390299632,-0.153570495158671,-0.138570854460917,-0.171765442601712,-0.15919663947662,-0.248246741595183
"SNAI1",0.122017040467979,0.225466916212801,0.159749535931008,0.11077737496033,0.149426145630694,0.130108890543973,0.0358906187668815,-0.036533303774809,0.13868866841299,0.13868866841299,0.0365289422089276,-0.149413161668979,-0.332740148299053,-0.143696697556461,-0.343654933818205
