"","miR200a","TGFbeta","FOXC2","miR141","ZEB1","SNAI2","TWIST2","miR101","TWIST1","miR34a","SNAI1","GSC","ZEB2","miR200b","miR200c"
"miR200b",0.130233706577699,-0.0778544271677542,-0.0830530369873635,-0.00452154664112042,-0.00560270777856118,-0.0775086188404436,-0.0503731094315803,-0.00311664832299487,0.0451084505565416,0.00686539126025754,0.0725672814035047,0.0780371857472542,-0.259162951604822,-0.0934746997865256,-0.125579417441953
"miR200a",0.130233706577699,-0.0778544271677542,-0.0830530369873635,-0.00452154664112042,-0.00560270777856118,-0.0775086188404436,-0.0503731094315803,-0.00311664832299487,0.0451084505565416,0.00686539126025754,0.0725672814035047,0.0780371857472542,-0.259162951604822,-0.0934746997865256,-0.125579417441953
"TWIST2",0.129476740022203,0.0355816734588163,0.0666751557023575,-0.116579293900031,-0.117069183872678,0.139270195650219,0.0881679681801304,0.0368441803009273,-0.0666756970432417,0.0804866171031185,-0.0563077678707343,-0.0353388986960735,-0.145703946072144,-0.131636555695637,-0.0148241807260974
"GSC",0.103249143618049,0.0141677233741271,-0.153379211512028,-0.0722426070968826,-0.0725718114541725,-0.0503984530781229,-0.0275377892288885,0.0454647824980982,0.0881730451029958,0.009780451789368,0.0425307278372215,-0.0143626945070419,-0.142999225156348,-0.0894516199532048,-0.0340333286635344
"SNAI1",0.0553676546383024,0.00732773524769539,-0.0533678437314748,0.0369883507985919,0.0375556262687968,-0.0786344153620096,0.0146393770594602,0.0394516805718495,-0.0455531189026986,-0.0944689739082576,-0.0456828933032791,-0.00709895129191374,-0.137389228562681,-0.0140979987397232,-0.0773250809249292
"FOXC2",0.00299611981446258,0.00181199061427214,-0.0843027876030288,0.0115400257101395,0.0139502947162372,-0.0816917359139062,0.0221732553148414,0.0030541400813773,-0.0836359287858505,-0.019109939400025,0.0809979778267462,-0.00197803921116149,-0.0247330146267483,0.00440733737781481,-0.0183629556753866
"ZEB1",0.00186230146848304,0.00198986507840932,-0.0836010061578217,0.0139502947162372,-0.0873239354572526,-0.0802737816268984,0.0199442839692716,0.00140815195524412,-0.0840152823912033,-0.0205476664930109,0.0809544724708841,-0.00181199061427214,-0.0245757535170358,0.00579955791883411,-0.0198417233496989
"SNAI2",-0.00264555088987655,0.00365480897879782,0.041658945528244,-0.0258786218341282,-0.0253162878298345,-0.00597989782771642,0.0899374059936754,0.0446647460365117,-0.0903236741268762,0.017006537791123,-0.00492471304781007,-0.00370185492129913,0.0321543980761362,-0.0205570095504153,0.0288107875091702
"miR101",-0.0386444078007497,-0.0218598523283731,-0.059130836076477,-0.0305643511961575,-0.0313748477574289,-0.0656588280394588,-0.00362103141964086,0.0409218792238913,-0.0189133473124034,-0.0194443849643588,0.0513777840104448,0.0216909542126427,0.113193490209917,0.0463704261779114,0.0728332811629644
"miR34a",-0.143566979980629,0.00193887999834342,0.0435580791792008,0.0863174674069477,0.0862098913133754,0.0568275007588696,-0.0208126527901618,-0.000469354119273041,0.0272517230881918,-0.0220985967885476,-0.033313714522806,-0.00171863572742477,0.127655666096019,0.0451960694706257,-0.0389541678043784
"TGFbeta",-0.0762119474249899,0.0850998290342329,0.116344846588176,0.0144652842719912,0.0142980470744222,0.12435030283241,0.0832644956720674,0.00424901051230009,-0.0198572775597833,0.0982496373156807,-0.11534076595894,-0.185017555045719,0.140693114640459,-0.0532741781842573,0.0596997986617311
"miR141",-0.0909674598742685,-0.140253591634095,-0.129494849636408,-0.00890594623121953,-0.00823577443027166,-0.143422452193653,-0.0231266808399618,-0.000607114012002473,-0.01613927532625,-0.105144457374625,0.141917984857135,0.140271509141889,0.191071529972532,0.133207390907655,0.100976813156016
"ZEB2",-0.238412560384389,-0.0858117469378487,-0.048643601833488,-0.0443494862991226,-0.0438970921936834,-0.0428864681894924,-0.0358564711585864,-0.000455823630049324,0.0135563149312441,0.0274501530380765,0.0417155258753475,0.085755929208108,0.206980442888772,0.242012227072981,0.278449145248069
"miR200c",-0.0900714095336673,-0.141212557949691,-0.103006252088791,-0.0273113216246919,-0.0287303456175829,-0.0919086071957673,-0.0641946225485826,-0.00355380711589204,0.0505162803257655,0.0193119427824813,0.0875093920100138,0.141373815519838,0.20984807061172,0.0931327844789969,0.118745606755638
"TWIST1",-0.102905204249379,-0.0306038022791861,-0.0858304703453616,0.0192115480870022,0.0200368372493454,-0.0572345747791865,-0.101619199443836,-0.0415272385642541,0.114779932870198,0.0408077118449933,-0.028438739476988,0.0307080692025098,0.225908954327069,0.0849709547372844,0.100722044493627
