"","miR200c","miR200a","miR200b","ZEB1","TWIST2","SNAI2","TWIST1","FOXC2","SNAI1","miR101","miR34a","GSC","TGFbeta","miR141","ZEB2"
"miR200c",0.256780360553324,0.256780360553324,-0.0182063482958786,0.235858835108341,0.106522805671012,0.0870724029891266,0.000192980151461155,-0.0431703175905883,-0.0171808929076214,-0.0503223563758296,-0.137657915184384,-0.0605058229660147,-0.0599408242202403,-0.235233094587014,-0.281450982922847
"miR101",0.0587024006455626,0.0587024006455626,0.121347628886097,-0.0934921700726839,0.0189709292023658,0.0962160495125048,0.0159416998813618,-0.1263311249375,0.0237082333124235,0.0164122192452867,0.0264174990090323,-0.0491962108008628,-0.0486754416106941,0.094036706466605,-0.212456182066953
"miR141",0.0153342127315938,0.0153342127315938,0.129709033714117,-0.171659965083237,-0.0841074624406653,0.0171448017712821,0.0322130074510415,-0.0279028591650794,-0.0853981705097739,-0.0491692326953705,0.182776548261489,-0.162564307352256,-0.161956306587775,0.172299590379446,-0.20137315869534
"miR200a",0.0014092539010086,0.0014092539010086,0.19585120615427,-0.197058916582689,-0.0880832698279481,-0.0731145119834108,-0.000897389824448037,0.0384069867539385,0.010853939319642,0.0404337760506863,0.112413116541544,0.00894291825955505,0.00847586855638843,0.196615529438139,-0.199242316661649
"SNAI1",0.0966727683030486,0.0966727683030486,-0.0227182939751026,0.0793390550532867,0.118231227549723,0.122078185670476,-0.0150831765166125,-0.118897808173177,-0.0618819240360767,0.00783241765949991,-0.11127097003448,0.0183634144518314,0.0178094955848869,-0.0798843814453528,-0.12075440299206
"ZEB1",0.248011223625496,0.248011223625496,-0.177970665722366,0.109167901293643,0.212113315635509,0.103995036257488,-0.0362765092227976,-0.0722737383887926,0.103269350106059,-0.000495896524109048,-0.222282329982477,0.0941564714227613,0.0942217347153584,-0.209085191624632,-0.102129420221992
"FOXC2",0.247972445764761,0.247972445764761,-0.178058313801489,0.209085191624632,0.212226876971835,0.103801556368078,-0.0364407962172417,-0.0720069072019337,0.103472767040225,-0.000817036036119192,-0.222160716325935,0.0942062860018281,0.0941564714227613,-0.209101210248952,-0.102039091335999
"miR34a",0.102583976180625,0.102583976180625,0.0262680347485217,0.0778194209292621,-0.190728863319158,-0.106284383446783,0.104134687773854,0.0199388871364439,0.0109040962878789,0.0495722234776957,-0.0307596369135042,0.00706370715414946,0.00675366632098298,-0.0781048750372063,-0.0365124037503445
"TGFbeta",-0.0169534799421452,-0.0169534799421452,0.0857591681261969,-0.0272491914397174,-0.0402067183325603,-0.0268222831134939,-0.0216844470559103,0.0280615946168293,0.0231537357979051,0.0296404070797901,-0.0478308392102374,0.00137190785323888,-0.0976230589145226,0.028197705601539,0.00149088224281038
"SNAI2",-0.0230345498932922,-0.0230345498932922,-0.0210754062116566,0.00375854253657419,0.0505292276089636,-0.0700489916169421,-0.125278563431242,0.102705390699132,-0.0728972781699173,-0.0461476929968145,0.0193150263536912,0.00679743260980867,0.00791199375670321,-0.00271727010098806,0.0487645123511439
"TWIST1",0.00698488986486932,0.00698488986486932,-0.112908222847272,0.115583212950049,0.166546905486613,0.128430935102318,-0.0132828972866117,-0.188284589381035,0.0261878863634798,-0.0335550783463282,-0.0933137477607959,0.0568537494492324,0.0568430554058146,-0.115600066168884,0.107069211738144
"TWIST2",-0.0403528138871698,-0.0403528138871698,-0.0707917430375267,0.0643891652545027,0.0357353059493782,0.00381948489159158,-0.231315069433322,0.171008024255583,-0.126928771147657,-0.056866222425306,0.0275506253703078,0.0345997024457601,0.0339789007797254,-0.0649969102654527,0.147259157637802
"GSC",-0.164408671439816,-0.164408671439816,0.0222514347484393,-0.151435515391663,-0.136418187615564,-0.131326930260226,-0.173763480242184,0.259563863007585,-0.144848588046733,-0.0549510209359099,0.143810867185778,-0.0292256139459184,-0.0295859004083597,0.151067985750987,0.182124058032558
"miR200b",-0.0014092539010086,-0.0014092539010086,-0.19585120615427,0.197058916582689,0.0880832698279481,0.0731145119834108,0.000897389824448037,-0.0384069867539385,-0.010853939319642,-0.0404337760506863,-0.112413116541544,-0.00894291825955505,-0.00847586855638843,-0.196615529438139,0.199242316661649
"ZEB2",-0.30962298239046,-0.30962298239046,-0.219942181792572,-0.0850968064412325,-0.0494150351121699,-0.0408195479906872,0.00165766386189996,0.0111223159329239,0.0193428211565239,0.030728111434644,0.0603095682428941,0.0616155787327257,0.0617931806000825,0.0851898732153987,0.232020360813514
