"","SNAI2","ZEB2","ZEB1","miR200c","miR200a","miR200b","GSC","SNAI1","TGFbeta","miR141","FOXC2","TWIST2","miR34a","TWIST1","miR101"
"GSC",0.209896196413489,-0.137076290641049,0.0234339763013783,0.0726088052406116,0.0726088052406116,0.0875626983435025,0.0691834813873125,0.149053518753818,-0.0690061775415227,-0.0238481841718192,-0.102900205214158,-0.0781037377383922,-0.0633528782012668,-0.260271746273135,-0.231487347734333
"ZEB2",-0.119555036413216,-0.0736793760310434,-0.0277316968258045,-0.024454370484641,-0.024454370484641,-0.0233624982562264,-0.021093076973924,0.0211056374738244,0.0220445155490496,0.0263625701106635,0.026492502257828,0.0367787839362169,0.037343767959673,0.0400285009499121,0.0477703979457641
"SNAI1",0.183455834503816,-0.0556141270753821,-0.105690729832505,-0.020041333736255,-0.020041333736255,0.111240802999322,0.0446773881530589,-0.0435117929833399,-0.0440489261601405,0.104917874968465,-0.0532520215251477,-0.075151051113869,-0.0246089346964935,-0.0683092366919198,-0.173685555476138
"miR101",-0.109041145693633,-0.033736199731408,0.122549757701518,0.0786508593434276,0.0786508593434276,-0.0590089087628479,0.00897762787349428,-0.0455949977268457,-0.00795192369150656,-0.123971962647695,0.0426269691669671,0.0557681034515563,-0.0426185940853157,0.0401247921384518,0.126590109597043
"miR200c",0.177727251378696,-0.0302411558658313,0.031837226723471,0.0312642999674252,0.0312642999674252,0.0441641803106791,0.135085088675929,-0.0141769642491971,-0.134646706985233,-0.0327489936073572,-0.0527335491716513,-0.0671448332711802,-0.045451661562121,-0.073926406356888,-0.0833828149648543
"miR200a",0.177727251378696,-0.0302411558658313,0.031837226723471,0.0312642999674252,0.0312642999674252,0.0441641803106791,0.135085088675929,-0.0141769642491971,-0.134646706985233,-0.0327489936073572,-0.0527335491716513,-0.0671448332711802,-0.045451661562121,-0.073926406356888,-0.0833828149648543
"miR141",0.177727251378696,-0.0302411558658313,0.031837226723471,0.0312642999674252,0.0312642999674252,0.0441641803106791,0.135085088675929,-0.0141769642491971,-0.134646706985233,-0.0327489936073572,-0.0527335491716513,-0.0671448332711802,-0.045451661562121,-0.073926406356888,-0.0833828149648543
"ZEB1",0.14058885373037,-0.0174650415348684,-0.0847167660665629,0.0152899464833255,0.0152899464833255,0.0161828938361934,0.0113971211939545,0.0971446958226176,-0.011760548156652,-0.014757400946816,-0.0967910817188397,-0.00746268886236081,-0.0289553994802937,-0.0176838396281882,-0.119718213824651
"FOXC2",0.140729517382559,-0.0171875393506864,0.014757400946816,0.0161181721357485,0.0161181721357485,0.0158692059740684,0.0120170359556748,0.0958559966327579,-0.0113971211939545,-0.0158050189773795,-0.0982733058261891,-0.00825497725533585,-0.0303289623127727,-0.0183589098235404,-0.120560760662434
"miR34a",-0.268543125414367,-0.00600276480192845,-0.0553656687459,-0.0711065702428124,-0.0711065702428124,-0.0684494115281028,-0.0374920529686685,-0.132716179194503,0.0374902327680824,0.0554062456934755,0.108392167526595,0.0685865094665372,0.0831049039819355,0.0791738062136047,0.211933594740146
"miR200b",0.137565584897008,-0.00192614026995411,0.0010029540734953,0.00101619171770224,0.00101619171770224,0.00456937793803823,0.109009413537879,-0.00729025970421695,-0.109323567174536,-0.000728961182500035,-0.0409369117859319,-0.0539078314305041,-0.019815747482986,-0.0571535932861462,-0.0652511424583833
"TGFbeta",-0.118550689489483,0.0200125417925738,-0.069903129799936,-0.0419485797173027,-0.0419485797173027,-0.089456087823906,-0.208176577273962,0.0168327844102291,0.107858773828134,0.0702146992880898,0.0151242994246103,0.122782062024206,-0.026997167567862,0.0934663141498196,0.0497138462751984
"SNAI2",0.11990450169147,0.0253683715223939,-0.0486103027058426,-0.0369162525308,-0.0369162525308,0.213564750976691,0.191907116046069,0.00128142850398694,-0.191786507357112,0.0484666211764549,0.036039843401512,-0.223954250287585,0.0290108711071362,-0.15434164639887,-0.211386246196274
"TWIST2",0.150168179042658,0.0800675096112399,0.0528087363715676,-0.0142638112881276,-0.0142638112881276,0.0048201185083044,-0.0124169276423688,0.0588138952188472,0.0118470577447417,-0.0520774194734419,-0.04332032653551,-0.109487905014658,-0.0443622894248197,3.09063466222578e-06,-0.116333569475953
"TWIST1",-0.239352589270222,0.0905231250044057,0.0753338253159389,-0.0106361439028291,-0.0106361439028291,-0.122429881246136,-0.0589073253505766,-0.0277408436197826,0.0593671692175427,-0.0759096868395217,-0.0777483727719708,0.172743162326619,-0.000511875829633348,0.151531707745825,0.16816327693388
