"","miR34a","miR141","miR200c","ZEB2","miR200a","miR200b","GSC","SNAI1","miR101","TGFbeta","SNAI2","FOXC2","TWIST1","TWIST2","ZEB1"
"miR101",-0.012629981976014,-0.0757156055406681,0.00925243238614359,-0.0900860095050534,-0.0823925722694408,-0.0751253669953546,-0.0572990390167662,0.00371956378635353,-0.0710504529144934,0.0573518196779319,0.0401470679259378,0.0655684259379836,-0.0142356735468818,0.00664425133649497,0.075655934990301
"TGFbeta",0.126862450510169,0.131880594224869,0.110751328082711,-0.083986715724014,0.0247055886757345,-0.0530329308317787,-0.187212911037542,0.00934346631050747,0.00294641004259219,0.0874548933567003,-0.0170071141963051,-0.057081467534515,-0.052135975984118,0.00091056638695376,-0.132226677956424
"SNAI1",0.112097307366933,0.143565612690625,0.113285484043004,-0.0668612137802905,0.0381624908694719,0.0477851304124727,0.0176090676944229,-0.133765443347789,-0.0614992676546113,-0.0175920179368863,0.0575176334713443,0.0348134088897165,-0.0451770301264305,-0.0764686010566284,-0.143495128327024
"ZEB2",-0.148601154726767,-0.146156806768908,-0.086926217051684,-0.0618888596249324,-0.0465375993315007,-0.0303264309177907,-0.0159790614799537,-0.00906016055493354,-0.00501895529608807,0.0154081983348784,0.0183866595771783,0.0448548534439517,0.0475095556830529,0.0665900790082209,0.146854061050228
"miR200c",0.252252971012598,0.299438335098585,0.177468362303709,-0.0507300447919745,0.12786528355803,0.0643762013792623,-0.0543315931268374,-0.00804409290314942,0.00806734352865868,0.0536280323207885,-0.00886106616313555,-0.0801548165077604,-0.0840924088069793,-0.1172336328396,-0.299125464837921
"TWIST1",0.0164153800294393,0.0825764942149963,0.0647589207314321,-0.0363258490421478,0.0126526892337803,-0.0210523511698279,-0.0122816729000982,0.021102715607029,0.0408534260082933,0.0117763793486064,-0.0694164975247892,0.0391192378748732,0.00404945660679244,0.0721457072198794,-0.0823112504785598
"miR141",0.131753394301272,0.240763745967411,0.134376270473134,-0.0269254534066179,0.108781416031857,0.103845551227111,0.160723626597074,-0.0858992190166779,0.00577484988977873,-0.16092071918281,0.0732516911617812,0.00465346516158341,-0.0306508600697621,-0.0972540651872661,-0.240710058171202
"miR34a",0.0255422945336816,0.136998642541418,0.124837667893891,-0.00645372066643275,0.11915371225184,0.085481587540158,0.0577744549307294,-0.0915510025254892,0.0318357349854937,-0.0576998267066991,0.0459010011506671,-0.140055045615261,-0.11226378989233,-0.179021595452658,-0.137017987365262
"miR200a",-0.190734687692757,-0.223283964420751,-0.120161895722272,0.0163400955240673,-0.104754341415864,-0.0821744145941076,0.0495305260342066,0.00787094564567964,-0.0060082359547263,-0.0494648285056281,0.0035222689541386,0.061418407217165,0.0645915198592466,0.0937597391780213,0.223329321352031
"TWIST2",-0.0356747364954765,-0.0907043301025721,-0.0637179463882147,0.0382700776081376,-0.0292973310154757,7.28848294503155e-05,-0.0022818003769193,0.00231777868628286,-0.0305520189417582,0.00285506572577361,0.0462007338418909,0.0441135768295976,0.117195519398936,-0.051883920577448,0.0903687950494934
"SNAI2",-0.0210338904760761,-0.00837962399680813,-0.0244651246693057,0.0395779698617778,0.0154358443463398,0.0162559780315004,0.0148451871095104,-0.0371227024569748,0.0110965536507563,-0.0148238025901916,-0.0812996904920489,-0.047915922157688,-0.081230452961814,-0.00219667205957984,0.00843555596745557
"GSC",-0.053013384518617,-0.13590028163896,-0.096514481753358,0.0446483896660991,-0.0442195974833769,-0.040053852163307,-0.0162080718288135,0.0241706071068806,-0.0429558124774427,0.0167450311625044,-0.0345395901652929,0.161157969505936,0.12401421103265,0.042525502062511,0.135543561693598
"miR200b",-0.252252971012598,-0.299438335098585,-0.177468362303709,0.0507300447919745,-0.12786528355803,-0.0643762013792623,0.0543315931268374,0.00804409290314942,-0.00806734352865868,-0.0536280323207885,0.00886106616313555,0.0801548165077604,0.0840924088069793,0.1172336328396,0.299125464837921
"FOXC2",-0.223611389880287,-0.266571729481035,-0.260244871316725,0.0538392777885438,-0.216826272676275,-0.222544650206123,-0.105503686202068,0.135936097284788,-0.0150012643704497,0.105808108629698,-0.103489649923377,0.119556341313008,0.11791539077087,0.212299314404164,0.266562118306442
"ZEB1",-0.223601690631606,-0.266562118306442,-0.260284806725542,0.0538460894750285,-0.216775919334723,-0.222573251158257,-0.105808108629698,0.136141865859811,-0.0148294369562745,0.105750523371524,-0.103445995686491,0.11940056125594,0.117939287060971,0.212600383993494,0.166648336870502
