"","miR200c","miR200b","miR200a","ZEB1","miR34a","SNAI2","FOXC2","SNAI1","TWIST1","miR101","TWIST2","miR141","TGFbeta","GSC","ZEB2"
"miR101",0.148204047909902,0.157112221843518,0.0702094664497147,0.0802774426276372,0.0625627896105585,-0.0869700872042646,0.0578828363311826,-0.0462112389233132,0.0225361244942727,-0.0297397150603563,-0.0283546120389182,-0.0802505056363287,-0.0237043634320831,-0.0237026040767109,-0.220738523112068
"TWIST1",0.14753107063577,0.0934279440080069,0.0315386503988479,0.111690333076667,0.0923969912923473,0.00888503256543721,-0.0521258425118378,-0.0317516783879795,0.0245900613735184,-0.0204945938407755,-0.103355793721967,-0.111716001825354,-0.0251332447038564,-0.0251385917255653,-0.198832697228873
"miR200b",0.0144144909606004,0.0361854176985544,0.175508273233776,-0.163513454521684,-0.0954947541197074,-0.0500107004986364,-0.050711497014905,-0.00355247528926279,-0.0210083404908836,0.0232103817236953,0.0687721723728793,0.163762454817892,0.0841212387964056,0.0841367673031605,-0.188885811188477
"TWIST2",0.163178696169576,0.0728792296965739,-0.0231430105438381,0.187202797918886,0.0878405117620893,0.0857626048947231,-0.0138921022863799,0.0146323155642694,0.0206435700350522,-0.0279195753926812,-0.119401978130962,-0.187346158898314,-0.0313755201373911,-0.0313851405825347,-0.140830577486709
"TGFbeta",0.0116127055617666,0.10365085170119,0.0987234362909261,-0.0880712608215953,0.0143674395873929,-0.0799948266908037,-0.0347276742010302,-0.0109364504281308,-0.0296079347331161,0.0342798355638791,0.0799615984838946,0.0882566964384119,0.0843817075526074,0.184410745430906,-0.111980420225562
"ZEB1",0.187961895500156,0.203839513341565,-0.119356685177505,0.0204529868848301,0.157513968998777,-0.111166423108293,0.0993424502446098,-0.103346150096229,0.00872080233637259,0.00478551191222298,-0.0769269848082386,-0.120332681911723,-0.00500341488338848,-0.00497910110771505,-0.0831595347609299
"GSC",-0.0087247516425474,-0.010078471148424,0.0556487794586643,-0.0689752615288342,-0.0837970855574802,0.0191793505914065,-0.0881864792061929,0.130447042350622,-0.201676119006322,0.103728466794391,0.0327041245750413,0.0690052338658412,-0.00849218994287057,-0.00849282091741075,-0.0376606680819917
"miR34a",-0.159289055758518,-0.0305860178862166,0.153247638055107,-0.19279050550684,-0.0590501908988823,-0.1068000787762,0.0805078939755956,-0.087183862308621,0.030950169208423,0.0120560084493263,0.022680051054487,0.192966024396353,0.0234386252269614,0.0234574339663511,0.00681166575914631
"FOXC2",-0.188078229082362,-0.203927161420688,0.119618869818,-0.120332681911723,-0.157760926792124,0.111327566525935,-0.0994087724471239,0.103474314522958,-0.00863716532101922,-0.00476773666248072,0.0772069267070898,0.120681887921911,0.00497910110771505,0.00502338073355222,0.0832380172356452
"ZEB2",-0.219006824009521,-0.213276941937127,-0.164949094563261,-0.0617735646037867,-0.046148358950474,-0.0269700640191509,-0.0145408321893055,-0.0138279447052507,-0.00626981956241062,0.00648660537498853,0.0351692315057772,0.0618228352489336,0.0661235064354092,0.0661463409612122,0.0851671545923194
"SNAI1",0.0123232650651767,-0.0134391448018208,-0.108473114713562,0.116076107150162,-0.00492351205201525,0.0621914811056535,-0.0357133865249419,-0.0750337469318502,-0.0188794606332672,0.0317451300574867,-0.0046033709562465,-0.116149373791273,0.00362519962637884,0.00360814986884225,0.0957435005553584
"SNAI2",-0.0768123172376247,-0.0616816462086024,-0.0369829540146473,-0.0401326528162839,-0.0332596677612777,-0.0824077558366177,0.0201527798627887,0.0195242267999969,-0.073143377722297,-0.000595186999538856,0.00258303206979164,0.0401698291560556,0.0132734792843925,0.0132657808574378,0.114031211651863
"miR141",-0.0064643979161762,0.0323635942453235,-0.136615747507842,0.133904831351697,0.148858692770857,-0.133547023016676,-0.0175506564362176,-0.0752606058722582,-0.0160684838538455,0.0291486084893696,0.00157540441632331,-0.134064969088663,0.133050979252374,0.133011560735227,0.139366278833263
"miR200c",-0.0144144909606004,-0.0361854176985544,-0.175508273233776,0.163513454521684,0.0954947541197074,0.0500107004986364,0.050711497014905,0.00355247528926279,0.0210083404908836,-0.0232103817236953,-0.0687721723728793,-0.163762454817892,-0.0841212387964056,-0.0841367673031605,0.188885811188477
"miR200a",-0.0144144909606004,-0.0361854176985544,-0.175508273233776,0.163513454521684,0.0954947541197074,0.0500107004986364,0.050711497014905,0.00355247528926279,0.0210083404908836,-0.0232103817236953,-0.0687721723728793,-0.163762454817892,-0.0841212387964056,-0.0841367673031605,0.188885811188477
