"","miR200b","miR200c","GSC","miR141","miR34a","TWIST1","SNAI1","miR101","FOXC2","TWIST2","SNAI2","ZEB1","TGFbeta","ZEB2","miR200a"
"miR200b",0.25092830133755,0.0784399966529537,0.107419960559116,0.185122339513386,0.0894002108404306,0.0909625329598258,0.0869965294131236,0.0831923733849673,0.0322346171983851,0.00762533527144578,-0.0803545021525732,-0.185275072037083,-0.1081378553714,-0.350794540054153,-0.262592662728104
"TWIST1",0.110406072191328,0.1065771362054,0.04274078979538,-0.0233145528675489,-0.0466925978809632,0.19294482972342,0.103106395140984,0.136625875729801,0.294832659030524,-0.150886675588621,-0.134379917301711,0.0233547413124635,-0.0423397631672119,-0.223251226011433,-0.0945776180459706
"GSC",0.068807217689626,0.151821924874885,0.0667717615675999,-0.101677638074819,-0.126914570334503,0.324447877288598,0.21024766644553,0.222630124440688,0.12887871908036,-0.135042742958076,-0.139905632751069,0.101568067072318,-0.0665666948420422,-0.216657782994483,-0.0488823912711183
"FOXC2",0.20437270935376,-0.0856167357725369,-0.0649036386442203,0.122368159952814,0.177764018791916,-0.168325618239078,-0.163550527408602,-0.146725232486211,-0.154656029946835,0.20786837685922,0.131495546468741,-0.122640476566263,0.063863067437047,-0.167018678870929,-0.223889094295759
"SNAI1",0.127837060920781,0.0141617535111688,0.00120482210184306,0.117901900254488,-0.0213084267864938,0.0770197867995813,-0.0209568189670748,0.142286356836715,0.177238494677965,-0.0792143965977988,-0.104048385293494,-0.117757840107831,-0.00134003064416809,-0.154479962088207,-0.134254501874391
"miR141",-0.0321560466243057,0.147244810566826,-0.0504174815779036,-0.1532648221865,-0.0712194272645486,-0.0735221246840486,-0.0724481540035017,-0.069908788093165,-0.0278147982869714,-0.00718973082024788,0.0678363820403291,0.153451803821571,0.0512046574203251,-0.141038351261912,0.00304143777706672
"TWIST2",-0.0280208418646132,0.0757648399622464,0.0357857286445171,-0.123560063302771,-0.0128018868642026,-0.179831342285797,-0.100159461437272,-0.0482897492661656,-0.132773675208028,-0.057318911162675,-0.022313339106648,0.123721454344029,-0.0355010766499724,-0.0249874841544873,0.0466636150687696
"SNAI2",-0.0381554486297962,0.0131258782916324,0.00333046527353412,-0.0429440913901293,0.00844380212910227,-0.148188458815951,-0.0933985615368826,-0.0751011355496292,-0.104729736456345,0.0335519067291432,-0.0488183724924441,0.042878781604044,-0.00319445973066672,0.0181343029813058,0.0297493761546448
"miR34a",-0.155756602171462,0.1228521619603,0.0420426052499033,-0.196889757482874,-0.046348791729084,-0.144710025502461,-0.133253667142338,-0.106683171566989,-0.193863758796707,0.178435726153314,0.0859658910630584,0.197018093875206,-0.0418733265953956,0.0797740190454659,0.193667199146405
"miR200c",0.0321560466243057,-0.147244810566826,0.0504174815779036,0.1532648221865,0.0712194272645486,0.0735221246840486,0.0724481540035017,0.069908788093165,0.0278147982869714,0.00718973082024788,-0.0678363820403291,-0.153451803821571,-0.0512046574203251,0.141038351261912,-0.00304143777706672
"miR200a",0.0321560466243057,-0.147244810566826,0.0504174815779036,0.1532648221865,0.0712194272645486,0.0735221246840486,0.0724481540035017,0.069908788093165,0.0278147982869714,0.00718973082024788,-0.0678363820403291,-0.153451803821571,-0.0512046574203251,0.141038351261912,-0.00304143777706672
"miR101",-0.0859086640241966,-0.0390161586849927,0.00892310696293932,-0.0753013001388081,-0.0752644092170467,0.108427236807156,0.104670882756993,0.167177783773443,0.192838990253449,-0.10907474828061,-0.127981448775217,0.0752389017918529,-0.00857123588850099,0.156623405898534,0.11180643205075
"TGFbeta",-0.174341257010944,-0.0678449693562297,-0.218513403140004,-0.0172742581770085,0.120994341701159,-0.225057219534505,-0.192162117039682,-0.173320747922482,-0.147059833179889,0.174815811002513,0.152289539212306,0.0176423055179998,0.118682790763415,0.161910128001801,0.0867375255594693
"ZEB1",-0.2042813708292,0.0860421346925445,0.063863067437047,-0.122640476566263,-0.17794830451686,0.168283799731401,0.163447055210876,0.146683756903479,0.154895098351246,-0.207601639766919,-0.131374284699612,0.0230439994968925,-0.0634203007853098,0.166524979680927,0.223758870136573
"ZEB2",-0.307004293180722,-0.250556817598857,-0.0741887642714419,-0.0689575744671544,-0.0437860543466882,-0.0435661318861997,-0.0408832261366022,-0.0394879908736105,-0.0105380426971662,-0.00192664971067811,0.0379536518279947,0.0689023316225958,0.0741253350331002,0.256229508664778,0.312284709944898
