"","ZEB2","TWIST1","TWIST2","miR101","miR200a","SNAI2","ZEB1","miR200b","GSC","TGFbeta","miR141","miR200c","FOXC2","SNAI1","miR34a"
"ZEB2",-0.091141729997872,-0.0138698838419606,-0.012820715283815,-0.0118401199333975,-0.00608110475686747,-0.00551255936679597,-0.00530924566856686,-0.00376032033954814,-0.000147402828332537,0.000251426779212935,0.00506189707626403,0.00608110475686747,0.0103666215847901,0.0180918063689486,0.0222796162349893
"TWIST1",-0.0788097039792186,-0.127642272342104,-0.0612797220986105,-0.0658795353350526,0.0627375921725011,0.0244298233895176,0.0516348546388773,-0.0132758250503846,0.0111523521684039,-0.0109545123651743,-0.0518446123933025,-0.0627375921725011,-0.216948918855766,0.222011815587897,0.0662023021426573
"SNAI1",-0.0660256440290975,-0.17469333178731,-0.00312350814661909,-0.0576592398575855,-0.0288448226749409,0.147619384201329,-0.125977258147479,-0.021796794461774,-0.00804608948730623,0.00802903972976964,0.125976021579696,0.0288448226749409,-0.0590007016752389,0.0602924927658331,0.203129929219645
"TGFbeta",-0.057073823651647,-0.0629853646264451,-0.0613516885191537,-0.0346692648297597,0.0165761873982052,0.0126233093106564,-0.0258352324889353,-0.0933183207157003,-0.00586368123952799,-0.0939233743196125,0.0257627525777938,-0.0165761873982052,0.0523611675577897,0.0789136603760091,0.108756926222802
"FOXC2",-0.0154045289538822,0.0801533557132006,-0.00982402802252917,0.0789551229248759,0.0019616684675006,0.0724892553388323,-0.00173965232618536,-0.00789087338746096,0.000879283666018018,-0.00131101001793034,0.00228108182821973,-0.0019616684675006,0.0817771199111969,-0.0855619123351916,-0.00875949871060185
"miR200b",-0.011305124857623,-0.0504351607711737,-0.0454819230577202,-0.0371242338612842,-0.00246992512976921,-0.0066243911866962,-0.0157634259225008,-0.0375571515738323,-0.0907672965773825,0.0904579209428041,0.0161512739675245,0.00246992512976921,0.0545793088184103,0.0676479714429209,0.104902222425067
"miR200c",-0.00822323711088302,0.113437532667059,0.0170966637038274,0.0867443611824836,0.0121274928045252,0.0502183126416234,0.0151182766268038,-0.00561493833143692,0.0930418590762279,-0.0931051676037671,-0.0150368192808322,-0.0121274928045252,-0.0301872588291585,-0.123130150278855,-0.0152907863752099
"miR200a",-0.00495269535854579,0.107451448944013,0.0118702974707726,0.0833071297009178,0.00650013815959038,0.0489419237652176,0.0073011011874665,0.0236280550314528,0.0895285904401977,-0.0895417299459134,-0.00715947648367503,-0.00650013815959038,-0.0263626551366552,-0.11776413375763,-0.00495099731638448
"TWIST2",-0.00328614000344744,0.0683569170734467,-0.0638567845384406,0.0211993810842667,0.0428425267975416,-0.115619871000094,0.0803520199311231,-0.00411457525363709,0.011770051646444,-0.0116529085791066,-0.0805723384915326,-0.0428425267975416,0.0914637822597045,-0.172766653764196,-0.122571091318964
"miR101",0.00308817886865713,0.17278602784909,0.0150558485448333,0.0593760110238246,0.0559379420667334,-0.149015574935104,0.112409820995947,0.0207044692888913,0.00937445582104415,-0.00933575000285594,-0.112558144935431,-0.0559379420667334,0.0619672590961531,-0.16628588344815,-0.134107141921044
"miR141",0.00495269535854579,-0.107451448944013,-0.0118702974707726,-0.0833071297009178,-0.00650013815959038,-0.0489419237652176,-0.0073011011874665,-0.0236280550314528,-0.0895285904401977,0.0895417299459134,0.00715947648367503,0.00650013815959038,0.0263626551366552,0.11776413375763,0.00495099731638448
"GSC",0.0050924575601452,-0.0876810193238923,-0.0221602310273987,-0.113134806942467,-0.0459047091367776,0.0671185767721137,-0.0751568426660737,-0.00964551716368233,-0.00752278755387785,0.00743634404187356,0.0753784414200106,0.0459047091367776,-0.208848941632225,0.198502123565438,0.118879652330079
"SNAI2",0.00981779617252781,-0.0187234396650184,0.00774926714948719,0.0314006965502853,0.00884853309330542,-0.124827951296465,0.0282653907545365,0.00841113012940646,0.000813943014318506,-0.000655697571359573,-0.0283447672637787,-0.00884853309330542,0.0737678054041195,-0.0891520677851916,-0.0547790555486053
"ZEB1",0.0156547843921253,-0.0799293279935041,0.0103786298976117,-0.0786387234794637,-0.00244957498391753,-0.0728541185286096,-0.0980743762362203,0.00790471255784882,-0.00131101001793034,0.00105635520956129,-0.00173965232618536,0.00244957498391753,-0.0818588658817375,0.0858264719316501,0.0090885270697128
"miR34a",0.0541395430622748,0.0723178448869751,-0.0206181756637383,0.0706669368113885,-0.0915085396337054,0.0491889524895012,-0.0513775988143223,0.0124175110329705,-0.0184288902047249,0.0182062189996914,0.0515290546302729,0.0915085396337054,0.058761565536975,-0.0989565636410107,-0.0300933346536462
