"","ZEB2","TWIST1","TWIST2","miR101","miR34a","miR141","miR200c","TGFbeta","GSC","miR200b","miR200a","SNAI1","ZEB1","FOXC2","SNAI2"
"SNAI2",-0.108611216792455,-0.218975003394413,-0.361962586806254,-0.342987043422882,0.0418628805296556,0.0377607854986364,0.0729073322446989,-0.205915457245089,-0.205817088456223,-0.313474841511407,-0.0729073322446989,0.0466689425209976,-0.0381121186555774,0.0516006277678244,0.334982913513184
"ZEB2",-0.0912163004794333,-0.0235036265163,-0.0206458649063444,-0.0180345178504999,-0.0120009448312366,-0.00929744461784132,-0.00846653350919694,-0.00345756845063889,-0.00342965958576854,0.00348617398735697,0.00846653350919694,0.00907691884763352,0.00971002406053558,0.0172358549574397,0.0264253417058223
"SNAI1",-0.0566086516197445,-0.0173688167764798,0.108025374285017,-0.0473428445787201,0.151498938802635,0.124292134734421,0.0964445881309561,0.0181395897614238,0.0181193679559735,-0.0390713225309704,-0.0964445881309561,-0.0207294103383361,-0.124466799933693,-0.080631060150628,-0.0839246415901856
"miR200a",-0.0210325701222693,-0.0985615391845543,-0.0221982197155989,-0.127561786076991,0.132891519974198,0.0348554332265888,0.0280659529762004,-0.111246638694654,-0.111269334204527,-0.102663903357164,-0.0280659529762004,0.0944131041669362,-0.0344064921720864,0.0436637886231264,0.160211790252004
"miR141",-0.0210325701222693,-0.0985615391845543,-0.0221982197155989,-0.127561786076991,0.132891519974198,0.0348554332265888,0.0280659529762004,-0.111246638694654,-0.111269334204527,-0.102663903357164,-0.0280659529762004,0.0944131041669362,-0.0344064921720864,0.0436637886231264,0.160211790252004
"miR34a",-0.0209338009066042,-0.0413597648798519,0.0722216100758749,-0.114853377797089,0.167237971063581,0.179076782778668,0.154643277946778,-0.014515720902216,-0.0145478777792372,-0.131566949637846,-0.154643277946778,0.150181309281435,-0.17883473656813,-0.124042058415407,0.0874336159697618
"FOXC2",0.0034042534493379,0.0080598790359053,-0.0330512308411428,0.0992292180942639,-0.0635823174679277,-0.0499037474590485,-0.0317085062581945,0.000840605135553133,0.000818465322634552,0.036865888076321,0.0317085062581945,-0.107330706378406,0.0487407953333771,0.103369748791539,-0.0906925557097621
"ZEB1",0.00364029319404773,0.00826299750176348,-0.0344509403353987,0.0985383533876148,-0.0626012011590141,-0.0487407953333771,-0.0308860683461797,0.000832927101129945,0.000840605135553133,0.0360456865780002,0.0308860683461797,-0.107811616933746,-0.0504832375900839,0.10310291760468,-0.0911759859626872
"TWIST1",0.00855589820653311,0.138062516952432,0.134370910666624,0.117440375600487,-0.00607317168556864,0.0723489021091497,0.0395394120693976,0.0174706810301487,0.0174452826770314,0.0203627214289775,-0.0395394120693976,-0.040864686920591,-0.0722075943512242,-0.0802458781975974,-0.159771349665444
"miR200c",0.0178218298144428,0.0915846322582927,0.0738262677783072,0.0603274952720344,0.0344054432245759,0.0263136947793602,0.0053119406073698,0.110085074187738,0.110126881705924,0.0330438114035081,-0.0053119406073698,-0.0197340910874732,-0.0257546011774645,-0.0867455465613652,-0.101120603919651
"miR200b",0.0210325701222693,0.0985615391845543,0.0221982197155989,0.127561786076991,-0.132891519974198,-0.0348554332265888,-0.0280659529762004,0.111246638694654,0.111269334204527,0.102663903357164,0.0280659529762004,-0.0944131041669362,0.0344064921720864,-0.0436637886231264,-0.160211790252004
"GSC",0.0279944022240487,0.0880090289352127,0.106422724932066,-0.0514017236652769,0.136792280920347,0.172032893857534,0.0718771842913825,0.000310416539558532,0.00034133429202722,-0.0360793380812738,-0.0718771842913825,0.0892383636119157,-0.171955260591188,-0.190445160096081,-0.0816497428405755
"TWIST2",0.0426289621258288,0.113328539133475,0.221940068731045,0.0919318340847365,0.104189802062955,0.147613792751037,0.0554219495641588,0.0225271000623478,0.0225536977636273,0.0390854336386535,-0.0554219495641588,0.055249110226802,-0.147441407769638,-0.0755797667202013,-0.234538824622417
"miR101",0.0893436354108404,0.0162786397532434,-0.0862134601811474,0.0624915935279113,-0.118564053134092,-0.141221567866556,-0.118189720392123,-0.018765869032451,-0.0187781845200563,0.098562958031095,0.118189720392123,-0.089954914676992,0.14068044121837,0.0954341969995629,0.0652399652515059
"TGFbeta",0.0942273053619932,0.121825360594363,0.130999149109303,0.121852963968097,-0.0725978559640653,0.000582375991031767,-0.0472613477198316,0.0954689759133025,0.195396381217555,0.153462902456612,0.0472613477198316,-0.0538449921135438,-0.000789147685586989,-0.0692942388809842,-0.187172038000324
