"","miR200a","miR200b","GSC","FOXC2","SNAI2","TWIST2","SNAI1","miR101","TWIST1","miR34a","miR141","ZEB1","TGFbeta","ZEB2","miR200c"
"miR141",0.14813167776012,0.114152699921232,0.136552989100832,0.0674972137313985,0.07083760203549,0.0544027833517682,0.0293892317316651,-0.0211685462728192,-0.0777856588284162,-0.0284343925198114,-0.0261192416160206,-0.0260701820781059,-0.136606741624214,-0.273084683206821,-0.14813167776012
"miR200a",0.120926518687834,0.0607003885178391,-0.078819220037657,-0.0856417323036117,-0.122964186313957,-0.0210842926776399,-0.0712405737706976,0.0257521851717309,0.0214074026674331,-0.0834493892550923,0.0124572472226512,0.012434105931182,0.0789422535911766,-0.257971932882195,-0.120926518687834
"miR101",0.124648538522611,0.0681005623085988,0.0195818829805552,-0.0261024869459476,-0.106186368709985,-0.00418533982483572,-0.014173729837214,-0.00474536863106486,-0.0148229480251297,-0.0124518813727591,-0.0141719161477124,-0.0141974892407269,-0.0195836423359274,-0.237757732557356,-0.124648538522611
"TWIST1",0.0281668867232345,0.103008537251527,0.0517797776034957,-0.070353234088056,0.0522801145518743,0.0700067896579039,0.0326467546278358,-0.0100090698014704,-0.0744071871236368,0.0367672271724755,0.10329933583763,0.103250331862863,-0.051851962396566,-0.180513490565646,-0.0281668867232345
"GSC",0.123857332804831,-0.000334351667957929,-0.0143769902753788,0.148202795024238,-0.0897148504795476,-0.00627317580929327,-0.039554909159492,-0.0239758635658813,-0.120052622916583,-0.0752703135157293,-0.0986616420787653,-0.0987284656497973,0.0142880228652138,-0.156588252137929,-0.123857332804831
"TWIST2",0.11222561378231,0.0136856127372344,-0.0121159270872289,0.0724057431608869,0.0869074366202137,0.101597292028549,0.0967219406532051,0.00776714591803284,-0.0315825479866336,-0.0208642222517353,-0.132643873568112,-0.132662783145153,0.0120836703005707,-0.0945297356674298,-0.11222561378231
"FOXC2",0.0267994591349433,0.0185377475942849,0.00566365462666149,-0.0925295601323088,-0.0963281702232115,0.00176631897749822,-0.0790186494158995,0.00806584595942197,-0.0630299302582431,-0.0018333429329206,-0.00155618267060017,-0.00150599098106247,-0.00548653612331285,-0.0665878092326393,-0.0267994591349433
"TGFbeta",-0.0585341684521622,-0.071100029311936,-0.176523417341737,-0.0942810043033399,-0.0927840504320323,-0.0895655003999467,-0.0352969156341653,0.0277471669599048,0.072336571375958,-0.0150927684520978,0.100439605546903,0.10043364399577,0.0764363037068402,0.0188914641688939,0.0585341684521622
"SNAI1",0.00930166501477558,-0.0172850746730965,-0.017103492153042,0.0239582016145612,0.0846914542156587,0.0194069543078697,-0.0912039502917171,0.0124824381172905,-0.000455562538536736,0.013390229535752,-0.0849440879145946,-0.0849375959337367,0.0172046011802939,0.054714677530244,-0.00930166501477558
"SNAI2",-0.0109788996732383,-0.0157803807463533,-0.011145709577039,0.0700983475800531,-0.00791217973652633,0.0941372998917602,0.0679757222483997,-0.0103725823670908,-0.047393041080941,0.00291318547724653,-0.0406577128087297,-0.040709625715618,0.0109857533725346,0.0620316563143166,0.0109788996732383
"ZEB1",-0.0268787511785365,-0.0186318539529224,-0.00548653612331285,0.0925095092338743,0.0964580550514778,-0.00183762493286597,0.0789140013977448,-0.00801489024349416,0.0631792820713741,0.00185050314212593,0.00150599098106247,-0.0985411284667377,0.00548525645090898,0.0666023210864546,0.0268787511785365
"miR34a",0.0415739842847875,-0.0130176367559271,-0.0190539798519517,0.029177003308664,0.0759223308765642,-0.0107766071051742,0.0132662376778786,-0.0183005537919694,0.0149009195497721,-0.00891066472040581,-0.0564310357970384,-0.0563890433745475,0.0191747198241633,0.0828071205604911,-0.0415739842847875
"miR200b",-0.100425432279243,-0.0760154021470461,0.0784923550861735,0.0520099481615649,0.0596116011576774,0.0421625503867918,0.0216429905412538,-0.019197089306685,-0.069312527320353,-0.0147948269164219,-0.0043061681016848,-0.00423952118225352,-0.0784624925731833,0.206332968445445,0.100425432279243
"miR200c",-0.127630591351529,-0.129467713550438,-0.136879854052316,-0.101128997873445,-0.13419018719177,-0.0333245256426163,-0.0789868149611088,0.0277236421378651,0.0298805341754963,-0.0698098236517028,0.034270320736987,0.0342647668270344,0.137086502642208,0.221445718770072,0.127630591351529
"ZEB2",-0.287638909986531,-0.250336160955674,-0.0772887567456416,-0.0376716271595356,-0.0349813158282372,-0.0327536374288978,-0.0234134272495101,0.00584472283818024,0.0212850416039257,0.0298951147058749,0.0417860832974074,0.0418502844410836,0.0773445744753823,0.229208827291795,0.287638909986531
