"","ZEB2","SNAI1","SNAI2","TWIST1","miR200b","FOXC2","miR200a","ZEB1","TGFbeta","GSC","miR34a","miR141","TWIST2","miR200c","miR101"
"SNAI1",-0.129799530871707,0.230358629139898,-0.300236999478883,0.378746839632916,0.0119879280760825,0.359007218590777,0.135559737023986,-0.140643260246438,-0.0232294340088995,-0.0230506098077599,0.271969643310546,0.140396255831891,0.287411076475542,0.00924569829894261,-0.0590026387851284
"ZEB2",-0.071967112466057,-0.0371358224348031,-0.0260979439601373,-0.025594539021484,-0.024254301461527,-0.0142146608871158,-0.0132700244177617,-0.0105502378238917,0.00450547002352808,0.00476933565502958,0.00748158349636937,0.010125713982374,0.0181991366815742,0.0211341176996821,0.0313303883669185
"miR200a",-0.0519460638830278,0.264603314270933,0.00702864901849989,0.227108615425637,0.082782679119953,0.157510105788477,0.036709217692816,-0.0223867047575472,-0.125660623077923,-0.125389471459972,0.157795567285891,0.0218313137622865,0.0784986997734803,-0.0133340479397825,-0.133628426569949
"miR34a",-0.0389002487905005,0.286400088544946,-0.25543224457071,0.312770813941313,0.00782280207388733,0.308209058275774,0.165529964387379,-0.184498485366792,-0.0346064162076053,-0.0345050917083122,0.221610999631668,0.184145088462907,0.381354838971443,0.131017305674622,0.00358361401730408
"GSC",-0.0293388334296826,-0.107905476253239,0.166391551531075,-0.23877202619211,0.0708591698002962,-0.0504154217777129,0.0164406267592266,-0.00671790396805751,-0.0190118561130007,-0.0191386819955763,-0.0631502360548784,0.00630271339804262,-0.114898280919267,-0.0225112746001139,0.0183685903702311
"miR200b",-0.0229909611749412,0.138627441433508,0.0920700722867135,0.0907030455052343,0.0282338499021404,0.0642408167605619,0.00184167237968404,0.0173339474974829,-0.106556314031539,-0.106404612465549,-0.00691733110982759,-0.0173385757557768,-0.0592348482998212,-0.0195570647054893,-0.114643748886767
"SNAI2",-0.0176010775050778,0.033262241326805,0.120383504606146,-0.112604987407497,0.168093592132705,-0.0256779925167006,-0.0490205803666334,0.115804746648081,-0.173802108576499,-0.173804674718817,-0.0569022822138365,-0.115780297343546,-0.236209264870342,-0.0671225103636238,-0.226112803585726
"miR101",-0.017561772989446,-0.233092117565672,0.210669144280201,-0.253195783671187,0.0634283378466997,-0.259271048202416,0.00152805942135425,0.0115247486187152,-0.0152274419583082,-0.0152784632641017,-0.116819376924637,-0.0118292389128739,-0.142899112308821,-0.0142392833981662,0.0592888729310024
"TWIST1",-0.00854820604738363,-0.239085418555525,-0.0193062904070476,-0.142982193257228,-0.0129123113194572,-0.138047567325608,0.0101875350500484,-0.0114286483835602,0.00522356260311516,0.00508988706039246,-0.102680002066341,0.0111494035114761,0.0151341562211249,-0.0172478294732312,0.110696336129468
"miR200c",-0.00801545428858712,0.25181039372951,-0.000238309130506838,0.216710025678419,0.0315881314884344,0.151677728324785,0.0205885952588116,-0.0332288229718842,-0.118345058342655,-0.118276971813038,0.163820728402664,0.0331038599979506,0.0851344672679022,0.0142491897022593,-0.123579232383646
"TWIST2",-6.95865232859786e-05,0.161138956120212,-0.00939427466134276,0.247091701855466,0.0518560423862758,0.179602758632264,0.0671734823179444,-0.134386341311168,-0.0369603052679636,-0.036782044078537,0.138370800128543,0.13451035295595,0.0219066910489106,0.0671502031020493,-0.06883297791418
"miR141",0.00801545428858712,-0.25181039372951,0.000238309130506838,-0.216710025678419,-0.0315881314884344,-0.151677728324785,-0.0205885952588116,0.0332288229718842,0.118345058342655,0.118276971813038,-0.163820728402664,-0.0331038599979506,-0.0851344672679022,-0.0142491897022593,0.123579232383646
"FOXC2",0.0305911338693082,-0.172269203987033,0.120158246686265,-0.16454028998531,-0.021857973457573,-0.160635159288204,-0.0336115902667831,0.0365972252178794,0.0118173553971576,0.0116789815664165,-0.0686543964263844,-0.0359618197864979,-0.14360476661704,-0.00885423320638034,0.0241772691193031
"ZEB1",0.0309758460755542,-0.172523181199633,0.120317234339122,-0.165421465682783,-0.0217832419374785,-0.161043889140907,-0.0337059304354379,-0.0634849831804103,0.0118736609829277,0.0118173553971576,-0.0692609725169903,-0.0365972252178794,-0.144032602349246,-0.00944863414630938,0.0240504723378083
"TGFbeta",0.0401901502387912,-0.274397314295533,0.0362078238470322,-0.230250791168939,-0.0900907122707556,-0.181612751736885,-0.0291351674801819,0.021132398975638,0.0995331373800173,0.199396014065827,-0.188035216927541,-0.0208572263259795,-0.0507291902449781,0.00606891725959461,0.115554601446776
