"","ZEB2","SNAI1","miR101","TWIST2","ZEB1","TGFbeta","miR34a","GSC","miR141","miR200a","miR200b","miR200c","TWIST1","FOXC2","SNAI2"
"TWIST2",-0.123097826862203,0.244382321153296,0.152082953853844,0.0673493160555961,0.0858431970294253,0.0196923957603572,0.0581799610690232,-0.01976313432759,-0.0858260464828066,-0.0180771708738776,-0.104615420274081,-0.106026156290679,-0.0701847137736313,-0.151263518410468,-0.0792787598081434
"TWIST1",-0.0912753075001556,0.23104400441734,0.12206295599166,0.053447424542209,0.082074530647919,0.0171910402367479,0.046218792685532,-0.0172311428995647,-0.0820742713676292,-0.00743592160420959,-0.0793175683609957,-0.084982875334524,-0.135688461522097,-0.221037812552527,-0.0485661618162163
"ZEB2",-0.0846642550129792,-0.0445999361008872,-0.0329766418949037,-0.012033731069358,-0.00318876075431141,-0.000853295380357376,-0.00042693304812591,0.000843146702222703,0.003175323305635,0.00649044885182426,0.00719168626286493,0.00775997922657423,0.008154628507566,0.0109328749396551,0.021574107085063
"miR101",-0.0783661451168773,0.176172909196099,0.0347491143802822,-0.127685062234849,0.00520063138883758,-0.021209495773434,0.0868651559121923,0.0212323673932725,-0.00515869151629388,-0.0372673259546879,-0.0149373751356351,-0.0433184362455439,-0.220662440209223,-0.0679033265518561,0.205539462498204
"SNAI1",-0.0723009112113648,0.0176967407915583,-0.0271844474417637,-0.2286344910232,-0.0906811346308359,-0.0588715325350854,0.172650228136066,0.059078905167449,0.0907686218014451,-0.0811144190136273,0.0831417374591427,0.00565967451285618,-0.218743330082445,-0.0118269378973739,0.271478453014867
"miR200b",-0.00847708741180606,0.164214810446806,0.103523956554159,-0.0384072551892846,0.00625920108127192,-0.0945548908963611,0.113242767736257,0.0946086434197434,-0.00628511932771742,-0.000573391760358635,-0.0309620034442423,-0.00708867641153974,-0.0401511436896522,-0.0234109939768078,-0.0450669069905999
"miR141",-0.00847708741180606,0.164214810446806,0.103523956554159,-0.0384072551892846,0.00625920108127192,-0.0945548908963611,0.113242767736257,0.0946086434197434,-0.00628511932771742,-0.000573391760358635,-0.0309620034442423,-0.00708867641153974,-0.0401511436896522,-0.0234109939768078,-0.0450669069905999
"ZEB1",-0.00315974142527322,0.0810841844405038,0.0771189518233664,0.0840309600185844,-0.0922025500758553,0.00218122123879748,0.00255838279858209,-0.00197391430937141,-0.00784456937194484,0.00144385372820878,-0.00449154651025748,-0.007403652925993,-0.00688520769486684,-0.0992044559028946,-0.0739497673354076
"FOXC2",0.00314819117427738,-0.0809583716546324,-0.0771343570398097,-0.0839226806048778,-0.00784456937194484,-0.00197391430937141,-0.00260240246567403,0.00237796589513551,0.00779224186583106,-0.00146642591580102,0.00442973154919168,0.00732436088239974,0.00685832436850326,0.0992306763085397,0.073840362272594
"GSC",0.0107326310407099,0.19804913447287,0.098531606674669,-0.0801809971996588,0.054603438223572,0.0137672247762379,0.0607019641157959,-0.0137829991397423,-0.054526296307013,0.0362073143057082,0.00826846741427117,-0.0120882016492624,-0.12276582861016,-0.00859051406804743,0.0936946712007937
"miR200a",0.0130174962121605,-0.200461832083273,-0.141339962218266,-0.0427502690988387,-0.00586980876526876,0.0845639318801644,-0.0200720534192492,-0.0842856132590958,0.00579760793588487,0.00265315108507634,0.0330225965211929,0.00928070367738953,0.0426228414251189,0.0579114278351153,0.0841575211256079
"miR200c",0.0141408456463888,-0.149116632192777,-0.0934523081033154,0.0423257326212489,0.000575377571463697,0.0946789497401705,-0.11526176560483,-0.0947494252708273,-0.000602221469567963,0.00739133499933764,-0.00265774447748594,0.0070903496388155,0.036646825794,0.0188059719314189,0.0396193315726913
"TGFbeta",0.0288181103582577,-0.231048609513811,-0.117692729910477,0.00724620117354173,-0.0131684588403569,-0.0937758830415257,-0.156004170789972,-0.00629187200783869,0.0131505741869584,0.00473047882439548,0.0938134071751187,0.0199031720240642,0.0921686711450518,0.049669197347782,0.00898453080347457
"SNAI2",0.0599676758226737,-0.190533704269408,-0.328229766636309,-0.279482363003286,-0.0973639635584205,-0.225178384793309,-0.0137993664292484,0.22525964596672,0.0972792282974995,-0.0186823137988538,0.279681448020472,0.0792319281841334,-0.00691295735396024,0.148634705692295,0.173523223052266
"miR34a",0.109758888495463,-0.235939499763098,-0.146178658009086,-0.137844018871054,0.048875222514047,0.0153732837854529,-0.12030991661096,-0.0154515524106554,-0.0488700324393571,0.113911076149426,0.0476431808663448,-0.0258981513565238,0.0741638114916745,0.15574359776894,0.0758340424044647
