"","miR200c","GSC","SNAI1","ZEB1","miR141","TWIST2","miR34a","SNAI2","miR101","TWIST1","miR200a","FOXC2","ZEB2","TGFbeta","miR200b"
"miR200b",0.0189214340104962,-0.0486253463324381,-0.0585325586685903,-0.192375690687151,-0.192454371078146,-0.0759426387773024,0.103158304006571,0.05737782831337,0.0580115663217078,0.103151648899133,-0.211080036610715,0.106497890597795,-0.231304782054173,0.0480699035908205,-0.0442733069843237
"miR200c",0.0726341362504615,0.150391435792266,0.204679571730776,-0.0862071780649067,-0.0867098069156176,0.0214212657013076,0.150381513321732,-0.169360794977768,-0.186005821680889,-0.179208336705514,-0.151504930303386,-0.229658033573349,-0.226541816027134,-0.15113799861702,-0.0125897146194363
"miR141",0.0726341362504615,0.150391435792266,0.204679571730776,-0.0862071780649067,-0.0867098069156176,0.0214212657013076,0.150381513321732,-0.169360794977768,-0.186005821680889,-0.179208336705514,-0.151504930303386,-0.229658033573349,-0.226541816027134,-0.15113799861702,-0.0125897146194363
"TWIST2",0.151465591390456,0.111568969859176,-0.161208330709602,0.0991711281230026,0.0992757904331372,-0.0547572225723062,-0.112921389344075,0.0957250097560844,0.124257768480681,0.0372670401256119,-0.0555989538142877,0.0719528528498311,-0.207562185793416,-0.111328458730585,-0.126595226165261
"TGFbeta",-0.0709800794937547,-0.0255419128963613,-0.176621784925366,-0.189688332753841,-0.18937927339248,-0.117200892894893,-0.0198112602859886,0.132510953954879,0.153802598711384,0.193740103265003,-0.129501460341821,0.229564394061407,-0.0524385553145666,-0.0735756582464405,-0.0546107393608328
"ZEB1",0.166712467341717,0.086887338165755,-0.125771523831588,0.0307466851781547,0.130727135620025,0.0896940444822492,-0.170570101088606,0.0962776780855946,0.110212745334908,-0.000300487967076326,0.152567509237681,0.0964278443515211,-0.0164367895996172,-0.0867772863390227,-0.180347350514138
"FOXC2",-0.166862369818291,-0.0871917605933855,0.125685688940293,-0.130727135620025,-0.130873439055486,-0.0898260925477451,0.170603675410965,-0.0962243229071781,-0.110112018919702,0.000458800888995198,-0.152576190848293,-0.0962689795408479,0.016470255711477,0.086887338165755,0.180470057824911
"GSC",0.00640884518908398,-0.00397570660808391,-0.216356588371545,0.0916422653959562,0.0919901410451521,0.0247659701302793,-0.121370643596967,0.065049550649842,0.188957145974864,0.0568332822486917,0.0856074461282329,0.0282476383288605,0.0760913815123243,0.00458838288659608,-0.0155960316676829
"SNAI1",0.106728803086591,0.0219435487731363,0.31717070348984,0.275063161242321,0.274612432285613,0.0740415876489603,0.0616279250529125,-0.193179934560791,-0.352150059091665,-0.366112395831059,0.196152478901592,-0.425025730666495,0.0882389637281049,-0.0225331531791108,-0.0232822051224353
"miR34a",0.114546923137098,0.0125562939009232,0.285954024959712,0.188563533338042,0.1881742777363,0.0327158541583179,0.0097393734526363,-0.159676267073956,-0.214222252217893,-0.165639150095552,0.186172824013521,-0.25129912701014,0.0906466732445157,-0.013075051067963,0.00390590314806368
"SNAI2",-0.086404584286296,-0.0589549196407636,-0.0117186768776939,-0.0495439836020477,-0.0494532197454881,-0.0208106084900842,0.0266686969607063,-0.0820863066665945,0.0149285987633972,0.0804795720933358,0.0365393189771182,0.0348693274553938,0.124129355280701,0.0591508018377236,0.0600111423729862
"miR101",-0.209062196470605,-0.121627715378127,-0.336272943014169,-0.278090714523908,-0.277500487537134,-0.089793723743097,0.0509975268705242,0.162720562919456,0.298093854233241,0.3289242778418,-0.0760083307083072,0.362687992309797,0.136948388229099,0.122637585361765,0.155946418042682
"TWIST1",-0.221348135980231,-0.1142901577829,-0.297409013230455,-0.268524054562368,-0.268064350608603,-0.154727791694152,0.070552170773876,0.147231771537723,0.204702701237228,0.289897761925323,-0.0737169262347847,0.426582183332995,0.153531019044321,0.115274009777339,0.116637179337743
"ZEB2",-0.319714799216841,-0.272713412853954,-0.16010994606753,-0.124945640775286,-0.124175724734456,-0.096341988961694,0.0459036515048555,0.143453032603297,0.150710136213762,0.1874441038654,0.199544522917125,0.208800802273421,0.210722663013413,0.273705446141618,0.278696292542486
"miR200a",-0.243231635096635,-0.245948212467898,-0.116823005218921,-0.248210357398957,-0.247834542825498,-0.112417518385112,0.12354987258024,0.105961847859439,0.110915714747097,0.179460042880201,-0.00826652648049854,0.192844540006325,0.238260193898977,0.246431985178339,0.1624928059923
