"","ZEB2","miR101","miR200c","ZEB1","miR200b","miR34a","TWIST1","TWIST2","GSC","TGFbeta","SNAI2","miR141","miR200a","FOXC2","SNAI1"
"TWIST2",-0.132296017027733,-0.00464481250512269,0.00748321669874165,-0.118879020915388,0.104716458919057,-0.0186318540657662,-0.160205836689592,-0.0857044662933048,0.0541714330342771,-0.0541154080890288,-0.0668383863691649,0.118837243942855,-0.00748321669874165,0.0924821969326273,0.0676178699798228
"SNAI1",-0.108800411051246,-0.11220457797492,-0.0114709470693535,-0.124994350221575,0.102448122884782,0.0829665394549436,-0.205976004466942,0.0171941548420842,0.0546215735964213,-0.0545561501081995,-0.064915045510856,0.124955398336428,0.0114709470693535,0.208734180901688,0.0894802287846271
"ZEB2",-0.0865616206711577,-0.0203552593400166,-0.012552971421906,-0.0100444909906537,-0.00963055297708243,-0.0078839152662296,-0.00405074579989773,-0.00391342078772658,-0.00120720879354765,0.00138481066090443,0.00736141103175998,0.00999024351266375,0.012552971421906,0.0292709723306143,0.0332141248869961
"TGFbeta",-0.0793065745543707,-0.0670286945361448,-0.0152539545561637,-0.111141422917442,-0.00556790971128849,0.0529994175017948,-0.0413484316310903,0.0604544176108507,-0.150365818336846,0.0502835443483319,0.0121230602356718,0.111070825601395,0.0152539545561637,0.126110670619167,0.122736156257458
"SNAI2",-0.012169977390179,-0.0508122793981227,-0.0305265275794031,-0.0736520974960655,0.0299164211247225,-0.00658152968591986,-0.124959649125316,-0.000553102667545993,0.0202541624271123,-0.02016947973061,-0.0945568266901855,0.073547266916349,0.0305265275794031,0.108262228620908,0.0951951492949663
"miR101",-0.00595846910993051,0.111470747760069,0.0592892392757241,0.111857532129289,-0.0607320067762854,-0.0241912111478868,0.200371052594118,0.0143995579460421,-0.036346201966196,0.0363532393876848,0.083148013884766,-0.11187014818851,-0.0592892392757241,-0.219495573852605,-0.205253625293868
"miR34a",-0.0046161842189511,0.0108492063951894,0.077901647860281,0.059319771941243,-0.0712239382777429,-0.0199007916679137,-0.0303889936531789,0.175461154707924,-0.0434055993170196,0.0433236902906449,0.0704399715138948,-0.0593240183659893,-0.077901647860281,-0.0776127923918548,-0.0849829121884227
"ZEB1",-0.00364810445400613,-0.0126813728234353,0.0021048880304852,-0.0996644293498356,-0.00549939017016912,0.000158129315716095,-0.00876677068926581,0.090722793838441,-0.00156308011040171,0.00175375129857753,0.0864278759710524,-0.000376674849309202,-0.0021048880304852,-0.06371680575322,-0.0577635394734812
"miR200b",-0.00175624462973666,0.0727754226799197,0.0161192883744005,0.0290217885416771,0.0114003761103088,0.0151803649042589,0.0199519069840664,0.0192297290983484,0.0998638716017845,-0.0998817891095787,-0.0125979571049153,-0.0291319410890705,-0.0161192883744005,-0.119852649358242,-0.132877857561953
"miR200c",0.00175624462973666,-0.0727754226799197,-0.0161192883744005,-0.0290217885416771,-0.0114003761103088,-0.0151803649042589,-0.0199519069840664,-0.0192297290983484,-0.0998638716017845,0.0998817891095787,0.0125979571049153,0.0291319410890705,0.0161192883744005,0.119852649358242,0.132877857561953
"miR200a",0.00175624462973666,-0.0727754226799197,-0.0161192883744005,-0.0290217885416771,-0.0114003761103088,-0.0151803649042589,-0.0199519069840664,-0.0192297290983484,-0.0998638716017845,0.0998817891095787,0.0125979571049153,0.0291319410890705,0.0161192883744005,0.119852649358242,0.132877857561953
"FOXC2",0.00365610078161863,0.0128366100045177,-0.00220154329530326,-0.000376674849309202,0.00559072869472903,-0.000223039672275399,0.00872196514532651,-0.0907439215289203,0.0018066180525061,-0.00156308011040171,-0.0863540410271831,0.000490941036129078,0.00220154329530326,0.0637060091156014,0.0577129791950469
"TWIST1",0.00436731742189986,-0.034157630177773,0.0162445050776488,0.0633259135849989,0.00357489461244702,0.0888694166917421,-0.0981059316557184,-0.0323473805428394,-0.00644061031031492,0.00634302716412734,-0.0646013488213708,-0.0633588421817999,-0.0162445050776488,0.0746317611466982,0.167041319108242
"GSC",0.0183863347933839,-0.108834604913871,0.000572348701120367,0.0394561448534373,-0.0506792237144077,0.0552602795972643,-0.2057112614661,0.0451038744449036,-0.0173146979645927,0.0171828242856957,0.0296614491700556,-0.0395121587291553,-0.000572348701120367,0.0234001135976391,0.083478019933472
"miR141",0.0193508669209623,0.0663621980382718,0.000437390333619284,0.018628962884542,-0.0280882369641285,0.00941745643471735,0.0183701883251411,0.0179388046332529,0.0958690879372174,-0.0960040664959331,-0.0105145829312303,-0.0187659593300397,-0.000437390333619284,-0.108191360908703,-0.121799972810613
