"","ZEB2","miR34a","TWIST2","ZEB1","miR141","FOXC2","miR200a","TGFbeta","miR101","TWIST1","SNAI1","miR200b","GSC","SNAI2","miR200c"
"SNAI1",-0.0872920812887625,0.0984516480480985,0.0700216712269038,-0.0887909217841929,-0.0887664995704893,-0.0556844503953808,0.000811789837597292,-0.0186905330311071,-0.10541709471457,-0.203276976254198,0.0673370020001939,-0.0781071788300914,0.0187210639922773,-0.0575357498731305,-0.000811789837597292
"ZEB2",-0.083844511281262,-0.0524220365001597,-0.0351793444711943,-0.0188384840029446,-0.0184736821555442,-0.0155514698488618,-0.0147815841280667,-0.0062978864517969,-0.0056090598120057,-0.00257932479005681,-0.00236790377508987,-0.0011632333367934,0.00539465409781101,0.0120968510987817,0.0147815841280667
"TWIST1",-0.0801059034795507,0.00078212899603117,0.0995796450018936,-0.119615850033797,-0.119588625603371,-0.164345290591305,-0.0210213203607032,-0.032650611945909,-0.0203559201183446,-0.184496426543649,0.167650033919213,-0.0989755348388158,0.0325543655551487,-0.0959177158192595,0.0210213203607032
"GSC",-0.0587033669789506,0.00635620003467704,-0.00609539059815898,-0.0908081945654635,-0.0907934540718535,-0.0671555483734007,-0.0120581628085358,-0.0150880622656857,-0.107234104238773,-0.19866688276198,0.0966039770059477,-0.0786894517042642,0.0149549266377083,0.0162459211064811,0.0120581628085358
"SNAI2",-0.0395389239624805,0.0274500889740903,-0.0546058883871719,-0.0420154985058089,-0.0418644486928628,-0.0814514794812684,-0.000827611959768388,-0.00479846806632169,-0.0803840614793518,-0.00866803194041174,0.131220355984422,-0.0265342556524562,0.004848935531914,-0.0609985432909328,0.000827611959768388
"ZEB1",-0.015114051817481,0.0105382080791167,0.0219606978567114,-0.0792270890081079,0.0205398201064977,0.104495861507697,0.0173852378302916,0.00795765359692935,0.0147702833829652,0.0168187564204567,-0.0926796844325294,0.00447089978820043,-0.00738564003240187,0.0676026670117224,-0.0173852378302916
"FOXC2",-0.0149988454678045,0.0108373925961314,0.0206164485499637,0.0205398201064977,0.0210470765433149,0.103982250032414,0.0177585470866248,0.00738564003240187,0.0138471554130172,0.0160182307020745,-0.0925973770025202,0.00500509176517205,-0.0084538860057234,0.0665361023845889,-0.0177585470866248
"miR200a",-0.00148914695348944,0.0893759836067508,0.0797156959251193,0.00493138616342498,0.00494897354494157,0.0306629976484178,0.00386002784908976,0.0914542925355978,0.0117327663211887,-0.00523449017465313,0.0500207579701589,0.00154216934168148,-0.0915128230610586,-0.0742921947905868,-0.00386002784908976
"miR141",0.00148914695348944,-0.0893759836067508,-0.0797156959251193,-0.00493138616342498,-0.00494897354494157,-0.0306629976484178,-0.00386002784908976,-0.0914542925355978,-0.0117327663211887,0.00523449017465313,-0.0500207579701589,-0.00154216934168148,0.0915128230610586,0.0742921947905868,0.00386002784908976
"miR34a",0.00176163160723199,-0.0477048472775811,-0.00686772394392776,0.0836145635661234,0.0836692952628532,0.127860994574776,0.0888698335833446,0.0514977716696278,0.0509399988105989,0.102926381416637,-0.195797565487744,0.0862824779731261,-0.0517726219581296,0.080264776651049,-0.0888698335833446
"TWIST2",0.00202514017399107,-0.0809493637411151,0.0320741560502429,0.00320559861713162,0.00325441171135408,0.126217105706962,0.00115352775945058,-0.00103506246593983,0.106151192273548,0.0727419963647489,-0.214538091799818,-0.00347437400031681,0.00112504192345991,-0.0360090082822446,-0.00115352775945058
"miR200b",0.00420109416861842,0.00369391219982057,0.0528389252123344,0.00367470748755021,0.00357381145674452,-0.00641450401999173,-0.000495845364875074,0.0861234420213511,0.00281738932381971,-0.0178685183508595,0.111252796814205,-0.0622375261610159,-0.0860362434834197,-0.11779045830607,0.000495845364875074
"TGFbeta",0.0044854096222282,0.0908737074537047,0.123824018714194,0.0109660321843249,0.0110077630422548,0.0335208858907835,0.00420978146426108,-0.0966566908729052,0.0175871881916166,-0.00928409817787547,0.0521574060737186,-0.0916091759336021,-0.00342558311560871,-0.0900208576854721,-0.00420978146426108
"miR200c",0.0106875072898439,-0.115960487406105,-0.0930088126682425,-0.0308500741680864,-0.0311888626751954,-0.0370177878159055,-0.0213960570285515,-0.102897542562456,-0.0137299558046087,0.00424188385127501,-0.0496297073334639,0.0231265659476264,0.103732498425662,0.0792063361117599,0.0213960570285515
"miR101",0.0884822071664446,-0.0372392505730646,-0.0317436619424618,0.0935726386159403,0.0936554954373071,0.0883779731820193,0.00154038275674229,0.0190789667035948,0.11419277770271,0.216858392344751,-0.200844129866148,0.10840286183612,-0.019071929282106,0.0739683327598526,-0.00154038275674229
