"","ZEB2","SNAI1","FOXC2","SNAI2","miR141","miR200a","miR200b","TWIST2","GSC","TGFbeta","miR101","TWIST1","miR200c","ZEB1","miR34a"
"SNAI1",-0.102832057965798,0.224856039214211,0.329977038296139,0.190091968274508,0.0873362235125425,0.0942157833512878,0.0493749060292204,-0.00885160535914455,0.00742018282281457,-0.00742613041265291,-0.113384613478285,-0.279013568017588,-0.0942157833512878,-0.087360027442355,-0.233001964684904
"ZEB2",-0.083673772824362,-0.0508413554397328,-0.0408110942259767,-0.0360720750604582,-0.0218934593840781,-0.0160000653714887,-0.015049746521995,-0.00124783288076606,-0.000731338088542671,0.0007770071401487,0.0073103737209564,0.0156985985986455,0.0160000653714887,0.0218840034016762,0.0398352669355057
"TGFbeta",-0.0264723897083792,0.277487994634967,0.228789526672963,0.151491819657981,-0.012802019080355,0.00435337517353738,0.0978751980656663,-0.0735743243141269,0.00105041027430523,-0.101077834937143,-0.0611784582603985,-0.0968041330400831,-0.00435337517353738,0.0127835068952583,-0.168769258143264
"GSC",-0.012524957023425,-0.0909931102139771,-0.124644010999216,-0.00246255994671588,0.143861670300432,0.0879754724837651,0.0484245305617241,0.0159627414756592,-0.00465755155829853,0.00467332592180296,0.0942128386034458,-0.0087609535272107,-0.0879754724837651,-0.143846929806822,-0.0318335694146158
"SNAI2",-0.0111155513282396,0.079570778210479,0.0434009272442957,-0.0712337928746509,0.0344775264167671,0.0228452184342235,0.0153941550516053,0.00362489010037366,0.000769848650186353,-0.00084426677741569,-0.0255039365047591,0.00317487264658714,-0.0228452184342235,-0.0344792010266667,-0.0498652978012617
"miR101",-0.00927542333025356,0.300395332304586,0.305204786673429,0.185042426431534,0.166288987132809,0.0854603757744119,0.115767459153123,0.0205867208105839,0.0111856954018232,-0.0112208825092671,-0.105759989680648,-0.272831222110242,-0.0854603757744119,-0.166324107513882,-0.202876076274985
"TWIST2",-0.00671751886124841,-0.110464273615998,-0.051411270568328,0.03438681984626,-0.106394807215095,-0.0487022380920768,-0.0188075367253781,-0.099318543373927,0.00553806525872733,-0.00550580847206919,0.0678133685302138,0.0414072275924551,0.0487022380920768,0.106452855219035,0.103900021550592
"miR141",-0.00101012288025079,0.164014139177174,0.14259726379679,0.0831015728442806,-0.167824149886193,-0.0829289181138874,-0.0521998617276557,-0.0718647201854092,-0.0893142421186539,0.0893656056409971,-0.039729338485689,-0.00286110131668341,0.0829289181138874,0.167927822871975,0.0584296009206173
"miR200a",0.00101012288025079,-0.164014139177174,-0.14259726379679,-0.0831015728442806,0.167824149886193,0.0829289181138874,0.0521998617276557,0.0718647201854092,0.0893142421186539,-0.0893656056409971,0.039729338485689,0.00286110131668341,-0.0829289181138874,-0.167927822871975,-0.0584296009206173
"miR200c",0.00595399667685335,-0.146195216497586,-0.126138207950662,-0.0714120543973135,0.180759413965245,0.0866149248535005,0.032200848857282,0.072115012047841,0.0877620790817322,-0.0877680515843303,0.0370662157996526,-0.00357546543355902,-0.0866149248535005,-0.180825135233017,-0.0747255318847892
"TWIST1",0.00837838994464099,-0.292088373689573,-0.38253685837584,-0.162904510806025,-0.111511066063354,-0.0516062351681447,-0.0843594690238704,0.0660783637259792,-0.0177283125155314,0.0177443535806581,0.0467895191043651,0.175628054696513,0.0516062351681447,0.111546587463053,0.159747843599048
"FOXC2",0.0160836720860922,-0.124565109468255,-0.131059903222905,-0.123651106091351,-0.136015803058597,-0.169412734487224,-0.179221042364107,-0.076273156542235,-0.00299553062455874,0.00301767043747732,-0.00109268539746632,0.107405850453527,0.169412734487224,0.136142884144873,0.173944221798144
"ZEB1",0.0161106226717492,-0.124601559901545,-0.131141649193445,-0.123608529736857,-0.136142884144873,-0.169470033117266,-0.179270863377503,-0.0762229782773466,-0.00301767043747732,0.00306117929920872,-0.00101802934854883,0.107325200474437,0.169470033117266,0.0362371230404733,0.174056882302057
"miR200b",0.0173868484149498,-0.233073921614323,-0.193220726837087,-0.157894020799932,-0.158268745936527,-0.0862264407507538,-0.117147947526255,-0.00674574634169152,0.0849047878029517,-0.0848916482972361,0.0365830693964548,0.0827556747255697,0.0862264407507538,0.158313177216148,0.20213673039403
"miR34a",0.0776381987658035,-0.147522410715194,-0.180334970177188,-0.139777268868623,0.114161057272166,0.078960801106639,0.00831483441768491,0.0186255108716486,-0.018161669570609,0.0181234453583008,-0.000839252271380335,0.0918763410764469,-0.078960801106639,-0.114208711594319,0.0083129143214336
