"","miR200b","ZEB2","miR200c","miR200a","miR141","TWIST1","SNAI2","miR101","GSC","TGFbeta","SNAI1","FOXC2","ZEB1","TWIST2","miR34a"
"miR101",0.119300586179712,-0.152424347174257,0.152481422604164,0.152481422604164,0.148850513760087,0.0463990965981224,-0.1313914043144,0.00729284706726644,0.0298334817265539,-0.0287813872139833,-0.0450866366012338,-0.0546813645751878,-0.145362684847489,-0.021690367282191,-0.114268623453517
"GSC",0.127033817060952,-0.112176966184971,0.129209922843003,0.129209922843003,0.139157219519334,0.161845504510931,0.0137406619289406,0.0849757412937956,0.015603360240217,-0.0147559614327588,-0.0596505276149974,-0.0603021793053634,-0.136294615660273,-0.0593377436801314,-0.110556172478498
"TWIST2",-0.0166232310570855,-0.0859370847265966,0.0516480011693227,0.0516480011693227,0.0128665344423605,-0.214047625426179,-0.18770191750157,-0.135150380678118,0.0318389742944733,-0.0303489371142824,0.0564724296526501,-0.067849367911391,-0.0083163624971367,0.166587825876337,0.0246327409373108
"SNAI2",0.293620391096142,-0.0719746607020738,0.0843373388108389,0.0843373388108389,0.0972530889083968,0.246093713297273,0.217159280396466,0.325180556840838,-0.201490324275001,0.201217457808493,-0.133562437977007,-0.00122799048979073,-0.0979433631090218,-0.356367390638743,-0.111202496085115
"miR200c",0.135384798933405,-0.0611869728551048,0.0650695537691823,0.0650695537691823,0.0605744887549313,0.113503843564705,0.150946452776202,0.0752431555732181,0.0963627412834406,-0.0943571749110192,0.00116903651691102,-0.0460518570066915,-0.0539440459231777,-0.116138611946976,-0.0712836384917375
"miR200a",0.135384798933405,-0.0611869728551048,0.0650695537691823,0.0650695537691823,0.0605744887549313,0.113503843564705,0.150946452776202,0.0752431555732181,0.0963627412834406,-0.0943571749110192,0.00116903651691102,-0.0460518570066915,-0.0539440459231777,-0.116138611946976,-0.0712836384917375
"FOXC2",0.0443333105479293,-0.0484086661132404,0.0507632335630034,0.0507632335630034,0.0456930096489838,0.092609481737307,-0.109490951081652,-0.00922369981042612,0.0108381730907754,-0.00808730133564173,-0.0898257038338208,-0.087715347756556,-0.0370205264418416,-0.0176711155358111,-0.0584680270484022
"ZEB2",-0.0644161556126645,-0.0426497277780925,-0.0418732902505809,-0.0418732902505809,-0.0398698110810316,-0.0376628029209513,-0.0216053897838899,-0.0150232386041883,-0.00537485819329176,0.00879749989421022,0.00989330515470491,0.0136193043658935,0.0507854985558364,0.0508013993007609,0.0644837868502851
"miR200b",0.0298655207286647,-0.040800713065412,0.0464208699236498,0.0464208699236498,0.0427259651025949,-0.0226304136200945,-0.217793624979372,-0.0772431318387518,-0.0729248287250885,0.0752075192180588,-0.0632502178500517,0.00987635266590084,-0.0355808599485665,0.0610313759168579,-0.131865615732781
"miR34a",0.0165300484177035,0.00541593606662366,-0.0969899282003697,-0.0969899282003697,-0.0902216840053732,-0.0648797899323699,0.152716640307964,0.0361066353805818,-0.0275085331837321,0.0267543634075561,0.0872963681132412,0.0529126824869325,0.0879111571184272,0.00404661892847583,0.0917556849217295
"miR141",-0.0497195326501847,0.00681071044047182,-0.0122166456762687,-0.0122166456762687,-0.0167240911750341,-0.0965971083370924,-0.143025163058559,-0.0695847615262516,-0.0845520877096622,0.0844601111696524,-0.00411466463219961,0.0392943653290701,0.0163519792082094,0.098898047925844,0.0321265350954242
"TGFbeta",-0.163721030284397,0.0267147691832215,-0.0260300425244357,-0.0260300425244357,-0.0254393450457396,-0.124087743578171,-0.243331823254252,-0.125369179325323,0.013045973131073,-0.113089529948521,0.00844175044546867,0.0171694241348225,0.0252363385413736,0.183946538529684,-0.0323456654367981
"ZEB1",-0.0369109021632373,0.0567500204542098,-0.040958222537358,-0.040958222537358,-0.0370205264418416,-0.0895925751120605,0.110885191956031,0.00959698005501356,-0.00808730133564173,0.0101578112850947,0.0920762241343605,0.0853663078861157,-0.0564514249549492,0.0229055008520662,0.0515390330097096
"TWIST1",0.0643554959328978,0.0829985017907708,-0.00403327188554736,-0.00403327188554736,0.0811805735234359,0.0363964890126777,0.218606293150657,0.123666158616745,-0.0339458371946243,0.0342171985463514,-0.0292867604752851,0.115776526203605,-0.0802909828492294,-0.169011360928396,-0.0191216180983263
"SNAI1",-0.0343849224660164,0.0834551405737254,-0.105432075734431,-0.105432075734431,-0.11707868945433,-0.021233872479429,0.121729449564023,-0.0029758031231339,-0.0258800769086761,0.0251929320293526,-0.0727413344534816,0.039809566968375,0.114913150125292,-0.00241335285269272,0.125932174930993
