"","SNAI2","miR101","miR141","SNAI1","TWIST1","FOXC2","TWIST2","ZEB1","miR34a","GSC","TGFbeta","miR200c","ZEB2","miR200a","miR200b"
"miR101",0.208856757796569,0.309466285553707,-0.207503789570276,0.310458043978016,-0.23617340192831,-0.15264450378759,-0.100382245871572,0.20747617062982,0.00859590913490798,-0.0149387994719921,-0.0149634304472028,-0.20549989921516,-0.203058623049231,0.00276094276180784,-0.0371722077641142
"miR141",0.177222153689316,0.204521886822911,-0.172334173732094,0.231428795096571,-0.0325983723360345,-0.0699770909557203,-0.122920961786413,0.172547073613611,0.0470894414997971,-0.109274819407201,-0.109261679901486,-0.183219741568207,-0.196209489662368,-0.0122650145407562,-0.0565792178098749
"SNAI1",0.277224437457456,0.351617630793794,-0.182086067419163,0.225729823077744,-0.244949765644602,-0.155705797769633,-0.114796698752188,0.181999816816336,-0.0912705339454693,0.00845755192392359,0.00842226289088274,-0.176281379975883,-0.167171620405254,0.0211354653492781,-0.0630500062670787
"TWIST1",-0.240861045149591,-0.248261891351506,0.212317319429108,-0.256465590512957,0.113795496757764,0.044620855226433,0.191699562591602,-0.212274019620716,-0.0433330860217775,-0.042520061944217,-0.0425641748733155,0.0465552860773306,-0.145480774703046,-0.187302948745775,-0.062908541969576
"miR200c",-0.22395694210701,-0.182173882486325,-0.14737202194299,-0.140223557656021,0.0185116127969134,0.0264424530957291,0.0455485179108469,0.147434966255787,0.171668528998651,0.061425907388169,0.0615107169250611,-0.146451910434367,-0.145063238588063,-0.00251096550576449,0.0494071302564379
"TWIST2",0.281083166053236,0.281174738322306,-0.212545398543519,0.281340460311006,-0.248231990196973,-0.0780119978806711,-0.2115507414708,0.212487790297184,0.0056869573358791,0.0126761229935412,0.0126506571093374,-0.177182316224487,-0.141297546606071,0.0367107296439001,-0.0577121109568487
"SNAI2",0.0248221290053204,0.126583440837541,0.0780171180726655,-0.0709395178824931,0.15054372612745,-0.0134378756526898,-0.145624620230063,-0.0779725734493355,-0.0238015644529338,0.181538771727066,0.181500279592292,-0.00730641398733521,-0.0960943331663721,-0.0862272904822686,-0.246447221147273
"miR34a",-0.0887815440676432,0.00687381694245758,0.10019354408491,0.106993375698559,-0.047716468936272,-0.0882219975923837,0.0305414231337377,-0.100306310253172,-0.0994833644609328,-0.0256815734863207,-0.0257379997044899,0.0843548184414389,-0.0388163726634844,-0.11855997050107,-0.00907349636079465
"GSC",-0.0558634386300666,-0.135466763248782,-0.0695417463254357,-0.111721652064875,0.0179571089775128,-0.0284482607073015,-0.0109757644869862,0.0696940647594056,0.0804195462242135,-0.00954816567685944,-0.00948696114646224,-0.0516082924081474,-0.0280812577812847,0.0133496775689295,0.0204013746591809
"TGFbeta",-0.283961084531106,-0.266237524835576,0.0329905159583498,-0.247830663256823,0.0488301130520825,0.0734896577340138,0.171344495530208,-0.0329368619981541,0.144936142335525,-0.0110686329118636,-0.110981519276967,0.05100540042329,0.0737581844863424,0.0138331401627981,0.164147255010802
"ZEB1",-0.116791551825065,-0.00800090816059745,-0.149500749743996,0.102601292102399,-0.0131603096599519,-0.099534561163765,-0.0669812460026408,0.0497975020109931,0.145369467125178,0.016503115831588,0.0166042099514933,-0.0900768919141205,0.190709109498226,0.249524833983494,0.255049904439781
"FOXC2",-0.116866464651326,-0.00777219994724705,-0.149162222816689,0.102789423370992,-0.0130438152457097,-0.099832239886677,-0.0671898819461242,0.149500749743996,0.144994180810818,0.0162540429362539,0.016503115831588,-0.0899443526587712,0.19074316793065,0.249290430496959,0.254859846499788
"miR200a",-0.177222153689316,-0.204521886822911,0.172334173732094,-0.231428795096571,0.0325983723360345,0.0699770909557203,0.122920961786413,-0.172547073613611,-0.0470894414997971,0.109274819407201,0.109261679901486,0.183219741568207,0.196209489662368,0.0122650145407562,0.0565792178098749
"ZEB2",-0.0943622385572525,-0.0791893268340185,-0.0665626065264008,-0.0642820176862548,0.00626796362337805,0.0092797521061329,0.0169560015637214,0.0664884517170383,0.075122827388803,0.0831784360962592,0.0833103689120099,0.25021706498578,0.252928974303609,0.309364190901763,0.313703176848735
"miR200b",0.143423724987772,0.175825826305586,-0.203083844173307,0.207795383294179,-0.0300626008856187,-0.0660399260472963,-0.116044065537273,0.20331433143634,0.0770339628012964,-0.047067867183741,-0.0469376666271037,0.0422165380948563,0.293818188510732,0.245838347751019,0.165064845841086
