"","miR200b","miR141","ZEB1","TGFbeta","TWIST1","miR200a","miR101","FOXC2","SNAI2","SNAI1","TWIST2","miR200c","ZEB2","GSC","miR34a"
"TWIST2",0.0653652232741188,-0.100701869126517,-0.100875573380732,0.111524214877945,0.104012178134524,0.152562807634873,0.111000462267227,-0.111203077562232,-0.0591043052772068,-0.189165761889602,-0.0890352583289375,-0.152562807634873,-0.215471357153134,-0.112015989397347,-0.0405248388984999
"FOXC2",-0.11133625072256,-0.166292354098666,-0.166575349794995,0.15913727691139,-0.051007352383583,0.265484878376452,-0.0505307999103342,0.0422672718163866,0.0461865691233159,0.0567313745022075,0.162536296575797,-0.265484878376452,-0.199330192546329,-0.160094823820118,0.177635821044337
"GSC",0.123877895391159,0.113088650572075,0.113012982704877,0.0302885800612951,0.144923718428403,0.0191731961881587,0.15389055495909,-0.024865506586255,0.0172825916114057,-0.228429742701867,-0.0631678460294383,-0.0191731961881587,-0.161296278177536,-0.0304557883144421,-0.149491277809709
"miR200a",0.183184293917867,0.213943333974392,0.213955367445956,0.116644153618646,0.152863342457994,-0.0286111633679331,0.0873590464933976,-0.0603922786170566,-0.0625826781311013,-0.111374920503905,-0.121916153722113,0.0286111633679331,-0.154691603125479,-0.116463784040185,-0.209740683247479
"TWIST1",0.00297568219638141,-0.107984564632755,-0.10800193641217,0.0729795815824816,-0.168899082141672,0.118838014631456,-0.050792875202983,0.150773206763752,0.00231644787767929,0.165556086095835,0.108517654025265,-0.118838014631456,-0.128825020842362,-0.0730597869081152,0.12189819214319
"miR101",0.0424506914133979,-0.0576637044450935,-0.0576701829619905,0.0668243637211193,-0.192810237554946,0.076789376133006,-0.0936356583707645,0.0728341661034852,-0.104733030396184,0.191863426365107,0.030143559889892,-0.076789376133006,-0.101256525237967,-0.0668525134070744,0.0987659515088076
"SNAI2",0.00944384854380345,-0.0306629130597913,-0.0307074576831213,0.0342394472676178,-0.00574133345087032,0.0526668257850638,0.0348715188129752,-0.0698965012585347,-0.0712292940982883,-0.100939896140515,0.00636851073157193,-0.0526668257850638,-0.0783105203154381,-0.0344182218491228,-0.02371842950848
"TGFbeta",0.0500457007448699,-0.0994261701986251,-0.0994992776414648,0.126750420055767,0.0849319279637379,0.066907488049301,0.0312698696779701,-0.02221217317882,-0.0156396241136285,-0.0450282134935288,-0.0504145203919417,-0.066907488049301,-0.0388283662558612,-0.226960138065705,-0.0306089258405458
"miR34a",-0.0646159488152881,-0.126775905180434,-0.126786757154786,0.0526075919644611,-0.0997766093728982,0.131855642458875,-0.0312686386407024,0.0168520042916833,0.0179186921942512,0.0618130536098377,0.191493920505041,-0.131855642458875,-0.0344927293889567,-0.0526725124520321,0.102846835902389
"ZEB2",-0.32528537005637,-0.202566910270818,-0.202362362440966,-0.179345645909775,-0.160210991853279,-0.137968517079463,-0.105411392634647,0.0848399078060733,0.0859060263520406,0.124708674633622,0.137539599813097,0.137968517079463,0.14327511066071,0.179634883236613,0.206188815603662
"miR200c",-0.183184293917867,-0.213943333974392,-0.213955367445956,-0.116644153618646,-0.152863342457994,0.0286111633679331,-0.0873590464933976,0.0603922786170566,0.0625826781311013,0.111374920503905,0.121916153722113,-0.0286111633679331,0.154691603125479,0.116463784040185,0.209740683247479
"miR141",-0.183184293917867,-0.213943333974392,-0.213955367445956,-0.116644153618646,-0.152863342457994,0.0286111633679331,-0.0873590464933976,0.0603922786170566,0.0625826781311013,0.111374920503905,0.121916153722113,-0.0286111633679331,0.154691603125479,0.116463784040185,0.209740683247479
"ZEB1",0.111638867248374,0.166575349794995,0.0667723491884578,-0.158698349276864,0.051440472641663,-0.265377805178899,0.0507121074577052,-0.0424754926847447,-0.0462776501854612,-0.0569195057708001,-0.162631371182954,0.265377805178899,0.199021889692825,0.15913727691139,-0.177991708861334
"SNAI1",-0.0223422570418531,0.104721072147604,0.104865441436206,-0.109818167452297,-0.216529878249737,-0.179350519057022,-0.106012748170982,0.092335748197719,-0.0936519261773007,0.105260037796558,0.00447450178623152,0.179350519057022,0.279195728871204,0.110161145132975,0.101791605714878
"miR200b",-0.0466970840992379,0.120482542901952,0.120652862807165,-0.0349255844609147,0.0884926154731585,-0.197526630981813,0.0543587961169873,-0.0279667133151166,-0.0370663272622931,-0.0701441435089003,-0.0725907469368909,0.197526630981813,0.284402151987965,0.0354284691796695,-0.127993970056181
