"","ZEB2","miR200b","miR34a","SNAI1","TGFbeta","miR101","GSC","SNAI2","TWIST2","miR200c","miR200a","TWIST1","FOXC2","ZEB1","miR141"
"ZEB2",-0.0800712691000768,-0.0405903138621482,-0.031538717279699,-0.0235008656564607,-0.0128430206346585,-0.00175712906532084,0.0128734666690625,0.0267433771280864,0.0289022811679147,0.031657818119184,0.031657818119184,0.0361071677592654,0.0370594787534235,0.0438335267267264,0.0438439780756969
"TGFbeta",-0.0502877076849526,0.0798769979372233,-0.109380458667086,0.00254488440832178,-0.124383835902193,0.0525652172178673,0.0241692782458724,-0.108646037593907,-0.0700555573795946,0.0356977726338205,0.0356977726338205,-0.0557012118664391,-0.0837700796187441,0.113331519922372,0.113317400459163
"miR101",-0.0304884729445564,0.106564663232099,0.0524711403260812,0.0136920123862757,0.0365530046302775,-0.00869596340173097,-0.0364544807294348,-0.0927372192986445,-0.0490903194963625,-0.0822800785366404,-0.0822800785366404,-0.0322936559754174,-0.102159816285161,-0.134453500003703,-0.134310631657396
"FOXC2",-0.00863310770329176,0.271979226249847,0.269035276500065,0.141081396096992,0.137489975484829,-0.0854309492419585,-0.136892200536027,0.03649012692909,-0.165018885065658,-0.277835325901972,-0.277835325901972,-0.166921634001206,-0.180266632570345,-0.328536112528207,-0.328157005085954
"miR34a",-0.00490124118852248,0.0246277592228203,-0.0103139289291779,0.0769443771482435,0.038539841164888,-0.0349447776820094,-0.038366922109208,0.012536988570142,-0.0486003041518544,-0.0834327224353251,-0.0834327224353251,-0.0729540087977943,-0.125218468030816,-0.0689959231365812,-0.0689138255914865
"miR200b",0.00379549749421044,0.111912356253624,0.243394237988489,0.0189740568145184,-0.0057526904398495,-0.0616448113462197,0.00587811299440831,0.105690304001426,-0.0539735721971638,-0.14962632378105,-0.14962632378105,-0.00043849482384375,0.0317259378770737,-0.296770475296048,-0.296555724111214
"miR200a",0.00379549749421044,0.111912356253624,0.243394237988489,0.0189740568145184,-0.0057526904398495,-0.0616448113462197,0.00587811299440831,0.105690304001426,-0.0539735721971638,-0.14962632378105,-0.14962632378105,-0.00043849482384375,0.0317259378770737,-0.296770475296048,-0.296555724111214
"ZEB1",0.00849065460767642,-0.27243222842721,-0.269216577840799,-0.141096681762566,-0.137552679432618,0.0854131739922163,0.137489975484829,-0.0363009585692497,0.16529354504189,0.278330177706879,0.278330177706879,0.167226311699993,0.18074631175597,0.228629850153086,0.328536112528207
"miR141",0.0109186392080662,-0.116344218860397,-0.121758520085711,-0.0794056592747256,-0.147171567961237,-0.00731503276541912,0.146780966291325,0.0930803092140442,0.104507907282662,0.119240935393108,0.119240935393108,0.138200286766909,0.141941814755807,0.22759504461381,0.227481189459781
"miR200c",0.0354440404526873,-0.173907115847491,-0.136198953033128,-0.087332534829918,-0.159792710042855,-0.0080838760252583,0.159347161349041,0.102255007179979,0.115675007966748,0.14311510240636,0.14311510240636,0.152882908383815,0.157034267009081,0.250550334846096,0.250344840177849
"SNAI2",0.0485329097460464,-0.057503760423809,-0.0147652771680786,-0.0390328405882471,-0.00991738418836883,-0.0211272997810052,0.00956582269076817,-0.0119298402647377,0.0983863636026908,0.0440557651201045,0.0440557651201045,0.104951020977979,0.0626471790400523,0.04014318674791,0.0400698388343065
"SNAI1",0.0508221122042447,-0.0431392962403782,-0.116269582963604,-0.119251079540467,-0.0566322947986151,-0.00110628996439021,0.0565573551666519,-0.0774070347898452,0.0194168014576988,0.106312321896943,0.106312321896943,0.0241257847914384,-0.043574413751195,0.144056091925712,0.144018994892238
"TWIST2",0.099591412290927,-0.0266853981643505,0.0917954253668631,-0.00284663203117521,0.0419089499592559,-0.0577016813686972,-0.0417227660502993,0.131317354379666,0.0817846759010428,-0.0269463328310562,-0.0269463328310562,0.155133487005181,0.0510697415248023,-0.148436029987291,-0.148416680652644
"TWIST1",0.109282808381391,-0.119376170644814,-0.121935100504448,-0.0525814075964283,-0.057655546783169,0.00710121952899898,0.057479095066775,0.0386716328307014,0.131512464195301,0.150787241503428,0.150787241503428,0.051178705848675,0.0868952746650301,0.181936328494725,0.181841691188958
"GSC",0.131609738086822,-0.00498898598769275,0.0109249183275799,0.0785421996637462,0.0128332805212033,-0.0849205247038669,-0.0128124583613775,-0.00975540563605198,-0.00993425555914938,0.00873046227837379,0.00873046227837379,0.00852162544047167,0.0837918778279814,-0.108575762121062,-0.108548737882777
