"","miR141","miR200b","ZEB2","TWIST2","GSC","SNAI2","FOXC2","TWIST1","miR101","SNAI1","TGFbeta","miR200c","miR200a","miR34a","ZEB1"
"GSC",0.236489065828102,0.178339141633784,-0.0870618324413725,0.155783493859601,0.0630162201605713,-0.0880407513235382,-0.0914389263204156,-0.386833447745207,0.124555159567068,0.239041706765141,-0.0630559715566025,-0.0828889814129784,-0.0828889814129784,-0.2399755460141,-0.23637310727837
"ZEB2",-0.117270645477612,-0.0771294007279618,-0.0729577550864356,-0.05155802297983,-0.0248744994485491,-0.00446761018141526,-0.000607122307464736,0.00011461817990754,0.00215738588079249,0.00916625081312995,0.0244101974238878,0.0353661163698544,0.0353661163698544,0.114397171843964,0.117590655829425
"miR200b",0.205562715368225,0.0825396888636767,-0.0404799249913332,-0.0306856707598009,0.13306244258308,0.146693045222311,-0.130927473200933,0.0343839680493865,-0.00356745145959733,-0.155274894888987,-0.133197421141796,-0.0823438403964643,-0.0823438403964643,-0.0933798659000008,-0.205331302453533
"miR101",0.28893402407474,0.167588367778314,-0.0260567107344658,0.151191966285684,0.0825543288630285,-0.0737912417033732,0.0689232421173574,-0.270297255313776,0.120216456843998,0.214031952868846,-0.0826334998547771,-0.137214044320234,-0.137214044320234,-0.268610753497074,-0.288719551067992
"miR200c",0.238134935623242,0.147848153763326,-0.00839220154320176,0.117526725616995,-0.0283536385815709,-0.0521903108778845,0.0552582326829012,-0.0178149903813108,-0.00309454403511615,0.0446224160530216,0.0284145581080709,-0.115729444391747,-0.115729444391747,-0.214163096365538,-0.23803866785073
"miR200a",0.238134935623242,0.147848153763326,-0.00839220154320176,0.117526725616995,-0.0283536385815709,-0.0521903108778845,0.0552582326829012,-0.0178149903813108,-0.00309454403511615,0.0446224160530216,0.0284145581080709,-0.115729444391747,-0.115729444391747,-0.214163096365538,-0.23803866785073
"SNAI2",-0.042967344811784,-0.027011378052195,-0.00811956031895066,-0.0918335946897452,-0.0170214631487114,-0.0321611318441631,0.0424489252423821,0.0950553272540301,0.0332360300220486,0.00166909341733889,0.0171660224993063,0.0249947583964777,0.0249947583964777,0.0249141739551371,0.0428491173528706
"FOXC2",0.17703417717718,0.17639214757341,-0.00649709692961068,0.0639460726171492,0.0873502083421224,0.129584137743865,-0.140108562206561,0.0187708338606656,-0.00708406741918913,-0.148647317958123,-0.0873889530147299,-0.184286891923708,-0.184286891923708,-0.153450442901879,-0.17707796141699
"miR141",-0.142393009687795,0.00138696189446974,-0.002635049043777,0.0493501059167756,-0.12460030703843,-0.143880806488287,0.130114650122043,-0.0343846565034644,0.00268058135367435,0.149794317732743,0.124694672579478,0.0709837042371684,0.0709837042371684,0.04481972426063,0.142527229178316
"miR34a",-0.0978049506227639,-0.00457782012001652,-0.000162059081197957,0.000853771537617246,-0.0221828699878583,-0.0885093444399283,0.106056105239288,-0.0444592731352419,0.0188953241771695,0.122285600349045,0.0222477904754294,0.100224677941145,0.100224677941145,-0.0112378491323668,0.0978030633228766
"ZEB1",-0.17707796141699,-0.176351552673606,0.00655840210797321,-0.064080761643955,-0.0873889530147299,-0.129621324686398,0.139989799192756,-0.0187708338606656,0.00710421270223036,0.148689647493557,0.0874209448248265,0.184409013246322,0.184409013246322,0.153498939145285,0.0771421240693135
"TWIST1",-0.20519422437594,-0.126938986699262,0.0197341875425705,-0.197487568898408,-0.0640273171571832,0.107138429119856,0.031438864360476,0.249354851699709,-0.0377312391268618,-0.21584042319869,0.0640700933308545,0.091016097576719,0.091016097576719,0.206107540520144,0.205079363207571
"SNAI1",0.259357766454986,0.110856276144882,0.0716524338404646,0.192358713558242,0.095460999030295,-0.107918991915042,0.0865237652282185,-0.320067772715773,0.130203384461704,0.171601617058063,-0.0953265834999484,-0.182610663986719,-0.182610663986719,-0.328064295965169,-0.259500899175806
"TWIST2",0.25580213455736,0.106529025778968,0.0855241559059924,0.21796302712534,0.0934534111972288,-0.136276458558951,-0.003766115639074,-0.365972847822402,0.0305081936630852,0.225753677483414,-0.0933985180690561,-0.172390609074296,-0.172390609074296,-0.246411973280351,-0.255927025717352
"TGFbeta",0.0405229814459958,0.085374560898274,0.0931404267451743,0.142883960808688,0.023346571060042,-0.0979723740107054,0.0801566787569317,-0.0506002944504884,0.000771400071499155,0.0996223201226145,-0.123378835369263,-0.0698371020145468,-0.0698371020145468,-0.125123609159382,-0.0404605420420254
