"","ZEB2","ZEB1","VIM","TWIST2","TWIST1","TGFbeta","TCF3","SNAI2","SNAI1","miR9","miR34a","miR30c","miR205","miR200c","miR200b","miR200a","miR141","miR101","KLF8","GSC","FOXC2","CDH1"
"ZEB2",0.0603633949674307,0.0667141312827468,-0.185218269834667,0.0566613608566938,0.0266339821872597,0.0980114924442023,0.0249210850796257,0.0313040061701816,0.12403541292148,0,-0.0925180038067625,0,0,-0.150061598683759,-0.218411279193441,-0.211746877234455,-0.0649279459753527,0.0753955383678509,-0.0733464640977307,-0.0960527975642104,0.0900077797336162,0.187291553580771
"ZEB1",-0.116142999557739,0.00307829145256316,0.0349460307612651,0.172594424288442,0.0641922653416382,0.0553111988098251,0.0617279604249765,0.0934547534245556,0.309502970182504,0,-0.168544779065118,0,0,0.105139303997569,-0.0221888320875655,-0.00741900953428471,-0.0965763089268605,0.19440705116541,-0.190952727632165,-0.0477112244032732,0.239681681310194,-0.0222075685033641
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TWIST2",-0.15120828446713,0.0852802008527715,0.0552088800503521,-0.0482114039932634,0.051963894527726,0.0101543786361284,0.0510442423904228,-0.0943988295922391,0.161298003112168,0,-0.111999718039499,0,0,0.118850775852864,0.0571880670248711,0.0305457021963889,-0.0864174140208732,0.0291775395279513,-0.0283431110071844,-0.0116172522065019,0.0958805901260253,0.0450553924594317
"TWIST1",-0.293393659624307,0.222894808245394,-0.0539110505941545,0.197413311813212,0.215498240081528,0.0900964819178606,0.311873420546312,0.0343191958596232,0.455452835056063,0,-0.28712393586886,0,0,0.251044718941192,-0.00298081727755562,0.0118234276598353,-0.223475855374773,0.204946548145211,-0.200961018607503,-0.0912621326504025,0.157863760273784,0.0462303905562718
"TGFbeta",-0.0834907870101688,0.181623029395526,-0.0790407879770907,0.156106505579654,0.157374828504181,0.173001648007392,0.153866056574357,0.00512275658203801,0.437768619759299,0,-0.329382643436764,0,0,0.130602541535113,-0.107010580674179,-0.0577184379092734,-0.179797853451327,0.214516003529097,-0.210404826359061,-0.271225497784769,0.273779080450492,0.0852117035318929
"TCF3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1
"SNAI2",-0.0770507513767134,0.093864289833058,0.0159043533382946,0.0604495901194038,0.0289314383921957,0.0417439895381898,0.027545932303156,-0.0941070463375496,0.203914892019636,0,-0.128648275835416,0,0,0.0825713845251898,-0.00849929117759774,-0.00960086211964795,-0.0888548617793231,0.100950797599289,-0.0990910250808343,-0.0358546929177992,0.144184344945793,0.0769029024210844
"SNAI1",-0.241359044036309,0.214307313389587,-0.0811402356464181,0.130277266433659,0.349772899620956,0.0780127689458193,0.347012285248028,-0.0691656830766987,0.41854513467822,0,-0.378753529278371,0,0,0.223491021582616,0.0205312328261835,-0.00329303985151969,-0.212008843023934,0.265087063849697,-0.261819300605077,-0.0756269924086647,0.263037979475275,0.0733384798326844
"miR9",-0.161471187144678,-0.0649279459753527,0.184902026283412,-0.0547206317719836,-0.0249210850796257,-0.0960527975642104,-0.0224022255987409,-0.0313693635464579,-0.121300298257058,0,0.0910830368643687,0,0,0.150791105748701,0.21880372371939,0.212243954603627,0.0647135222656102,-0.0733464640977307,0.0705703749386628,0.0961795821957081,-0.0873791803272696,-0.28705753903464
