"","miR200c","miR200a","miR200b","TGFbeta","GSC","miR141","SNAI1","SNAI2","miR34a","TWIST2","FOXC2","miR101","TWIST1","ZEB1","ZEB2"
"miR101",0.120456609976344,0.120456609976344,0.133579018311353,0.0435837827568907,0.0458111266580853,0.0315975234134934,-0.0359080054326526,-0.0698441155596812,0.0340439442476165,-0.0610267798986649,0.131077026344243,0.0346426308817945,-0.00371404691042531,-0.0291360279672088,-0.206847896753036
"miR200b",0.0838684316729079,0.0838684316729079,0.0161908509017468,0.105517887959596,0.104718767111978,-0.00418136487715291,0.140198324125791,0.125901517912494,-0.116647378469558,0.122571727706382,-0.0243997619514831,-0.00705426437018833,-0.0171520373419806,0.00329829319468845,-0.169189552414835
"miR141",0.098100210000274,0.098100210000274,0.0660947941239734,0.120697856212389,0.1218194922003,0.0297547846991109,0.0918954175101224,0.0867889324390928,0.0241700540574311,0.0216382815899404,0.0167177643486316,-0.00202271706924377,-0.0177499440484409,-0.0284709058484,-0.163558343513964
"TWIST2",0.0948452837932607,0.0948452837932607,0.0665387513049329,0.0348527808872887,0.034494560782822,0.0761058726718883,0.111027609980822,-0.0233104414406585,-0.0170801981282621,-0.04994726881549,-0.039176140507191,-0.0575735276396352,0.0137901092100772,-0.0764686726965148,-0.110295054030695
"SNAI2",0.0432272042419073,0.0432272042419073,0.0312991397904311,0.017143579255267,0.0157056841762726,0.042454176670442,-0.00910227386796165,-0.0939175400246475,0.0301866162220611,-0.0119321862426273,0.0244366554328481,0.00769958474114985,-0.0623100723321205,-0.0440494100608237,-0.0423704326512472
"ZEB1",-0.00657883998834826,-0.00657883998834826,-0.0111010326513587,-0.00536144266328605,-0.00403698172528618,-0.0136100276913609,0.0755427494104413,0.0681402441222955,-0.0279495125155536,0.101082149472501,-0.100473002315877,-0.00603093964876777,-0.000278134208890813,-0.0848806461668697,-0.00645013720312994
"miR34a",0.0514041950372619,0.0514041950372619,0.0617319127689698,0.0328168157110368,0.0337360170070196,0.0187636350056698,-0.122657780916957,-0.0790295946337913,0.0602844306699497,-0.21751846368177,0.117394108617132,0.0246920753724611,0.0211853200750013,-0.0177199581680295,-0.00170944422377716
"FOXC2",0.00785156410412622,0.00785156410412622,0.0124628070175247,0.00403698172528618,0.00626203292360355,0.0161100009936537,-0.0741129517691371,-0.0671017044373605,0.030404914624021,-0.100377012802753,0.10119020752911,0.0062643879287161,-0.000367065623835157,-0.0136100276913609,0.00635329279093406
"ZEB2",-0.203207762587625,-0.203207762587625,-0.198377145611121,-0.0705534224481291,-0.0702743337994256,-0.0383263028889499,-0.0380251362418085,-0.0365107967106742,-0.0246548317538097,-0.00545708216450056,-0.0039258759423768,0.000725179169820529,0.00425824045089288,0.0386423317744877,0.0734256757235354
"TWIST1",-0.0540897183671129,-0.0540897183671129,-0.00622623430139124,-0.00392471213084789,-0.00258795670362086,0.00600225033428793,-0.0297927308769953,-0.0859881725411474,0.0132877990810637,-0.111378433243556,0.00863992466535365,-0.0106736843834619,-0.0119268590308113,-0.00451009226665208,0.0945973646131883
"TGFbeta",-0.0551351175842424,-0.0551351175842424,-0.13731939176049,-0.113042382172854,-0.0131682129788168,0.00516939608131458,0.120108072283651,0.10036375202269,-0.105130525236241,0.135666808815886,-0.0131193735855961,-0.00999111851455029,-0.0239609525199816,-0.0053146696694467,0.118670716991294
"GSC",-0.10146235978569,-0.10146235978569,-0.119617085961725,-0.0441907426983626,-0.0454836095311859,-0.070591449577053,0.121174974162408,0.0733895225282912,-0.0880049113785374,0.0791876166959927,0.0450837032839491,-0.073873556333216,-0.0147818842192116,0.0691488466024214,0.142551840514939
"SNAI1",-0.0431044963887818,-0.0431044963887818,-0.0508184345796258,-0.0135110586942514,-0.0118683343809007,0.0590468622344087,-0.0676154620785851,0.0614543407793928,-0.0358963517210054,0.056902267489345,-0.111427423223963,-0.0358980891993044,0.00600266852649467,-0.0572250887488951,0.144663123998133
"miR200a",-0.0838684316729079,-0.0838684316729079,-0.0161908509017468,-0.105517887959596,-0.104718767111978,0.00418136487715291,-0.140198324125791,-0.125901517912494,0.116647378469558,-0.122571727706382,0.0243997619514831,0.00705426437018833,0.0171520373419806,-0.00329829319468845,0.169189552414835
"miR200c",-0.106723148563859,-0.106723148563859,-0.102458036678985,0.0638615656769395,0.0647801365765178,0.00887070445190487,0.0785416526650168,0.0747922839136791,0.0125203745484108,0.0195997899137961,0.0150637404701454,-0.0017236366162955,-0.0160062131948182,-0.00781916416754468,0.223072226456218
