"","ZEB2","miR141","miR34a","miR200c","SNAI1","TWIST2","FOXC2","miR200a","SNAI2","TGFbeta","GSC","miR101","miR200b","TWIST1","ZEB1"
"miR101",-0.0957807672490955,0.155395876349408,0.0722907544462731,0.128787028700747,0.00958938273966162,0.023597400882586,0.0285913662112514,0.0321790890958653,-0.0590453971830989,0.0190288887711916,0.0188934184075328,-0.0853783838490556,-0.13864529625031,-0.00963533821480495,-0.155778108846331
"TWIST2",-0.0862259479012036,0.177440296220732,0.0476259256989066,0.132940485160937,0.115425907864081,0.113876293450386,-0.0321832132615988,0.0487105869844709,0.0886014338072155,0.00110572984685111,0.00103046401131545,-0.0155845265929151,-0.0671954619817509,-0.2436684776041,-0.1777749517586
"ZEB2",-0.0836418895864823,-0.0453231823114964,-0.0326605995302607,-0.029426508067999,-0.0208128088720667,-0.0195768660566682,-0.0131160983669406,-0.0118820913362846,-0.00904279310862379,-0.000977913561944057,-0.000848517915726977,0.00566780177592337,0.0225197291180773,0.0297143076937164,0.0452978004639966
"FOXC2",-0.0719223373458037,0.411789934924893,0.370320798964379,0.349820356035518,-0.105935643992134,0.171738016941879,-0.108931458181881,0.290631739555055,-0.0970822141235977,0.00932777503654072,0.00934437989622966,0.00462646733353318,-0.330672784787623,-0.0185958584695715,-0.414699985009792
"SNAI2",-0.0538035985176538,0.0391434556109307,0.00650774329679799,0.0465529286434616,0.0572779564581655,0.0840505571200231,0.000980184173316085,-0.00614541562126457,-0.0330953662019828,0.00342509883624649,0.00354912904829538,0.000416491475198262,-0.0258310413543539,-0.109176804474989,-0.0397439707209358
"miR200c",-0.0381772319600013,0.335896335097987,0.311955128347052,0.190155792908988,-0.148598872954566,0.0954402608495228,-0.0858052296929788,0.154713738360109,-0.0854727103962935,-0.0808592581835055,-0.0809488457224761,0.030949005269339,-0.208566664903829,0.105398722693752,-0.337425511638272
"miR200a",-0.0381772319600013,0.335896335097987,0.311955128347052,0.190155792908988,-0.148598872954566,0.0954402608495228,-0.0858052296929788,0.154713738360109,-0.0854727103962935,-0.0808592581835055,-0.0809488457224761,0.030949005269339,-0.208566664903829,0.105398722693752,-0.337425511638272
"miR34a",-0.0305086316834927,0.27824598120837,0.185811277676813,0.216414430201269,-0.0357529924555784,0.0955463251300656,-0.0905555764109257,0.189941332779644,-0.0514222786974966,0.0130972412185962,0.0132531717354725,0.0105185518430952,-0.156017155190506,-0.0458133563726361,-0.279656737874077
"SNAI1",-0.00547552307574888,-0.143246159082484,-0.143400875748416,-0.0617993605987444,-0.0750497864645779,-0.0758375053192578,0.0455171742684759,-0.086220893274294,-0.0427253498438917,0.00863730286730175,0.00884864055955759,-0.0878798477578516,0.0316500509600675,0.00493590241995953,0.1432591430442
"TWIST1",-0.00171427013686541,-0.0843651972386639,-0.0078029515729884,-0.0291174044474653,-0.0237787069396205,-0.0873196159884672,0.0797971749419976,-0.0505553218102685,-0.0485788829185535,0.00710896457656271,0.00724264011928541,0.0224536277725319,0.0108411244182101,0.102868801874402,0.084183441755534
"TGFbeta",0.0159563499556168,-0.128417257873937,-0.184554217620216,-0.0724424903477093,0.131987420157357,0.0064468559887985,0.0634313323853279,-0.0586741790356628,0.0509350138286888,-0.0941300598305781,0.00579573225821332,-0.0424984109950348,0.132029950738394,-0.131615651939077,0.129276662534615
"miR200b",0.0208177338791491,-0.259028127531801,-0.143053929436767,-0.14148508777525,-0.0751922714969002,-0.0691613348153131,-0.0379138656374912,-0.122176831143045,-0.0209291931298345,-0.0899388080215592,-0.0900427295667651,0.0272966523526518,0.0731759475108176,0.121721300936537,0.260021351761659
"miR141",0.0296054704177261,-0.312894569999367,-0.297201332130515,-0.174177926091437,0.15558295804495,-0.0878283980001748,0.0906396065373975,-0.146418642904383,0.0887764225835675,0.0848888798903505,0.0850429704573799,-0.0329487322743626,0.163195439919289,-0.117201333903073,0.314085883684201
"ZEB1",0.0720641981208552,-0.414699985009792,-0.372082331744109,-0.351854746789024,0.106743432626654,-0.173972270210068,0.108319134591227,-0.291751667324054,0.0981627912218305,-0.0096144216550064,-0.00932777503654072,-0.00498315734502784,0.331987505974471,0.0192739157011863,0.315944138940005
"GSC",0.0956427504449722,-0.156640305324819,-0.147175206541941,-0.129641564484845,0.12500928679926,-0.0536544736890077,0.0865439538074389,-0.0338532870809951,0.0293630338260397,-0.0152269671919319,-0.0153575789217486,-0.0951874241420216,0.12965625261034,-0.191883569274023,0.15751638199504
