"","ZEB2","SNAI2","miR200b","miR200a","ZEB1","SNAI1","miR141","GSC","TWIST2","miR101","TGFbeta","FOXC2","TWIST1","miR200c","miR34a"
"TWIST2",-0.110380811684475,-0.122377090448017,0.0515617039826958,0.0168260811415713,-0.0767364229636731,0.0163916001898989,-0.0775869141729186,-0.022596044100632,0.102177060154538,0.0820775385959744,0.0218620607270249,0.0418678792187171,-0.0897791709635024,-0.0168260811415713,0.0239416436256994
"ZEB2",-0.0821581141126603,-0.0233406422446836,-0.0139126949653828,-0.0127392987010294,-0.00859303995348282,-0.00856585118255793,-0.00726770936736122,-0.00714362541903081,-0.0017658720978995,0.00743662353739253,0.00821938530130614,0.00953487735516818,0.0115622394229776,0.0127392987010294,0.0247537420756601
"SNAI1",-0.0370232124810803,-0.0381292312220807,0.0663286535196861,0.0792828534266877,0.104303503813831,-0.0924557819125154,0.104932916815105,0.028258624579237,0.0569525146618588,0.0743068694092166,-0.0276301625863186,0.0289739303658501,-0.0149652246759784,-0.0792828534266877,-0.105560141912899
"ZEB1",-0.0248017501134283,0.0952207547094667,0.0156216720660003,0.0172714221077584,-0.0858082052303897,-0.0640669800516072,0.0119756769108383,0.0107341569777927,0.0162962883759827,-0.081385045929515,-0.0125154609639723,-0.0880798916661642,-0.0863155332694569,-0.0172714221077584,-0.026889786586411
"miR200a",-0.0180654174813828,0.0879053099729703,0.0181625463801827,0.018598987047306,0.0155894202037086,0.0195894980842566,0.0176619542676897,0.127610036690186,0.0106913563050415,-0.0344447958887131,-0.125836203418569,-0.0505176814540601,-0.0587909332194364,-0.018598987047306,-0.105990335455552
"miR141",-0.0180654174813828,0.0879053099729703,0.0181625463801827,0.018598987047306,0.0155894202037086,0.0195894980842566,0.0176619542676897,0.127610036690186,0.0106913563050415,-0.0344447958887131,-0.125836203418569,-0.0505176814540601,-0.0587909332194364,-0.018598987047306,-0.105990335455552
"TGFbeta",-0.0123827314623987,-0.0417168025793122,0.0875105142558218,0.0118017618680385,0.0111864212787625,-0.0129853792264018,0.011313496447647,-0.186995187277125,0.0496001112834376,0.0133255668245901,0.0872436224581275,0.03069942533758,0.0360305881471146,-0.0118017618680385,0.0466673121722836
"SNAI2",-0.00701094591175554,-0.013835939810569,-0.0207389332372333,0.000753340807194533,-0.00567579928489989,0.0184062935998876,-0.00533116456755729,0.0069447850364294,-0.0902261070401948,-0.0341970503350435,-0.00652821460009966,-0.0289766307882778,0.0905020421428071,-0.000753340807194533,-0.00488317871741708
"miR200c",-0.00485139843532664,-0.0233192912741373,0.0378349417675336,0.0107154862531944,0.0148196487635422,-0.0603886748523351,0.0157712186687555,-0.103536642630686,0.0249119036100312,-0.0178368254394196,0.104266482448166,0.0193565334790693,-0.0108605746713383,-0.0107154862531944,-0.0259936626353759
"miR200b",-0.00485139843532664,-0.0233192912741373,0.0378349417675336,0.0107154862531944,0.0148196487635422,-0.0603886748523351,0.0157712186687555,-0.103536642630686,0.0249119036100312,-0.0178368254394196,0.104266482448166,0.0193565334790693,-0.0108605746713383,-0.0107154862531944,-0.0259936626353759
"TWIST1",0.00463413385454971,0.0814486067411992,0.0268237666477283,0.0624370084977737,0.141524516206523,0.000312182301054618,0.141308535725143,0.0406811591750181,-0.0509994911560141,-0.00695576319427262,-0.0409939599449893,-0.101600404780392,0.0686369299171748,-0.0624370084977737,-0.106712538603641
"FOXC2",0.0228752274793788,-0.0970978868955739,-0.0189901261384068,-0.0206520412802273,-0.0119756769108383,0.0621468652915333,-0.0154645332878527,-0.0136344724701268,-0.017270803099342,0.0810639064175048,0.0107341569777927,0.0895189292230393,0.086951771993395,0.0206520412802273,0.0284394280872578
"miR34a",0.0276488382300138,-0.0592853316925298,0.00855423122777725,-0.0592141929734566,-0.0106790026787689,0.0185980353208639,-0.0120822101449273,-0.0332338951757785,-0.0203813761195722,0.0455795260163588,0.0320853486059465,0.0387236935972945,0.0232914560373952,0.0592141929734566,-0.0185450521537593
"GSC",0.0833096007553718,-0.0440144708247341,-0.101082513750863,-0.109482829421862,-0.126760945197253,-0.0820507113333877,-0.127810468342284,-0.0524597750724208,-0.034396609834875,-0.068372567341133,0.0516060665195609,-0.0503694406752703,-0.165486580196267,0.109482829421862,0.117886175336806
"miR101",0.0879534583809384,0.0565445368499247,-0.045207059560527,-0.0407659589216413,0.00477852627972582,-0.01176812106396,0.00608684571834528,-0.00329198861681273,-0.014735290969394,-0.0852877873633374,0.0044549225178314,-0.030883814807485,-0.000645703678834319,0.0407659589216413,0.0298524578408015
