"","miR141","TWIST2","ZEB2","miR101","TGFbeta","miR200c","GSC","miR200b","TWIST1","miR200a","SNAI1","SNAI2","FOXC2","ZEB1","miR34a"
"miR101",-0.101462348935174,-0.0201369219254263,-0.10020411026005,0.0238050682243779,-0.00898702650889988,-0.00061050977304003,-0.00982975773217967,0.0154452142771209,-0.00115271231466726,0.00061050977304003,-0.0102550610553972,0.0643585556462088,-0.0926675138808745,0.100916448642958,0.0330388189620058
"ZEB2",-0.1498160452342,-0.127647389685214,-0.0999335375218727,-0.0897189170335402,-0.0718674381145835,-0.0696162149347331,-0.0695839855342821,-0.0428644153095925,-0.0283667304884879,0.0696162149347331,0.0808962623619742,0.0932484985431837,0.0967940824105246,0.15128669933934,0.17057015494298
"TWIST2",-0.0788090957114149,0.0958568999087052,-0.0729424506103755,0.0733593081165357,-0.0224054247978228,-0.00374906690883068,-0.0234053851842252,-0.0305930779143059,0.186045303607414,0.00374906690883068,-0.0321590585906252,-0.0977019988272456,-0.0849479174059129,0.078156495424693,0.0207623364093458
"ZEB1",-0.345670200410504,-0.308454840343652,-0.0574064577903399,-0.0973620019903048,-0.258709545177196,-0.26034624629217,-0.257543763617275,-0.215542319744574,-0.0526958321894501,0.26034624629217,-0.00441537047518337,0.197692004088053,0.015104132030885,0.246387017541932,0.32940475458569
"FOXC2",-0.345555934223684,-0.306500528974314,-0.0571982571121328,-0.0952254169712853,-0.257543763617275,-0.260231070258046,-0.257300225675171,-0.215948268742618,-0.0519580342325829,0.260231070258046,-0.00384980084897668,0.198301546580872,0.0133504496062686,0.345670200410504,0.328784748766141
"miR200a",-0.254995911311816,-0.164488558787863,-0.0194417192205596,-0.104065745435061,-0.209966953945558,-0.11995506418746,-0.210099543503234,-0.042565238225932,-0.0418357557680347,0.11995506418746,0.0959546696707766,0.113735928328325,0.118492182281328,0.254922784830773,0.243206950289867
"TGFbeta",0.119624485203283,0.129340021390255,-0.00701504621150953,0.0846534939573017,-0.0279903540544163,0.0638540972908332,0.0704964498431122,-0.0365614596416988,0.0474991623451906,-0.0638540972908332,-0.109305668313544,-0.0545090841751078,-0.127176189365431,-0.120593707911145,-0.169845003540617
"miR200c",0.254995911311816,0.164488558787863,0.0194417192205596,0.104065745435061,0.209966953945558,0.11995506418746,0.210099543503234,0.042565238225932,0.0418357557680347,-0.11995506418746,-0.0959546696707766,-0.113735928328325,-0.118492182281328,-0.254922784830773,-0.243206950289867
"miR141",0.254995911311816,0.164488558787863,0.0194417192205596,0.104065745435061,0.209966953945558,0.11995506418746,0.210099543503234,0.042565238225932,0.0418357557680347,-0.11995506418746,-0.0959546696707766,-0.113735928328325,-0.118492182281328,-0.254922784830773,-0.243206950289867
"miR200b",0.332850240670804,0.212383236881415,0.0195548354699992,0.133541746399121,0.261050510773825,0.160873256321094,0.26173495957156,0.102361660816774,0.0533111746474932,-0.160873256321094,-0.125146824192212,-0.147889637570289,-0.157471359652595,-0.332330024438577,-0.313976988904296
"SNAI2",0.0931217928893508,-0.0525305847115528,0.0292795984359946,-0.0401780254523308,0.0426807457528066,0.0334613009916597,0.040271138115967,0.0340537185540282,-0.105324179555908,-0.0334613009916597,0.0304435959657358,-0.0448196255012847,0.0484793871860919,-0.0946976008048969,-0.0529161955825137
"miR34a",0.267613600192641,-0.112564018823935,0.032896637579101,-0.0173265789608506,0.185029472155011,0.183134898143348,0.184246179169458,0.154134388270573,-0.0792828823787893,-0.183134898143348,-0.0221190782212936,0.0723752812820316,-0.0618954919926557,-0.26811703743756,-0.172482164307865
"GSC",0.188184141825729,0.0750935727774515,0.0356584780572515,0.0928700965342979,0.0901901401851936,0.077514720876071,0.0889717283481112,0.0662394323359641,2.62140370589495e-05,-0.077514720876071,-0.0863286295209029,0.011302326315556,-0.13384532144335,-0.189002239221084,-0.158663049574286
"SNAI1",-0.135758526997374,-0.0729876931302003,0.0475942247964204,-0.0499754435624624,-0.0949972000760817,-0.0987908672515032,-0.0959952056509559,-0.0746028884229151,-0.0246735727085385,0.0987908672515032,-0.0838905625151316,-0.00965242939877027,0.106105841596581,0.135083051846203,0.129982074661256
"TWIST1",0.134263811198334,0.118995621114783,0.0985995579248014,0.0388617382846955,0.0205409867702974,0.0209843239507496,0.0204166685155653,-0.0192682782789618,0.00785596862990752,-0.0209843239507496,-0.00734998548347484,-0.101814047330746,-0.0334993678783519,-0.134345484489612,-0.0519268107724579
