"","GSC","TGFbeta","miR200c","FOXC2","SNAI2","ZEB1","miR101","TWIST1","TWIST2","miR141","miR34a","ZEB2","SNAI1","miR200a","miR200b"
"miR200a",-0.008049771178587,-0.00813696971651837,0.124785537051441,-0.080990200290696,-0.0514094312189133,0.00401807312122383,-0.0262460378642474,-0.0216142702281617,-0.0259849079352542,-0.00399678313307217,0.0927932174539538,-0.256758516438884,0.101901156971527,-0.128743880327848,-0.0657012979230608
"miR200c",0.197103503694801,0.197011527154791,0.0917599199581578,0.154751014024398,0.0942570572602488,0.0228599684858821,0.0409943213530938,0.0357311846730845,0.0199992844449509,-0.0229081023721381,-0.137700552558064,-0.208670461202389,-0.178601480319894,-0.116267026621078,-0.148661898594239
"miR141",0.197103503694801,0.197011527154791,0.0917599199581578,0.154751014024398,0.0942570572602488,0.0228599684858821,0.0409943213530938,0.0357311846730845,0.0199992844449509,-0.0229081023721381,-0.137700552558064,-0.208670461202389,-0.178601480319894,-0.116267026621078,-0.148661898594239
"SNAI1",0.0606798265496081,0.0606255052290846,0.134498994201629,-0.0922940620984858,-0.0469253163760571,-0.0907028135603306,-0.150196571010758,-0.264892793600565,-0.0742889268985786,0.0907386740260221,0.212598835188081,-0.194648476000985,0.147517348567659,-0.0449148820097189,-0.0154442121808536
"TWIST2",0.056005063350541,0.0561267336861814,0.0391178490947499,-0.0575404508994656,0.0435442201088798,0.0638476690207987,-0.0673260930685763,-0.0337268380237342,-0.0765472455384014,-0.0638828496292474,0.0246082430014679,-0.142221868160752,0.109302047398416,-0.10250396596491,-0.0770191977074336
"GSC",0.0607124467954655,0.0607509362424164,0.0167499457084644,0.183062818154579,0.0551585793326581,0.0994626777916518,0.0814695741365265,0.00674940673181841,0.0249161520912077,-0.0995398197082108,-0.103707451606842,-0.137799190063047,-0.114623554711774,-0.115934522874821,-0.127404416873202
"miR101",0.0478110636310623,0.0475436416144892,0.0429753878255982,0.150736570638365,0.0886427120878642,0.00852065859844546,0.151241047141551,0.250051427036268,0.0266375844733442,-0.00854691364060697,-0.132699391956499,-0.0954271007610679,-0.293798509028161,-0.0525748538153801,-0.0620919613156994
"SNAI2",-0.00485101308432515,-0.00486042227282541,-0.000694247575898096,0.0360358809143558,-0.0736397102553324,-0.0195088809074747,-0.0120145703740223,-0.0784092174686636,-0.0190300619108484,0.0195795494452388,0.00999168488153474,0.0206727296340927,-0.004991715886346,0.0201113030239339,0.00631820228777019
"ZEB1",-0.00930342459819362,-0.00938532363204096,-0.0085681258504158,-0.106593443367001,-0.0805942348522144,-0.100601227492575,-0.0172986633080904,-0.0141353842351401,0.076176782236968,0.000692960034568825,0.027329231195833,0.0271127613673844,0.114798359346282,0.0114131372081858,0.0190951321877729
"FOXC2",-0.00974068590333559,-0.00930342459819362,-0.00860227351882458,-0.106483934614012,-0.0807014841502435,-0.000692960034568825,-0.0171552762935028,-0.0141622675615037,0.076303548379844,0.000555199865412152,0.0271732971208802,0.0271829513542052,0.114871260212862,0.0112979611740612,0.0190222458903968
"TGFbeta",0.187005819797755,0.0869638761957677,-0.0606723751571405,0.151279401512709,0.0952121980916412,0.0898748702750757,0.0670254222011336,0.0747250050313876,-0.0287587016339215,-0.0899410748692353,-0.204393242612954,0.037159942799462,-0.229287831490193,-0.0279786377730009,-0.115616703415809
"miR34a",-0.0321418118100079,-0.032062329717748,-0.141029974521228,0.136225751141827,0.0641193244140759,0.0613390696131557,0.0659076135476463,0.0672480209409564,-0.131742381322602,-0.0614084278840116,-0.120049623703193,0.154529478130948,-0.2098592723077,-0.0129675291054828,-0.0289651351979734
"ZEB2",-0.254412816499656,-0.2542428261409,-0.230252752018742,-0.178657626220214,-0.129365478148712,-0.0527364679997548,-0.0383335689366462,-0.0335630834673124,0.0178323830720403,0.0527568730144116,0.109457859773746,0.198718788767208,0.207579518919025,0.279049281866484,0.296411397617962
"miR200b",-0.207921485790782,-0.207452047086576,-0.098033313080176,-0.200393494370831,-0.145002092798647,-0.0329126531101151,-0.0546691128013911,-0.0482180256362126,0.0579748740407593,0.03284137793239,0.0682220318832551,0.231196572330925,0.256844465647393,0.131968425226881,0.136049376544391
"TWIST1",-0.0920567241926227,-0.0920219685515148,-0.140631614505067,-0.0435678390364157,-0.0560948656657926,0.0612259679971229,0.0910055688959471,0.21621136477598,0.131795212568772,-0.0612568223516057,-0.0926541272804303,0.252842566473796,-0.190466418957834,0.0866410279112677,0.0795320782173455
