"","ZEB2","SNAI1","FOXC2","miR200b","ZEB1","GSC","TWIST2","miR200c","TGFbeta","miR141","miR200a","SNAI2","miR101","TWIST1","miR34a"
"TWIST1",-0.103866177913699,-0.0763627054646158,0.041605022195552,-0.0339898945703878,-0.146178784134317,-0.0314139242719725,0.0301294531207124,0.128944617503906,0.0314820987987611,0.146165560839538,0.0248879417944435,0.0657534742326083,0.0707402368524142,0.123430594700755,0.128982107847271
"miR34a",-0.0948873105367604,-0.151160818878065,-0.12956750030144,-0.0882395530322459,-0.145110721958927,-0.0613008932118786,-0.0589075948198987,0.164351542936776,0.0613658136994497,0.145110250133955,0.0885809074445692,0.0948844411580159,0.118969254104584,0.0507224666282943,0.144754540858715
"ZEB2",-0.088387035888367,-0.0239976853595884,-0.0160462068456065,-0.00939007703379354,-0.00783943376763642,-0.00484137591915186,-0.00365882891241836,-0.00238059759379192,0.00480585554568051,0.00775731602572502,0.00814752528246,0.0218574534602754,0.0230324669625473,0.0235021806569685,0.0268573274058005
"GSC",-0.048256242555003,-0.0400195725092612,0.0477730440956575,0.0837240353803522,0.0671661824461342,0.0328085024069839,-0.0239089564697565,-0.0032260355745357,-0.0328520396502561,-0.0672575735065161,-0.059727330779406,-0.0551188926353332,0.0428763084811399,-0.0937568072868591,-0.00528602963777789
"FOXC2",-0.0302078871443667,-0.117253193640266,-0.1116793143261,-0.0153358465825653,-0.0314650002668947,-0.00976731189069823,-0.0224465584445774,0.0305110227088437,0.00996657020696546,0.0317351810637679,0.00737471521895198,0.100467040498051,0.107729148618608,0.0307741284650976,0.0485400439362368
"miR200b",-0.0169513716042087,0.017566735991508,0.00999683140249198,-0.00218950104153774,-0.0071215186525757,0.105500909598566,-0.019981818856421,0.0122994239153494,-0.105385043048165,0.00726314335636717,-0.00471625869071082,-0.0195522176951755,-0.0187618462496465,-0.0743210940790898,0.0203591016839327
"miR101",-0.0152184728019654,-0.10204901412308,-0.0993144239060711,-0.0591613936290887,-0.127416346550635,-0.0327974387365508,-0.0521657323495942,0.0720422238895233,0.0329293903894651,0.127528527185326,0.0583911577038259,-0.0130992126611081,0.0936991758038554,0.0425365998976202,0.111965434484774
"miR141",-0.00953665348219205,0.025690797126652,0.016337135197855,0.0324664398157333,0.0021679317996109,0.11109644324003,-0.0187323318666323,0.00338741297586978,-0.111054635721843,-0.00210683879013223,-0.00526094584829361,-0.0265960908694241,-0.0261249431740868,-0.0838247285291299,0.00808470197569113
"miR200a",-0.00817979943737627,-0.0980044695005489,-0.0600878749017731,-0.0446927575531492,-0.0281411248217895,-0.121899669770656,-0.0200558970472993,0.0186426862336673,0.121955811295077,0.0282336899876663,0.0108941028163656,0.0868520688961258,0.0919175108680057,0.100601449319411,0.127399624744729
"TGFbeta",-0.00501119675685904,-0.0633256932118485,-0.0505820683027032,-0.112141417110776,-0.0973933979800446,-0.216229850105059,0.0289413857031352,0.0505894874205028,0.116294378723501,0.0972970718643717,0.045952052705363,0.055870084525466,0.0595116514133892,0.100876696680616,0.125203167820129
"SNAI2",0.00573299419381061,-0.0186552476003292,0.0152255567766098,-0.00991371025244753,0.00141363913197083,-0.00334587175605973,0.00883180399298301,-0.00332978334308341,0.00339462846010653,-0.00137177388448024,0.00182556224863778,-0.078304950299303,0.0202934745194435,0.0935877265938506,0.00879503091569827
"miR200c",0.00953665348219205,-0.025690797126652,-0.016337135197855,-0.0324664398157333,-0.0021679317996109,-0.11109644324003,0.0187323318666323,-0.00338741297586978,0.111054635721843,0.00210683879013223,0.00526094584829361,0.0265960908694241,0.0261249431740868,0.0838247285291299,-0.00808470197569113
"ZEB1",0.0303538941633654,0.11711327100925,0.112137400236487,0.0154806965659583,-0.068401160450524,0.00996657020696546,0.022235281539784,-0.0301724398949601,-0.00996401086215773,-0.0314650002668947,-0.00742043836817729,-0.100350090258491,-0.108329952059896,-0.0309354284232791,-0.0485542197612325
"TWIST2",0.0668295200134588,0.0599096531034774,0.0536479248241056,0.0128877234147494,0.0722437257535367,0.0131962108237456,-0.0522979131538454,-0.0699566443657283,-0.0132443130494639,-0.0723123279400115,-0.00279775993474628,-0.0584620588841254,-0.0590897221408314,0.0200961356365039,-0.0592621904116294
"SNAI1",0.0762371144210397,-0.0163884524631601,0.0791908503922706,0.00156347208593846,0.117738208689057,0.0149062505072069,0.0714579471162075,-0.101332834182429,-0.0149320233965064,-0.117688745977759,-0.0185049425437282,0.031478890100818,-0.0755102320836788,-0.0360285011859855,-0.148254485573436
