"","ZEB2","ZEB1","miR101","TWIST1","miR200c","TGFbeta","FOXC2","TWIST2","GSC","SNAI1","miR200b","miR200a","miR34a","SNAI2","miR141"
"TGFbeta",-0.144787116312287,0.0403753577173167,0.11987093090398,0.164313338151048,-0.0469524238493037,0.118599009083746,0.0802229469242677,0.134814587291834,-0.218610301591974,-0.122577902870692,0.0381626051921544,-0.0921208731254751,0.0823498534423717,-0.115787294424015,-0.0403719062929766
"TWIST2",-0.14028422313063,-0.106508762265223,0.011266601223274,0.149170764182364,-0.121665448513068,0.0146968502215431,0.0716445441957026,-0.0407288709179549,-0.0147336342765042,-0.0317380083663625,-0.0229056387689089,-0.0180497614390417,0.0700720038942753,0.0442353868144898,0.10640190116706
"miR34a",-0.11880734788441,-0.190985879805913,0.0170342765869425,0.0958084631734639,-0.203434928263321,-0.00454805962729126,0.153591861069784,0.0715442438971102,0.00459963197723089,-0.108701358653833,0.0115834076970004,0.106654746400323,0.156371511223967,0.0789650254546496,0.190996259955293
"miR101",-0.102224162772634,0.126158981315022,0.107130089914769,0.0234778621790556,0.0135089582868959,0.0211069035947247,0.101873021671648,0.00948778488592902,-0.0211262565038188,-0.0206175803727186,-0.0931859591155201,-0.115484010941471,-0.0472193843997751,-0.0931552082682047,-0.126201603136713
"ZEB2",-0.0831437250140272,-0.0387500059164187,-0.0282198735614523,-0.0237045354821679,-0.0068303590675953,-0.00563843904156802,-0.00443816725093555,-0.00324281469869572,0.00562321602436601,0.0210685622576888,0.0240819086009015,0.0274238549422885,0.0284965643714794,0.0353251940420925,0.0387495082331343
"miR200b",-0.0182845455673022,0.226436137216819,0.109378489302393,0.0917471321615495,0.105386998885957,0.118701208658779,0.0218587296676296,0.0160223263746605,-0.118695236156181,-0.0760686559552876,-0.0796374792210787,-0.122901770715267,-0.122210879806774,-0.1426077603204,-0.226411144622033
"TWIST1",0.00951452822781391,0.204502812510457,-0.0216532691838798,-0.0498336515160831,0.107064089825033,0.00693558661366348,-0.0118326907783442,0.00770555572886955,-0.00695296443421743,0.0294751379062204,-0.065755252091713,-0.117923265519311,-0.162208193033038,-0.0506354629335827,-0.204451215732792
"miR200c",0.0182845455673022,-0.226436137216819,-0.109378489302393,-0.0917471321615495,-0.105386998885957,-0.118701208658779,-0.0218587296676296,-0.0160223263746605,0.118695236156181,0.0760686559552876,0.0796374792210787,0.122901770715267,0.122210879806774,0.1426077603204,0.226411144622033
"miR200a",0.0182845455673022,-0.226436137216819,-0.109378489302393,-0.0917471321615495,-0.105386998885957,-0.118701208658779,-0.0218587296676296,-0.0160223263746605,0.118695236156181,0.0760686559552876,0.0796374792210787,0.122901770715267,0.122210879806774,0.1426077603204,0.226411144622033
"miR141",0.0543051204209875,0.195823078144971,-0.106739033835486,-0.170758879148089,0.122790120368559,-0.116095012222942,-0.0801822008330049,-0.125492110712988,0.116086650719305,0.144320251960487,-0.107618448977555,-0.0723514227019414,-0.209361614676506,0.069304330599321,-0.195814747280042
"ZEB1",0.0748515891132746,0.102356687108738,-0.00802781269040453,-0.109879973000519,0.232403489766272,-0.00578398034013455,-0.123221189383258,-0.11221962833341,0.00578526001253842,0.111136641626746,-0.166274291516337,-0.170523758878649,-0.21999677868564,-0.094474791679833,-0.202375735396146
"FOXC2",0.0748856475456983,0.202375735396146,-0.0079341963750953,-0.110002441487287,0.232402910992231,-0.00578526001253842,-0.123235070774482,-0.112090221229224,0.00581293477868664,0.111188377725609,-0.166192179105369,-0.170486138565995,-0.219997524781692,-0.0944591623851453,-0.202340494422641
"SNAI2",0.0771077819469152,-0.0404556509765665,-0.0558056832205856,-0.125777930797998,0.0171758423203138,-0.0156679829489186,-0.0747642960551425,-0.0228170642500429,0.0155525065445972,0.0590165355932745,0.0304187556156919,0.0589261780770614,0.00578385061847164,-0.0557656994286454,0.0403548394606092
"GSC",0.12431788150181,-0.131699877864,-0.100714788550567,-0.132515058146422,-0.00767140068321035,-0.0231672833543154,0.0311764490927821,-0.0145431497535324,0.0231994630558644,0.0310125605134353,0.104535438399972,0.128658172451535,0.0498072117542673,0.0753758119366947,0.131777019780559
"SNAI1",0.12562554251956,0.0580157902848972,-0.110907659780419,-0.0617789777903159,0.0864094729367589,-0.0241683141607169,-0.141501664138779,-0.0749892669576045,0.0241885359661673,-0.047065858442942,0.00394803424854734,0.0359439363344608,-0.0946673765009843,0.0681619644537446,-0.0580383576469271
