"","miR200b","miR200c","TGFbeta","SNAI2","TWIST1","FOXC2","miR141","miR34a","miR101","ZEB1","TWIST2","SNAI1","GSC","ZEB2","miR200a"
"miR200b",0.0370553999118156,0.105927171706059,0.112753707248922,0.150127707611052,0.130948384523582,0.0911458850681846,0.00710392759628854,-0.108195468954436,-0.00541355637080174,-0.00749084998965347,-0.0262437667388859,-0.162738830428513,-0.113122807909481,-0.220218503024513,-0.105927171706059
"TWIST1",-0.0140757770728666,0.15141010448784,-0.0191027987818516,0.182895347357567,0.176302389346733,0.0582188714926472,-0.105236815526319,-0.160197033705703,-0.0458417631247942,0.104928012701201,-0.0802930689427828,-0.310450158188982,0.0189009487123403,-0.216141451123596,-0.15141010448784
"TGFbeta",-0.0880534535763696,0.105537022672452,-0.104426626199502,0.160072234987411,0.123691658470678,0.0964721004585418,-0.0732212625964788,-0.161826990135981,-0.0102157909277824,0.0731807868019452,-0.0843478587318676,-0.183029451751103,0.00447502266333393,-0.147364672711375,-0.105537022672452
"miR200a",0.0946047598183435,0.0634337989482976,-0.0630534557142878,-0.0984538907215299,-0.0699576860782271,-0.0623204955297557,0.0224644362189337,0.0291459585144944,0.00219146745939264,-0.0231235001999764,0.0457945519216112,0.104657405331908,0.0624836789664349,-0.145509526900399,-0.0634337989482976
"miR101",0.054663650163242,0.0275641502132176,0.0172411155478533,-0.164238954406701,-0.268763727553998,-0.157590629602592,-0.00054209234464677,0.137010243011251,0.129421404501598,0.000251922982576099,0.0162368447141015,0.329832360855207,-0.0175208530520318,-0.0492766793526392,-0.0275641502132176
"FOXC2",0.00623999159152359,0.018619080753887,0.00165273801033109,-0.0632589495126753,-0.059630322863309,-0.0693953418168595,0.000921558609617704,-0.0108376294507248,0.00391182728805077,3.84909413268613e-05,-0.0116034798187654,0.0658043105976079,-0.000756075587128566,-0.0435561042616481,-0.018619080753887
"SNAI2",-0.00319366481269613,0.0070107031308846,-0.000857253828108179,-0.0561314807591213,-0.112360069929888,0.00593157483837723,-0.000981815476145213,0.0153403090554369,0.0377460112064582,0.000804641748765006,-0.0736607561466517,0.0399094623343223,0.000683611531239728,-0.0120863868140705,-0.0070107031308846
"miR34a",0.00410205688542817,0.0572345439172547,-0.0121617650850883,-0.116884493922666,-0.110153184466605,-0.0913851240135979,-0.0550805188736692,0.0473787456609768,0.0230449930606372,0.0548408317879905,-0.00538248258299817,0.162447650177146,0.0119160380059641,0.0367255483935677,-0.0572345439172547
"ZEB1",-0.00597981518823171,-0.0193477572712878,-0.00151965208032917,0.063163556920961,0.0597617524588643,0.0691439343980271,3.84909413268613e-05,0.0114800181518462,-0.00398648333696826,-0.0997397335914449,0.0115691473217365,-0.0656596846848773,0.00165273801033109,0.0435895703735079,0.0193477572712878
"ZEB2",-0.199968968685203,-0.191300229650351,-0.0685415721386599,-0.0451232708107641,-0.0383365102426564,-0.0362013567262131,-0.0214459878513135,-0.00844073732921817,0.00051251572868392,0.0215529897574405,0.029430894305761,0.0469372468981331,0.0686963394802137,0.100970928867283,0.191300229650351
"GSC",-0.0311160732413177,-0.0789718289886185,-0.00307488617735768,0.0300315828223378,0.03645276664286,-0.000649386396758738,0.0528371810345459,-0.0471546956759843,-0.111875138173719,-0.0527487380728859,0.00479592639025559,-0.159478580156646,0.00317142528200481,0.114140214480494,0.0789718289886185
"TWIST2",0.0010852365652313,-0.0920854539941685,0.00639316591104006,-0.116066749610004,-0.0153436094299626,-0.105460898892782,0.0512541261024165,0.0845670889192221,0.021781931804645,-0.0509370608687732,0.0779620174387932,0.15920887727493,-0.00613794116046425,0.134770450834983,0.0920854539941685
"miR141",-0.131858002952052,-0.0876455022239222,0.056822485951365,0.134544114993147,0.115453068843757,0.0764566260770349,-0.00518601009102411,-0.112363930104844,-0.00519187230193759,0.00501291323083454,-0.0154478510771083,-0.14570214344608,-0.0570267455402179,0.179633040727838,0.0876455022239222
"SNAI1",0.0214056442529294,-0.118317312414816,0.0161800915701537,-0.220550490639418,-0.338684933503608,-0.197998886194349,0.0691768715301413,0.258255885020285,0.145422341375237,-0.0691088603021058,0.0156721759377141,0.324642078907039,-0.0161051519381906,0.188076334024386,0.118317312414816
"miR200c",-0.0370553999118156,-0.105927171706059,-0.112753707248922,-0.150127707611052,-0.130948384523582,-0.0911458850681846,-0.00710392759628854,0.108195468954436,0.00541355637080174,0.00749084998965347,0.0262437667388859,0.162738830428513,0.113122807909481,0.220218503024513,0.105927171706059
