"","miR200b","GSC","miR200c","SNAI1","ZEB1","miR141","TWIST2","miR34a","ZEB2","FOXC2","miR101","TWIST1","SNAI2","TGFbeta","miR200a"
"miR200a",0.0151731498291264,-0.00709112096970987,0.202221597520447,-0.0653976906162906,-0.15207538450796,-0.151914321119334,-0.0106605106008011,-0.0744705830485556,-0.26000137161003,0.0301397017616246,0.0811527309174682,0.0621818772382049,0.0977708639955124,0.00766567571964119,-0.053972280963702
"miR141",0.0151731498291264,-0.00709112096970987,0.202221597520447,-0.0653976906162906,-0.15207538450796,-0.151914321119334,-0.0106605106008011,-0.0744705830485556,-0.26000137161003,0.0301397017616246,0.0811527309174682,0.0621818772382049,0.0977708639955124,0.00766567571964119,-0.053972280963702
"TWIST1",0.0874881432504404,0.067380701278854,0.0562781047418548,0.00443712016252555,0.0590735098646357,0.0590815475536186,0.0763376839113007,0.0418776595898073,-0.182328434962512,-0.0875279915342869,-0.00762810397414609,0.008261649189257,-0.0798698888599224,-0.0670986458837091,-0.107563664945663
"miR101",0.128701428929006,0.0713319807627411,0.0330286786902627,0.00737390357727533,0.11137024288441,0.111298979198543,-0.0315968646747219,0.0710845238095,-0.176932491735978,0.00687146104779849,0.0536714084124347,0.0101428671356895,0.0122187727181992,-0.0711261361841947,-0.145556571761991
"TWIST2",0.00437570547153015,0.0577745554665393,0.156392861592195,-0.0323774354804766,-0.170890825609741,-0.170799356027774,0.101881043132413,-0.0712551616503443,-0.146242998713272,0.0416038190257422,0.00596935767515913,-0.0777770671184065,-0.0543133626893424,-0.0572895718495915,0.0115834139797809
"TGFbeta",-0.0525259359178605,-0.145170340291958,0.0839717525826754,-0.0290803384511477,-0.0390057588898987,-0.0389709308806489,-0.0993211146534797,0.0514478149066401,-0.142907207875358,0.0216242572442054,0.0519831708977821,0.0845844736306269,0.0717631785739901,0.0456252670519759,-0.0528939007185931
"miR200c",0.160397392763065,0.159111646602517,-0.0308297163753797,0.09566431660342,0.179042074578216,0.178835654258311,0.0284026356255064,0.0830916019347743,-0.109324275086396,-0.0588474920152312,-0.114848001741818,-0.109915330517181,-0.134108566248557,-0.159511804276586,-0.145891919598282
"SNAI2",0.0358160507871523,0.00835277137836503,-0.0338635281449286,-0.0036703661347066,0.101531072582375,0.1014188737191,-0.104782472476706,0.0651474745982868,-0.0321494038718467,-0.0285592795137783,0.0309212105441558,0.10089355931898,-0.0365834604478036,-0.00810214481194899,-0.0668205582875454
"ZEB2",-0.216982512712794,-0.180135456635518,-0.144754410097875,-0.0902401171035069,-0.0572456626904922,-0.0568480137463273,-0.0498862491277516,-0.0178699256770975,0.0370418115657214,0.0736745839030139,0.103995267834636,0.11839607384725,0.118538310796709,0.180990482768364,0.193044924379974
"FOXC2",0.14132089298144,-0.0337815606794497,-0.209308236717423,0.0993538393898175,0.14099145983595,0.14074690883799,-0.0811729769645006,0.139614552163902,0.105123506498314,-0.0935054126191104,-0.0920127365133575,8.87292102767835e-05,-0.0860482318353523,0.0330509468531365,-0.121525425202008
"ZEB1",0.141499879585123,-0.0330509468531365,-0.209424570299629,0.0995713661691277,0.0409373225980518,0.14099145983595,-0.0812733334942775,0.139739150204654,0.105353030716821,-0.0937043792266526,-0.0922414447267079,-0.000144259618207594,-0.0862503347838996,0.0327323084245742,-0.1216741701305
"miR34a",-0.0319589386234536,-0.0165173726003546,0.0408291423125879,0.0890960126193452,-0.0751117385922276,-0.0751258933413819,0.012565388907375,-0.0822174814148051,0.109106687909961,-0.0820949328046853,-0.0732606215358301,-0.029302769462546,-0.0638279898746904,0.0164573059810131,0.128502695577458
"GSC",-0.049515362064907,-0.0602480247751578,-0.0872727586209964,-0.0368386381015035,0.0501194221275511,0.050173470604121,-0.0465230131787517,0.0423979742819813,0.137872205501567,-0.0503706349158272,0.0894698386383119,-0.0422049282982078,0.0507727874340565,0.0603634931160102,0.0444085239804507
"SNAI1",-0.0221509409954797,-0.0479229698546378,-0.0930845799282244,-0.0774405912904021,0.051728693612748,0.0517747557626447,0.0422228369521992,-0.0425115095986716,0.154028506624837,-0.0230540494909807,-0.0865143529541438,-0.0196387657995782,-0.0421912460358957,0.0481105171875402,0.0499406220883963
"miR200b",-0.13164368675408,0.0361672674191265,0.00481029632714681,0.000840185540216824,-0.190565416583178,-0.190514505741946,0.0936609006015187,-0.168826215715809,0.179588875532651,0.00384800774980954,-0.021979397803938,-0.0622786199939392,-0.0433215276524612,-0.0361111258947049,0.185847898197006
