"","miR200c","miR200a","miR200b","miR141","TWIST1","SNAI1","TWIST2","FOXC2","miR101","SNAI2","miR34a","GSC","TGFbeta","ZEB1","ZEB2"
"miR200c",0.44068517216929,0.44068517216929,0.00654142508769646,0.451311779255917,0.203299280046569,0.144991276701486,0.121971338758554,0.0843904770868817,0.0536678077481657,-0.0347730113020703,-0.263642377077202,-0.25739095623496,-0.26192886370895,-0.458527233936012,-0.43693174152695
"miR200a",0.44068517216929,0.44068517216929,0.00654142508769646,0.451311779255917,0.203299280046569,0.144991276701486,0.121971338758554,0.0843904770868817,0.0536678077481657,-0.0347730113020703,-0.263642377077202,-0.25739095623496,-0.26192886370895,-0.458527233936012,-0.43693174152695
"FOXC2",0.577275676048833,0.577275676048833,-0.251179871131721,0.586754994332306,0.223441059177023,0.205524776699946,0.202879399420768,0.1501972115877,0.138848443873354,0.0813216508838177,-0.437045338812527,-0.239752705212322,-0.24883002850894,-0.599963951947026,-0.379224592399327
"miR141",0.369842784894709,0.369842784894709,-0.041796806269619,0.369755829637875,0.015729234273891,0.0320473532804756,0.090804777161572,0.0167558996718894,0.0523364431000407,0.0763052431117404,-0.290934329373388,-0.0539394275589713,-0.058821351182608,-0.37633998988669,-0.375483360501077
"miR101",0.257066308365579,0.257066308365579,0.0452911987923434,0.206388572672438,0.0782145500569152,0.0524344055253821,0.0676098330587828,0.0138327154840718,-0.0449455037484376,-0.037965516677933,-0.128598205738958,-0.090700241412796,-0.0921798592808092,-0.209133077014749,-0.311330472634936
"TWIST1",0.226129190965363,0.226129190965363,-0.00526036655460398,0.234766288900745,0.14609435885719,0.059412767360685,0.127060911347685,-0.0561660413981626,0.0362317976938174,-0.0527399583230439,-0.105479770527677,-0.0802962867617667,-0.0836822882589328,-0.239060748340233,-0.216104435053098
"TWIST2",0.00860867510753716,0.00860867510753716,0.10636587317033,-0.100923662531305,0.206588957542452,0.0900525586904265,0.0664190713839786,-0.0445559753645334,-0.00568220868463575,-0.105201720567844,0.102021582965397,0.0213481916888265,0.0208462308157428,0.100830433918916,-0.1197865051648
"SNAI2",0.115355922160027,0.115355922160027,-0.0300128005603318,0.133046156091206,-0.0709745602508627,-0.0300645436554746,-0.0420057751291653,0.0172867230903323,0.0161983357206246,-0.0241706797807571,-0.098462890857238,-0.0476718794104714,-0.0523088985795545,-0.13814869245536,-0.100191805409551
"SNAI1",0.101286077565269,0.101286077565269,-0.0914834744919782,0.199054561960374,0.0181572483836972,-0.0789107887259226,-0.00523624557923981,0.0390808152953524,0.0882326540982873,0.050424261246352,-0.060382775501154,-0.0567135570979161,-0.0573951508933904,-0.200521131350375,-0.00753261982635248
"TGFbeta",-0.125847018780177,-0.125847018780177,-0.0496934780604149,-0.167134041486186,-0.107970359642431,-0.0536002251643201,-0.0858577391358597,-0.0423540202781374,-0.00312541775073261,0.0494720064644802,0.0260720397474666,0.0573418745534813,-0.0385653978218172,0.171707178736782,0.0907050333135993
"miR34a",-0.264160491953631,-0.264160491953631,0.114922424659068,-0.28167189749244,-0.115909012581016,-0.130945505666953,-0.0640069907323127,-0.0760688473313649,-0.092801904717721,-0.0636600807734616,0.113158203677571,0.117948897514164,0.120444392517713,0.285589460233365,0.143023195450626
"ZEB2",-0.366805390646663,-0.366805390646663,-0.220528661083104,-0.154569725485508,-0.076831453466102,-0.0590279155090657,-0.0565519418995179,-0.0429812085344432,-0.0151364717100673,0.0256791569021191,0.0997256557572559,0.125061071971856,0.128876974950493,0.159574926275829,0.280162236988329
"GSC",-0.302553311775874,-0.302553311775874,-0.00899919417521262,-0.284151790061865,-0.180871835768871,-0.0464456569611029,-0.0994492627621581,-0.0995630755921895,0.0443074266540874,0.0385992650252591,0.183762570958034,0.112655160556355,0.115218810113095,0.288241785688852,0.331619226979601
"ZEB1",-0.590537125646296,-0.590537125646296,0.251177103297643,-0.599963951947026,-0.230367996270039,-0.208123339847383,-0.211198427547006,-0.154572934576827,-0.139973024673714,-0.0834768767271259,0.444199653859046,0.24883002850894,0.25769431925051,0.511676142349697,0.38972910143962
"miR200b",-0.44068517216929,-0.44068517216929,-0.00654142508769646,-0.451311779255917,-0.203299280046569,-0.144991276701486,-0.121971338758554,-0.0843904770868817,-0.0536678077481657,0.0347730113020703,0.263642377077202,0.25739095623496,0.26192886370895,0.458527233936012,0.43693174152695
