"","miR200b","ZEB1","SNAI2","TWIST1","miR34a","FOXC2","TWIST2","miR101","ZEB2","TGFbeta","GSC","SNAI1","miR141","miR200c","miR200a"
"TWIST1",0.0262310005843982,-0.143617285684098,0.299707598522686,0.0732131116800975,-0.16898964809298,0.313497357408985,0.287606052409895,-0.0647382702135515,-0.178300002619838,-0.0483475778798951,-0.0483302000593411,-0.240021043821684,0.143688069203205,-0.155908346934008,-0.00448146533984995
"ZEB1",-0.199732768342998,0.202917394829455,-0.070380660926153,0.147053918912877,0.245598394882677,0.155689697464702,-0.202156165543917,0.108621098542283,-0.129121738095715,-0.0134091372161134,-0.0131493637181288,-0.150426635600546,-0.302568510407445,0.203632189835098,-0.313158440508302
"miR34a",0.0830075859417317,-0.0694128016205605,0.00767723750399463,0.116970037191717,-0.0911522903314874,0.173176317803036,-0.0937547583527019,0.054482311979266,-0.0975481400433276,0.00015703495447881,0.000184337963270379,-0.129097109236252,0.0694684769672339,-0.120433481418914,0.0426593627926106
"miR200c",0.195826504002613,-0.267138477479828,-0.191328026749922,-0.181151492168599,-0.109026789009453,-0.149667146882339,-0.0493723394944323,-0.0302796682864845,-0.0685548716703443,0.107130966267754,0.106637637553156,0.256039056904745,0.266626592112529,-0.174467310617674,0.0967235785681451
"miR200a",0.195826504002613,-0.267138477479828,-0.191328026749922,-0.181151492168599,-0.109026789009453,-0.149667146882339,-0.0493723394944323,-0.0302796682864845,-0.0685548716703443,0.107130966267754,0.106637637553156,0.256039056904745,0.266626592112529,-0.174467310617674,0.0967235785681451
"SNAI2",-0.170473573251245,-0.0380874953298426,0.0904410363877575,-0.116329186866546,-0.024033990060133,-0.0486828759731236,0.204149519947531,-0.191896749162517,-0.0341773314358271,-0.203448296497579,-0.203394407508895,-0.00608932218528963,0.0381440971444499,-0.0363462485701203,0.00129096550625178
"miR101",-0.165194214754917,0.250335707172569,0.199773386006631,0.243359074018739,0.0392848961782305,0.306114550276597,0.0781402246989687,0.102633382958594,0.00517473225331815,-0.00906953465945238,-0.00868951389905898,-0.309758691186393,-0.249923468913176,0.134969436868132,-0.11980949312256
"ZEB2",-0.111308513700078,-0.0835425976655391,-0.0656747353620816,-0.0616735469134434,-0.0436295585599394,-0.0408477419212533,-0.0139463749816835,-0.00824450845313212,0.0229252941887166,0.0571166105881635,0.0571572053007022,0.0832155945197691,0.0833211286040205,0.115191244356379,0.192057075606001
"FOXC2",0.199460597992036,-0.302568510407445,0.0708673248262549,-0.146558070893282,-0.245460367112982,-0.15493855996181,0.202560232624334,-0.108593843159345,0.128899321723975,0.0131493637181288,0.0126456829742311,0.149839901206623,0.301939512425792,-0.203511226060565,0.312597608462741
"TWIST2",0.0158663064742311,-0.066367381592534,-0.103620829324284,0.0196607874953005,-0.0803148995132001,0.0445651333427245,-0.0677425860232657,0.105119421388348,0.134519975944015,0.0316262273008763,0.0315837841605367,-0.101887430605165,0.0663322009840854,0.0340701517159444,0.100281720243797
"miR141",-0.0298154485013784,-0.227285124017645,0.232550928026366,0.0602851366407512,-0.231067885644824,0.0614121443536862,0.231854992838805,-0.0434869265302347,0.169493833958958,-0.0959711056570841,-0.0959125751316233,-0.146921279758429,0.227251800557929,-0.0289416532069374,0.200248843168744
"SNAI1",0.0789829883027204,-0.164395923465961,-0.273076945699646,-0.224067427469512,0.103790461161462,-0.315680168833367,-0.209914550744895,-0.0765688729385226,0.183017278811974,0.0487528921554148,0.0485391754272237,0.236905657626428,0.164092346075366,-0.00235496470046152,0.171606912650021
"TGFbeta",0.160363799152264,-0.156763647302124,-0.344046880552371,-0.171493834967306,0.104874140375749,-0.19823018842556,-0.291246456230008,0.0116745912970674,0.192134955140697,0.146559676715969,0.246127334972406,0.330175511600753,0.156214243300354,0.00909748823926491,0.171591351390856
"GSC",0.0440599231512967,-0.210803445914695,-0.233691911736912,-0.347901391518103,-0.00818426399469182,-0.221654602507182,-0.12009472398353,-0.092291834951703,0.254490269813819,0.0469338516180476,0.0466126855770974,0.335078334295616,0.210313570177057,0.00420316628881479,0.228894396142503
"miR200b",0.0728991032705699,-0.305221858863396,-0.21421484088897,-0.205838798722878,-0.126955627952619,-0.166967851329965,-0.0548804645748205,-0.0332186991010288,0.274490985182914,0.1551736922638,0.154744866577261,0.286912342109577,0.304516512299415,-0.0215993891245271,0.289987943083438
