"","miR200c","miR200a","miR200b","GSC","miR34a","SNAI2","TWIST1","TWIST2","FOXC2","miR101","SNAI1","miR141","TGFbeta","ZEB1","ZEB2"
"miR200c",0.31004644413216,0.31004644413216,0.285870323964198,0.155447384711443,0.172984811829224,0.0717202172933568,0.0414883494000648,0.047758014415425,0.0311046031687754,0.031339082705852,-0.00924790716776103,-0.277668478924261,-0.156117499502943,-0.27822479557118,-0.349590167174652
"miR200b",0.31004644413216,0.31004644413216,0.285870323964198,0.155447384711443,0.172984811829224,0.0717202172933568,0.0414883494000648,0.047758014415425,0.0311046031687754,0.031339082705852,-0.00924790716776103,-0.277668478924261,-0.156117499502943,-0.27822479557118,-0.349590167174652
"miR141",0.31004644413216,0.31004644413216,0.285870323964198,0.155447384711443,0.172984811829224,0.0717202172933568,0.0414883494000648,0.047758014415425,0.0311046031687754,0.031339082705852,-0.00924790716776103,-0.277668478924261,-0.156117499502943,-0.27822479557118,-0.349590167174652
"TWIST1",0.257377098504507,0.257377098504507,0.149661424491981,0.0220386341121874,0.163068077421682,-0.107190138877435,-0.128445358692197,0.178586796483205,0.0172431694766743,-0.0321166589905458,0.00917725639969297,-0.215118864392196,-0.0223848537678392,-0.215517896758154,-0.309578906696508
"miR200a",0.00835296347646729,0.00835296347646729,-0.0189493107204096,-0.077887524186637,-0.137999453028385,-0.0585023038028462,-0.0281284043112993,-0.0409166915671708,-0.0264250176823897,-0.0273316300604564,0.00375361250401806,0.225461090162476,0.0778146596549409,0.225348160660107,-0.246667960517257
"miR34a",0.15804640348271,0.15804640348271,0.0503438750155384,-0.00205348195565402,0.0654630389602213,-0.0586975923554522,-0.0731365575749876,0.202467431828591,0.0988980200331807,-0.0127695817769898,0.00640341486629687,-0.108123751566603,0.00202981934803466,-0.108221419335768,-0.127293345661533
"TGFbeta",0.0136075849231682,0.0136075849231682,-0.0918749895286041,-0.187798909084321,0.0131955870267258,-0.089631121987096,-0.0648340181060099,0.0947501475186994,-0.0114549479963348,-0.0451832372958495,-0.0013230619951152,0.0563593186061071,0.087945711691277,0.0563822235130913,-0.088884578084277
"SNAI1",0.10349146710923,0.10349146710923,0.103083790125513,0.0231765824199951,0.113477623974479,0.0944751821520448,-0.00421532704490663,0.00861919637845192,0.0872620237965062,0.0997556449729248,-0.0937401454732976,-0.116599506138943,-0.0232848285550529,-0.116673081922,-0.0824154591303601
"TWIST2",-0.0733100707737743,-0.0733100707737743,-0.003080726072043,0.0235296167675323,-0.157549194248104,0.143872316342909,0.0660475193906097,-0.187090345096786,-0.0461596791924103,0.0261637930919597,-0.0989121777997342,0.196556461319195,-0.0235030190662528,0.196672557327076,-0.0481963524495746
"SNAI2",0.0979793434188085,0.0979793434188085,0.266092707998063,0.194776962965879,0.134335434629282,0.0652184306127281,0.112075422171061,-0.124493355629132,-0.0132886875758593,0.190687679313639,0.0191325919248782,-0.209084973639943,-0.19511312760957,-0.209282242686119,0.0123288065781036
"GSC",0.0569215957530016,0.0569215957530016,0.0414261553035207,-0.0107930918683043,0.147034717883574,-0.0179263753221576,-0.0299335401357187,0.0810374881243439,0.138426427812111,0.0903814852617069,0.100010213438897,-0.168175402249454,0.0107192678471035,-0.168278094354937,0.0592998839946718
"FOXC2",-0.306907027766628,-0.306907027766628,-0.279604480732639,-0.0153792528713078,-0.25570131633812,0.0950308435362684,0.110884640039691,-0.222079332615101,-0.110725100510814,0.0054744341049561,-0.0829428863438384,0.261711793735615,0.0159659579136502,0.262304482835475,0.165749057032104
"ZEB1",-0.307882262025421,-0.307882262025421,-0.280393313444747,-0.0159659579136502,-0.256140766912987,0.0950065911824427,0.110839834495752,-0.222301173365134,-0.110825355002987,0.00540451812263655,-0.0829711060341273,0.262304482835475,0.0162820369974047,0.162657878693976,0.166624802985814
"miR101",-0.0652262700827014,-0.0652262700827014,-0.0750366243941251,-0.0381042398746542,0.0321025166137769,-0.120696796333014,-0.0326376708518557,0.0586661393299718,-0.0680820192940899,-0.103094557755959,0.0141384788453961,-0.0932969851195973,0.0382485070151739,-0.0931882142306425,0.22614970888528
"ZEB2",-0.432661250359755,-0.432661250359755,-0.410732665155491,-0.11632977286326,-0.0838846782313691,-0.0397960169235124,-0.0328724729187907,-0.0173506930655795,-0.0111462034685746,-0.0107523605459378,0.0183285936879749,0.117081655245269,0.117293897286054,0.117968029174628,0.441287906190382
