"","miR200c","GSC","SNAI2","TWIST2","SNAI1","TWIST1","miR34a","ZEB2","miR101","ZEB1","miR141","miR200b","FOXC2","TGFbeta","miR200a"
"miR200a",0.109021507896959,-0.0207785293935453,-0.0912568295991752,-0.0604840572612736,-0.0586545948541807,-0.0301878084146203,-0.0110860835004658,-0.220610418939687,0.0745913605793324,0.00275314088191698,0.00275499218523452,-0.0838223757834527,0.0886204537834936,0.0210902940291629,-0.109021507896959
"miR141",0.128550102871423,0.197019343802554,0.0490039639459066,-0.0292320393442159,0.179834877529707,0.169384986459577,-0.0981713492034883,-0.211949558795882,-0.113620013311606,-0.0405665396551971,-0.0407016847973772,-0.115814422486801,-0.22072191265095,-0.196052992882191,-0.128550102871423
"TWIST2",0.109293037127014,0.0715740411861205,0.0115613604189682,-0.00405496071004419,-0.129106748514389,-0.209305771249108,0.0599159436062113,-0.198367359791885,0.0524901010623378,-0.0177225040010894,-0.0176974378175698,-0.0512247092945167,0.149009074057409,-0.0714682162895403,-0.109293037127014
"SNAI2",0.14491479915678,0.266829830746341,0.158285132278992,0.267870204980393,0.00141440410185855,-0.130446552295336,0.0788209666971969,-0.159459422411174,-0.231362186264324,-0.125902814625639,-0.12580803170532,-0.221685334602027,0.0192812465043677,-0.266765677188385,-0.14491479915678
"miR34a",0.158153546513378,0.0769604627015081,0.217299140476751,0.320461297352763,-0.149099650766231,-0.195844203776837,0.11570974577657,-0.149866897553437,-0.0406515509609494,-0.0952090274793934,-0.0950783319622025,-0.0738717455350409,0.204868852731416,-0.0771952685771156,-0.158153546513378
"ZEB1",0.0187199318435322,0.0205542608544663,-0.119038037210649,-0.133051600357771,0.118254893871765,0.12648504009205,-0.0415383941176801,-0.0745792140639926,0.000776123141684006,-0.0857033918206502,0.0139236627627186,-0.0304542448426855,-0.137663348358474,-0.0204621244413881,-0.0187199318435322
"FOXC2",0.0188999305702293,0.0215450174825728,-0.118805753555119,-0.132557740592817,0.118136136008466,0.126998810329221,-0.0419420320820316,-0.0744965853453301,0.00030330149853992,0.0139236627627186,0.0141575346777985,-0.0308352833340314,-0.138161536065731,-0.0205542608544663,-0.0188999305702293
"GSC",0.0195506434191613,0.00276760622056659,-0.1811776920895,-0.120748740701259,0.160137644497962,0.282844423671129,-0.0501990673394956,-0.0199700341970151,-0.0341674633250678,0.00365977459393984,0.00354135929527287,0.00753640522491877,-0.2985975102648,-0.0026950441484462,-0.0195506434191613
"TGFbeta",-0.0230334295556808,-0.188508779124743,-0.0269955628051127,-0.0270867022411251,-0.142000980601361,-0.1213723453061,0.0846058232355401,-0.0134090751025313,0.084293641536326,0.0517708422605933,0.0521941123910257,0.0546683814004782,0.190472881913039,0.0885329773566589,0.0230334295556808
"miR101",-0.0833055301065997,-0.0090205745133946,0.115202779766672,0.0246552379411281,-0.0447483534878185,-0.0424287196801336,-0.0463766885475639,0.0269908334071139,0.0154868351115665,0.128773541809664,0.129123040747528,-0.0635155370434798,0.137622035836439,0.00924577200103512,0.0833055301065997
"ZEB2",-0.230524699724754,-0.184862705858022,-0.130583817045901,-0.111544978304422,-0.107127290471263,-0.0863021739988682,-0.0861583194509879,0.0438440224713044,0.11887350041489,0.130026753122047,0.130210398253958,0.141849470186088,0.142911358504745,0.184307065730149,0.230524699724754
"miR200b",-0.114036045271528,-0.174880774123573,-0.131867561526781,-0.100552931518596,-0.0955699911911479,-0.0649024816409907,-0.0507771891019752,0.150994994841431,0.113406008556878,0.0709454558697576,0.0712833187252078,0.0503032775387052,0.14691776231363,0.17476968557525,0.114036045271528
"SNAI1",-0.0376707796079185,-0.0803798519314976,-0.180433879779792,-0.133656990378213,-0.0506420940696203,0.0671593605038355,-0.0362518979476096,0.166264294797179,0.0143128981284627,-0.084706113002937,-0.0846742713825385,0.137021075028256,-0.146521432161886,0.0801177614726213,0.0376707796079185
"miR200c",-0.109021507896959,0.0207785293935453,0.0912568295991752,0.0604840572612736,0.0586545948541807,0.0301878084146203,0.0110860835004658,0.220610418939687,-0.0745913605793324,-0.00275314088191698,-0.00275499218523452,0.0838223757834527,-0.0886204537834936,-0.0210902940291629,0.109021507896959
"TWIST1",-0.0756821548538951,-0.120922695667654,-0.241355105294854,-0.167909080091583,0.0029729767999282,0.11053068202675,0.0241109588810343,0.277819301702193,0.118597548776443,-0.0954522948543541,-0.0954369973172575,0.190744784624653,-0.194030778903766,0.120480229621242,0.0756821548538951
